#
# Age1: log(age)_DB
# Age2: log(age)_asteca
# Age3: log(age)_literature
#
# E_BV1: E_BV_DB
# E_BV2: E_BV_asteca
# E_BV3: E_BV_lit
#
# Mass1: Mass_DB
# Mass2: Mass_asteca
#
#DB   GAL      NAME   Age1  e_age  Age2  e_age   Age3  e_age      Mass1   e_mass    Mass2   e_mass    E_BV1    E_BV2   e_E_BV    E_BV3   e_E_BV
P99   SMC       L62   7.70   0.20  7.75   -1.0   8.10   0.24      -1.00       -1     1410     -1.0     0.07     0.17     -1.0     0.06     0.02
P99   SMC       L34   8.00   0.10  8.55   -1.0   8.40   0.48      -1.00       -1     3210     -1.0     0.11     0.04     -1.0     0.05     0.02
P99   SMC       L35   8.40   0.10   6.5   -1.0   8.34   0.23      -1.00       -1     1210     -1.0     0.07     0.16     -1.0     0.02     0.02
P99   SMC    NGC294   8.50   0.10  8.65   -1.0   8.51   0.47      -1.00       -1     4410     -1.0     0.11     0.07     -1.0     0.06     0.02
P99   SMC       L30   8.00   0.10  6.35   -1.0   8.20   0.44      -1.00       -1     2210     -1.0     0.10     0.08     -1.0     0.05     0.02
P99   SMC       L72   7.50   0.10   6.5   -1.0   7.40   0.40      -1.00       -1     2010     -1.0     0.07     0.04     -1.0     0.14     0.02
P99   SMC       L63   7.60   0.10  6.35   -1.0   8.04   0.27      -1.00       -1      810     -1.0     0.06     0.16     -1.0     0.06     0.02
P00   LMC    BRHT4B   7.80   0.05   8.5   -1.0   8.00   0.25      -1.00       -1      410     -1.0    -1.00     0.01     -1.0     0.15     0.03
P00   LMC   H88-188   8.65   0.10  6.75   -1.0   8.65   0.11      -1.00       -1      810     -1.0    -1.00     0.15     -1.0     0.06    -1.00
P00   LMC   BSDL654   8.20   0.05   7.2   -1.0   8.34   0.14      -1.00       -1      210     -1.0    -1.00     0.07     -1.0     0.03    -1.00
P00   LMC   BSDL779   7.50   0.10  7.25   -1.0   8.00   0.10      -1.00       -1      610     -1.0    -1.00     0.13     -1.0     0.04    -1.00
P00   LMC   H88-244   8.10   0.10   6.2   -1.0   8.30   0.10      -1.00       -1      410     -1.0    -1.00      0.2     -1.0     0.13     0.05
P00   LMC   H88-265   7.90   0.10  6.35   -1.0   8.30   0.10      -1.00       -1     1410     -1.0    -1.00      0.2     -1.0     0.05     0.05
P00   LMC   H88-279   8.00   0.10   6.3   -1.0   8.10   0.10      -1.00       -1      610     -1.0    -1.00     0.04     -1.0     0.08     0.05
P00   LMC   BSDL675   9.00   0.10  9.05   -1.0   9.04   0.09      -1.00       -1      610     -1.0    -1.00     0.08     -1.0     0.06    -1.00
P00   LMC   BSDL631   6.70  99.99  6.45   -1.0   8.35   0.10      -1.00       -1      410     -1.0    -1.00     0.12     -1.0     0.00     0.05
P00   LMC  BSDL1024   8.10   0.10  8.45   -1.0   8.20   0.62      -1.00       -1      810     -1.0    -1.00        0     -1.0     0.08    -1.00
P00   LMC     HS154   8.70   0.10  6.95   -1.0   8.70   0.20      -1.00       -1      410     -1.0    -1.00     0.16     -1.0     0.06    -1.00
P00   LMC   NGC1839   8.00   0.05   6.4   -1.0   8.10   0.20      -1.00       -1     5410     -1.0    -1.00     0.17     -1.0     0.15     0.03
P00   LMC   H88-269   8.80   0.10  6.65   -1.0   8.90   0.10      -1.00       -1     1210     -1.0    -1.00     0.24     -1.0     0.05     0.05
P00   LMC     SL218   7.40   0.05   8.9   -1.0   7.70   0.20      -1.00       -1     1010     -1.0    -1.00        0     -1.0     0.15     0.03
P00   LMC     SL229   8.35   0.10   8.6   -1.0   8.51   0.31      -1.00       -1     1410     -1.0    -1.00     0.03     -1.0     0.06    -1.00
P00   LMC   NGC1838   8.00   0.05  7.95   -1.0   8.00   0.25      -1.00       -1     1010     -1.0    -1.00     0.12     -1.0     0.15     0.03
P00   LMC     SL230   7.30   0.05  7.65   -1.0   7.90   0.10      -1.00       -1      810     -1.0    -1.00     0.09     -1.0     0.08     0.05
P00   LMC   NGC1846   9.00  99.99  9.25   -1.0   9.15   0.14      -1.00       -1    19210     -1.0    -1.00     0.01     -1.0    -1.00    -1.00
P00   LMC   NGC1917   9.00   0.05  9.25   -1.0   9.11   0.15      -1.00       -1    17810     -1.0    -1.00     0.22     -1.0    -1.00    -1.00
P00   LMC   NGC1836   8.50   0.05  8.85   -1.0   8.60   0.25      -1.00       -1     7810     -1.0    -1.00      0.1     -1.0     0.06     0.02
P00   LMC   NGC1863   7.85   0.10  6.15   -1.0   7.70   0.20      -1.00       -1     5410     -1.0    -1.00     0.19     -1.0     0.15     0.03
P00   LMC   NGC1865   8.60   0.05  8.75   -1.0   8.70   0.20      -1.00       -1     5810     -1.0    -1.00     0.02     -1.0     0.06     0.02
P00   LMC   OGLE298   6.70   0.10  8.95   -1.0   8.30   0.10      -1.00       -1      810     -1.0    -1.00      0.2     -1.0     0.13     0.05
P00   LMC     SL300   8.80   0.10  8.55   -1.0   8.60   0.25      -1.00       -1      810     -1.0    -1.00     0.07     -1.0     0.06    -1.00
P00   LMC   NGC1860   8.40   0.10     9   -1.0   8.40   0.20      -1.00       -1    23610     -1.0    -1.00     0.08     -1.0     0.08     0.02
H03   SMC      B112   7.43   0.15     9   -1.0   9.20   0.09    5395.11       -1      610     -1.0    -1.00     0.12     -1.0     0.05    -1.00
H03   LMC   BRHT38B   7.21   0.15     8   -1.0   8.25   0.10     129.42       -1      410     -1.0    -1.00     0.14     -1.0     0.08     0.05
H03   LMC   BRHT45A   6.73   0.15   7.7   -1.0   8.10   0.10      34.99       -1      810     -1.0    -1.00     0.17     -1.0     0.08     0.05
H03   LMC   BSDL341   7.28   0.15     7   -1.0   8.45   0.10     104.71       -1     1210     -1.0    -1.00     0.17     -1.0     0.09     0.05
H03   LMC   H88-245   8.93   0.09   8.7   -1.0   8.20   0.62    1803.02       -1      410     -1.0    -1.00      0.1     -1.0     0.08    -1.00
H03   LMC   BSDL268   6.81   0.15  6.95   -1.0   7.95   0.10     201.37       -1      610     -1.0    -1.00     0.14     -1.0     0.10     0.05
H03   LMC   H88-265   7.69   0.54  6.35   -1.0   8.30   0.10     432.51       -1     1410     -1.0    -1.00      0.2     -1.0     0.05     0.05
H03   LMC   H88-320   7.52   0.54  7.95   -1.0   8.20   0.10     194.09       -1      410     -1.0    -1.00     0.24     -1.0     0.17     0.05
H03   LMC   H88-279   7.18   0.15   6.3   -1.0   8.10   0.10     116.95       -1      610     -1.0    -1.00     0.04     -1.0     0.08     0.05
H03   SMC       B47   7.51   0.24  8.95   -1.0   9.15   0.14    2228.44       -1     1210     -1.0    -1.00     0.12     -1.0     0.01    -1.00
H03   LMC    H88-55   8.49   0.09   8.8   -1.0   8.70   0.20    1169.50       -1     1210     -1.0    -1.00     0.03     -1.0     0.06    -1.00
H03   LMC   H88-235   8.55   0.09   8.6   -1.0   8.75   0.10     794.33       -1      410     -1.0    -1.00     0.18     -1.0     0.06     0.05
H03   SMC       B39   8.25   0.15   8.8   -1.0   9.18   0.10     737.90       -1     1610     -1.0    -1.00     0.12     -1.0     0.01    -1.00
H03   LMC   H88-316   7.21   0.15   7.1   -1.0   8.25   0.10     109.65       -1      610     -1.0    -1.00     0.26     -1.0     0.15     0.05
H03   LMC   KMHK378   6.88   0.15  8.85   -1.0   8.45   0.10     334.20       -1      410     -1.0    -1.00     0.06     -1.0     0.07     0.05
H03   LMC      HS38   8.35   0.09   8.9   -1.0   8.60   0.25     839.78       23     1010     -1.0    -1.00        0     -1.0     0.05    -1.00
H03   LMC    H88-52   8.95   0.09  8.95   -1.0   9.15   0.07    2167.70       -1     1610     -1.0    -1.00     0.11     -1.0    -1.00    -1.00
H03   LMC     HS390   7.20   0.15  6.75   -1.0   8.25   0.10      90.36       -1      410     -1.0    -1.00     0.36     -1.0     0.23     0.05
H03   SMC       L50   7.48   0.24  7.55   -1.0   7.90   0.25    3047.89       -1      410     -1.0    -1.00     0.07     -1.0     0.07     0.02
H03   LMC    H88-33   7.22   0.15  6.55   -1.0   8.35   0.10      67.92       -1      410     -1.0    -1.00     0.13     -1.0     0.07     0.05
H03   LMC    H88-26   8.36   0.09     9   -1.0   8.90   0.13     244.34       -1      610     -1.0    -1.00      0.1     -1.0     0.06    -1.00
H03   LMC    H88-40   8.96   0.09  8.95   -1.0   8.85   0.07    1976.97       -1     1410     -1.0    -1.00     0.04     -1.0     0.06    -1.00
H03   SMC       K38   8.84   0.12  9.65   -1.0   9.49   0.35   26302.68       -1    16010     -1.0    -1.00     0.09     -1.0     0.02    -1.00
H03   LMC        H3   8.85   0.09   9.5   -1.0   9.40   0.16    6546.36       -1     8210     -1.0    -1.00        0     -1.0    -1.00    -1.00
H03   LMC  KMHK1045   8.99   0.09   6.6   -1.0   8.80   0.16     666.81       -1      210     -1.0    -1.00      0.3     -1.0     0.06    -1.00
