#
# Age1: log(age)_H03
# Age2: log(age)_P12
#
# Mass1: Mass_H03
# Mass2: Mass_P12
#
#GAL   RA        DEC         Age1   e_age  Age2   e_age   Mass1   e_m1  Mass2    e_m2     NAMES
LMC    73.92083  -67.78333   7.22   0.15   8.13   0.06       68  -1      900      150     H88-33, KMHK286
LMC    81.86250  -68.88833   7.80   0.15   8.13   0.12      661  -1     2200      650     BSDL1796
LMC    80.29554  -69.94356   8.32   0.09   8.26   0.18      847  -1     1200      500     KMK88-49
LMC    78.84167  -69.04167   8.03   0.15   8.14   0.10      283  -1      750      200     H88-232
LMC    76.08912  -69.38783   7.76   0.54   8.14   0.03     2679  -1     8500      750     NGC1828, SL203
LMC    83.89583  -69.46000   7.87   1.06   8.15   0.15      240  -1      800      400     BSDL2503
LMC    73.93750  -68.28167   7.20   0.15   8.14   0.12       95  -1     1400      325     SL107, KMHK291
LMC    73.23750  -68.27167   8.32   0.09   8.30   0.22      268  -1      450      275     BSDL149
LMC    76.08042  -69.35644   8.24   0.15   8.15   0.21      377  -1      500      350     KMK88-4, H88-104
LMC    75.72825  -68.77111   6.83   0.15   8.15   0.06       30  -1     1400      200     HS95
LMC    73.91250  -70.75833   7.16   0.15   8.16   0.14       89  -1      900      275     BSDL267
LMC    80.37462  -69.82861   7.65   0.55   8.20   0.26     1252  -1     3250     1500     SL412
LMC    83.01250  -69.37000   8.23   0.15   8.22   0.38     3169  -1     5500     3050     HS346
LMC    74.89583  -68.87500   7.05   0.15   8.17   0.07      110  -1     1100      250     HS78, KMHK400
LMC    80.51375  -69.25497   8.27   0.15   8.27   0.32     4466  -1     8250     3600     SL419
LMC    79.97917  -68.80167   8.79   0.09   8.18   0.21      794  -1      400      325     H88-276
LMC    83.59583  -69.41500   9.00   0.09   8.19   0.28     1318  -1      350      350     BSDL2405
LMC    79.40942  -68.97264   7.16   0.15   8.20   0.12      187  -1     1600      500     HS211
LMC    77.93225  -68.78581   7.97   0.17   8.20   0.11      325  -1     1000      225     KMK88-37, H88-203
LMC    84.56250  -68.89333   8.46   0.09   8.21   0.20      308  -1      250      175     KMK88-92, H88-299
LMC    83.37083  -69.29167   8.83   0.09   8.21   0.23     1138  -1      500      325     BSDL2311
LMC    72.67917  -69.08833   7.00   0.13   8.21   0.09       76  -1     1200      175     KMHK144
LMC    82.18333  -67.06000   8.05   0.15   8.21   0.08      515  -1     1300      250     HS318, KMHK948
LMC    77.57829  -69.27258   8.61   0.09   8.38   0.29      724  -1      875      550     HS155
LMC    83.57917  -68.99000   8.21   0.15   8.22   0.08      817  -1     1400      250     KMK88-76
LMC    72.97917  -69.56167   7.20   0.15   8.22   0.07       59  -1      950      150     KMHK176
LMC    79.93750  -69.66833   8.19   0.15   8.23   0.35     1820  -1     3500     2050     KMK88-46
LMC    84.07917  -68.86500   8.27   0.15   8.24   0.13      350  -1      550      150     KMK88-84, KMHK1133
LMC    76.55333  -68.84833   7.64   0.54   8.24   0.11      182  -1     1000      250     KMK88-17
LMC    77.01612  -69.30103   8.83   0.09   8.25   0.16      991  -1      450      300     KMK88-22
LMC    74.77500  -70.16833   7.64   0.64   8.26   0.35     1002  -1     2700     1725     ESO56SC41, NGC1791, SL155
LMC    79.89117  -69.54219   8.64   0.17   8.29   0.26     9597  -1     8750     7000     SL387, BRHT35
LMC    78.29854  -69.31250   8.77   0.09   8.27   0.15    44463  -1    33000    13000     NGC1872, SL318
LMC    73.53750  -69.45333   7.46   0.15   8.27   0.12       83  -1      650      250     BSDL196
LMC    79.60650  -69.32506   8.29   0.15   8.29   0.43     2249  -1     4000     2925     HS218
LMC    81.25471  -69.43419   8.27   0.15   8.29   0.14     7870  -1    15000     6250     SL453
LMC    80.15417  -70.96436   8.94   0.09   8.29   0.13      904  -1      350      125     HS232, KMHK805
LMC    75.95833  -70.37167   8.25   0.15   8.30   0.21      673  -1     1300      475     KMHK494
LMC    75.37167  -68.71217   6.92   0.15   8.30   0.09      122  -1     4000      900     KMHK448, SL176
LMC    76.39912  -68.62847   8.27   0.15   8.30   0.18     6668  -1    13000     4250     NGC1836, SL223
LMC    82.73750  -69.34333   8.82   0.09   8.48   0.17     1614  -1     1400      550     HS335
LMC    79.97654  -68.96464   8.93   0.09   8.55   0.43     8241  -1     7750     4000     SL390
LMC    82.20000  -68.98500   7.92   0.15   8.32   0.40     1754  -1     6500     3400     HS319, BRHT52A
LMC    74.61667  -67.37667   9.00   0.09   8.32   0.15     1837  -1      800      250     HS77, KMHK373
LMC    75.55417  -70.83667   8.41   0.09   8.34   0.19      698  -1     1100      500     KMHK471
LMC    72.33333  -68.19333   7.00   0.13   8.34   0.12       73  -1     1300      325     KMHK116
LMC    78.91858  -69.33839   7.15   0.15   8.35   0.24      177  -1     2000     1000     H88-234
LMC    80.51667  -68.15333   8.94   0.09   8.36   0.04     4446  -1     2500      250     KMHK823
LMC    78.88333  -70.33500   8.41   0.09   8.36   0.15     1690  -1     2700     1100     SL342, KMHK701
LMC    78.10421  -68.77194   8.77   0.09   8.38   0.20    12589  -1    12000     6000     NGC1865, SL307
LMC    74.21250  -70.10000   8.18   0.15   8.39   0.06      205  -1      700      100     KMHK335
LMC    79.67212  -69.07947   8.39   0.09   8.40   0.36     1486  -1     2700     1825     H88-269
LMC    73.60833  -68.24833   8.99   0.09   8.41   0.32     3695  -1     1950     1125     SL92, KMHK240
LMC    81.07500  -68.85833   8.44   0.09   8.42   0.29     1294  -1     2200     1325     HS273
LMC    78.67500  -68.95000   9.40   0.09   8.43   0.20     4446  -1     1000      550     BSDL993
LMC    85.70833  -68.79000   8.99   0.09   8.43   0.06     1854  -1      900      150     H88-323, KMHK1279
LMC    74.57083  -70.08000   8.90   0.09   8.43   0.18     2630  -1     2350     1050     SL146, KMHK377
LMC    73.76250  -67.96500   8.36   0.09   8.44   0.15      244  -1      600      200     H88-26
LMC    72.79583  -67.53500   8.35   0.09   8.45   0.32      840  -1     1650     1150     HS38, KMHK148
LMC    81.50000  -67.25667   7.92   0.15   8.45   0.27      520  -1     2500     1125     HS288, KMHK885
LMC    75.14167  -69.61333   8.48   0.09   8.45   0.11     9817  -1    18000     4000     NGC1801, SL170
LMC    76.10000  -69.46833   8.51   0.09   8.46   0.17      586  -1      900      400     BSDL528
LMC    77.19167  -68.68667   8.40   0.09   8.46   0.03     1570  -1     3200      350     SL260
LMC    79.17917  -69.20333   7.85   1.06   8.47   0.26      360  -1     1900      800     H88-252
LMC    80.31250  -68.44500   8.77   0.09   8.47   0.35     2559  -1     2700     1375     SL407, KMHK810
LMC    76.95833  -70.39167   8.56   0.09   8.50   0.35     1722  -1     2600     1950     SL252, KMHK570
LMC    77.89312  -69.10947   8.81   0.09   8.48   0.11     1675  -1     1800      550     HS161
LMC    78.44167  -69.08167   9.00   0.09   8.49   0.21     2168  -1     1400      600     HS180
LMC    80.25862  -70.87336   9.00   0.09   8.49   0.19     2679  -1     1700      950     SL406, KMHK814
LMC    76.42500  -70.32500   8.48   0.09   8.50   0.41     2679  -1     5500     3000     SL224, KMHK534
LMC    77.30000  -70.79667   7.37   0.15   8.50   0.28       85  -1     1000      500     BSDL749
LMC    76.11667  -70.17000   8.55   0.09   8.51   0.27      619  -1     1100      500     BSDL542
LMC    77.43333  -70.30833   8.83   0.09   8.51   0.26     4613  -1     5000     2750     BSDL767
LMC    78.85750  -69.05075   8.85   0.09   8.51   0.17     1343  -1     1400      600     HS198
LMC    74.27917  -67.83000   8.00   0.20   8.52   0.07      288  -1     1300      225     KMHK333, H88-48
LMC    76.60221  -68.70522   8.48   0.09   8.52   0.08     1854  -1     3200      650     HS117
LMC    77.62083  -70.91000   8.87   0.09   8.72   0.18     5546  -1     7750     2250     SL291, KMHK626
LMC    77.49896  -69.35400   8.76   0.14   8.58   0.31     8188  -1    10500     7750     SL276
LMC    78.20417  -70.47167   8.55   0.09   8.54   0.03     4742  -1     9000      500     NGC1878, SL316
LMC    78.94387  -69.19189   8.55   0.09   8.55   0.05      794  -1     1600      250     H88-235
LMC    74.12083  -67.62333   8.96   0.09   8.71   0.17     1977  -1     2850      650     H88-40, KMHK310
LMC    73.84583  -70.31833   8.56   0.09   8.55   0.03      492  -1      950      125     KMHK288
LMC    75.67083  -69.52692   8.89   0.09   8.55   0.27     1528  -1     1500     1175     BSDL471
LMC    82.24583  -68.41833   7.00   0.13   8.56   0.41      233  -1     5500     2875     SL503, KMHK952
LMC    75.46537  -69.21431   8.81   0.09   8.56   0.03     3436  -1     4000      500     SL181
LMC    76.74654  -69.31992   8.54   0.09   8.57   0.02     1247  -1     2700      250     HS119, H88-137
LMC    73.27500  -69.04333   8.98   0.09   8.58   0.28    11482  -1     9000     4600     KMHK208
LMC    76.89583  -70.74833   8.28   0.15   8.38   0.26     3262  -1     8000     3000     SL249, KMHK562
LMC    74.12917  -69.98167   8.98   0.09   8.78   0.21     6117  -1     8000     3500     SL124E, KMHK324E
LMC    79.76896  -69.81064   8.95   0.09   8.61   0.54     4365  -1     4500     3575     HS227
LMC    84.13333  -68.81167   8.95   0.09   8.59   0.07     6730  -1     5500     1250     SL607, KMHK1137
LMC    78.20000  -70.61333   8.99   0.09   8.60   0.07      938  -1      600      175     KMHK662
LMC    73.03333  -68.45000   8.57   0.09   8.61   0.29      488  -1     1100      600     HS48, KMHK177
LMC    79.16667  -70.54000   8.66   0.09   8.61   0.03     4742  -1     8000      500     SL352, KMHK715
LMC    72.80000  -69.97167   8.57   0.09   8.41   0.23      887  -1     1225      775     HS40, KMHK159
LMC    74.54167  -69.06167   8.61   0.09   8.72   0.09     1127  -1     2700      500     HS76, KMHK370
LMC    77.73258  -69.55931   8.79   0.11   8.66   0.26     6324  -1     9500     4750     SL296
LMC    75.57883  -69.53494   8.77   0.09   8.66   0.12      946  -1     1300      300     BSDL463
LMC    84.75417  -69.36833   8.88   0.09   8.67   0.14     1294  -1     1400      650     H88-302
LMC    83.66250  -68.30500   8.66   0.12   8.70   0.15     3540  -1     7000     2500     SL588, KMHK1101
LMC    77.27500  -69.71667   8.74   0.09   8.71   0.10     2033  -1     3500      750     SL266, KMHK592
LMC    79.45271  -69.64458   9.00   0.09   8.69   0.21    26546  -1    25000    15500     H2, SL363
LMC    80.85000  -69.02167   8.66   0.09   8.70   0.20     2399  -1     5000     2000     SL434
LMC    76.12737  -69.35508   8.70   0.09   8.70   0.03     2780  -1     5500      500     KMK88-7, H88-108, BRHT3
LMC    77.89583  -70.04333   8.91   0.09   8.79   0.17      759  -1     1000      475     KMHK643
LMC    77.45512  -69.08444   9.30   0.09   8.89   0.23     8954  -1     6350     2650     HS141
LMC    75.40396  -69.03822   8.86   0.09   8.72   0.07     5058  -1     7000     1000     SL180
LMC    74.54167  -68.06000   8.95   0.09   8.73   0.07     2168  -1     2500      750     H88-52, KMHK365
LMC    73.22500  -69.77833   8.75   0.09   8.73   0.13     1123  -1     2200      700     KMHK203
LMC    82.93333  -67.18500   8.80   0.09   8.73   0.01     1556  -1     2500      250     HS338, KMHK1015
LMC    82.07500  -68.68167   8.76   0.09   8.73   0.08      991  -1     1700      400     KMHK941
LMC    75.34912  -68.87292   8.83   0.09   8.74   0.11     1614  -1     2500      750     H88-96
LMC    77.58750  -70.77667   8.94   0.09   8.79   0.18     9023  -1    12500     6000     NGC1861, SL286
LMC    74.35833  -67.68500   9.00   0.09   8.79   0.36     2128  -1     1800     1000     SL132, KMHK348
LMC    74.48333  -68.20000   8.88   0.09   8.80   0.36     1931  -1     3250     1250     SL139, KMHK358
LMC    74.72500  -67.84667   8.97   0.09   8.84   0.07     1019  -1     1200      200     H88-67
LMC    74.82917  -68.84333   7.18   0.15   8.79   0.01      417  -1    13000     1000     BRHT61A
LMC    73.55833  -68.30667   8.98   0.09   8.80   0.13      780  -1      850      375     BSDL189
LMC    76.10392  -69.34992   8.91   0.09   8.80   0.13     1282  -1     1800      650     H88-107
LMC    77.54167  -70.37667   8.96   0.09   9.13   0.32     2655  -1     2600     1500     SL282, KMHK619
LMC    75.12067  -68.64097   8.99   0.09   8.81   0.34     1770  -1     1800      450     KMHK423
LMC    75.89037  -67.62608   8.98   0.09   8.81   0.03     3664  -1     4500      500     SL197, KMHK482
LMC    74.54583  -68.58167   8.99   0.09   8.82   0.04     1247  -1     1200      150     H88-58, H80F1-36
LMC    73.63750  -68.99500   8.92   0.09   8.82   0.10      698  -1     1000      250     H88-21, H80F1-18
LMC    76.60058  -69.56836   8.83   0.09   8.82   0.06     1368  -1     2700      350     BSDL634
LMC    74.15000  -68.16500   8.95   0.09   8.86   0.12    10756  -1    14000     4750     SL119, KMHK316
LMC    77.31146  -69.58817   9.00   0.09   8.93   0.10    26182  -1    39500    10500     SL268
LMC    76.96262  -69.43639   8.94   0.09   8.83   0.14     7727  -1    12000     3500     SL250
LMC    80.77917  -69.01167   8.96   0.09   8.84   0.04     1225  -1     1600      250     H88-296
LMC    78.89167  -70.75167   8.99   0.09   8.84   0.02     2249  -1     3000      250     KMHK704
LMC    74.75417  -69.04167   8.94   0.09   8.85   0.03     1548  -1     2450      250     H88-68, H80F1-44, KMHK389
LMC    75.91096  -69.38622   8.91   0.09   8.85   0.01     2754  -1     5000      500     HS102
LMC    83.09583  -67.99667   8.99   0.09   8.86   0.04      667  -1      750      150     KMHK1045
LMC    73.22917  -67.45000   8.93   0.09   8.46   0.41     2606  -1     2550     1950     SL71, KMHK194
LMC    76.26246  -68.91039   8.97   0.09   8.87   0.14     7656  -1    12000     3750     KMK88-11, H88-117
LMC    77.44167  -68.58500   8.88   0.09   8.87   0.07     1472  -1     3000      500     HS138, BRHT46A
LMC    74.70417  -68.63639   8.88   0.09   8.88   0.06      879  -1     1800      200     KMHK381E
LMC    73.75417  -67.71500   8.95   0.09   8.87   0.03     2148  -1     3000      500     SL96, H88-25, KMHK256
LMC    76.88750  -69.49833   8.84   0.09   8.88   0.14     1086  -1     2500      750     H88-146
LMC    78.54167  -70.68500   9.30   0.09   8.89   0.11     4169  -1     2700      750     HS184, KMHK681
LMC    74.70833  -67.82667   8.96   0.09   8.90   0.06      847  -1     1600      250     H88-66
LMC    71.69167  -69.74333   9.00   0.09   9.05   0.18      863  -1     2000     1250     KMHK87
LMC    74.37500  -69.05167   8.98   0.09   9.19   0.28     7516  -1    23500    11500     SL136, KMHK352
LMC    82.94167  -68.23500   9.48   0.09   8.91   0.22     2051  -1      700      450     KMHK1023
LMC    74.97083  -67.92333   9.00   0.09   8.46   0.48     3133  -1     3350     2150     SL162, H88-79, KMHK406
LMC    76.38750  -69.11667   9.00   0.09   8.95   0.04     5702  -1     9000     1000     HS112
LMC    75.21250  -67.80333   9.00   0.09   9.02   0.07     3062  -1     6000     1000     HS85, KMHK428
LMC    76.47083  -70.37167   8.96   0.09   8.97   0.25     3802  -1     7500     3250     HS115, KMHK537
LMC    72.38750  -69.72833   9.00   0.09   9.00   0.32     4018  -1     7000     3750     HS35, KMHK124
LMC    73.87500  -68.88333   9.00   0.09   8.97   0.09     8710  -1     6500     1250     HS65, H88-31, H80F1-25
LMC    76.43517  -68.50683   9.30   0.09   8.99   0.14     4093  -1     3700     1000     HS111
LMC    83.68333  -69.39000   9.00   0.09   9.02   0.04     9817  -1    19000     1500     HS359
LMC    74.71250  -69.95833   9.42   0.09   9.19   0.20    15183  -1    14000     6500     SL151, KMHK388
LMC    75.54583  -67.98833   8.85   0.15   9.03   0.02    43081  -1   100000     2500     NGC1806, SL184
LMC    76.09167  -69.46500   9.48   0.09   9.03   0.30     4742  -1     3200     3050     BSDL525
LMC    75.29583  -67.81833   9.00   0.09   9.04   0.12     8630  -1    19000     8000     SL174, KMHK439
LMC    75.17137  -69.34136   9.30   0.09   9.04   0.16     4786  -1     5000     2650     HS87
LMC    75.61667  -70.29167   9.00   0.09   9.05   0.19     2270  -1     5000     2750     HS94, KMHK468
LMC    73.55000  -69.80667   9.48   0.09   9.06   0.01    97275  -1    65000    10000     NGC1751, SL89
LMC    85.29167  -69.17833   9.30   0.09   9.07   0.23    11482  -1    14000     6000     BSDL2794
LMC    85.77083  -68.72500   9.00   0.09   9.08   0.17     1127  -1     2700     1600     BM10
LMC    83.33333  -68.15167   8.85   0.09   9.08   0.01     6546  -1    18000     1000     SL569, KMHK1065, H3
LMC    75.57500  -68.54500   9.48   0.09   9.22   0.14     3722  -1     4750     2750     HS92, KMHK467
LMC    74.33750  -70.48333   9.48   0.09   9.27   0.18     3698  -1     1950     1100     KMHK355
LMC    81.59583  -68.04667   9.00   0.09   9.12   0.03    48753  -1     6000     1500     KMHK898
LMC    78.48750  -68.71333   9.48   0.09   9.13   0.06    18880  -1    15000     3500     BSDL946
LMC    74.74583  -69.21667   9.00   0.09   9.29   0.17     4093  -1     7000     4625     SL150, KMHK386
LMC    78.03942  -68.91231   9.81   0.09   9.15   0.14    11482  -1     4000     3250     KMK88-38, H88-206
LMC    76.66250  -69.36833   9.48   0.09   9.16   0.20     4325  -1     3200     2050     H88-135
LMC    84.59167  -68.40667   9.00   0.09   9.20   0.17      773  -1     2700     1250     KMHK1167
LMC    77.33750  -69.38167   8.97   0.09   9.22   0.15      560  -1     2200      950     H88-167
LMC    72.97917  -70.39000   9.48   0.09   9.23   0.15    15996  -1    20000     3500     SL66, KMHK180
LMC    84.62917  -68.14000   9.48   0.09   9.24   0.11     3802  -1     5000     2000     BSDL2652
LMC    84.58750  -68.78167   9.48   0.09   9.31   0.02     6138  -1    10000      750     SL629, KMHK1169
LMC    75.26250  -68.08167   9.48   0.09   9.39   0.27     7244  -1     7350     5650     HS88, KMHK436
LMC    83.81250  -68.87000   9.48   0.09   9.38   0.11     3251  -1     6000     1500     KMHK1112
LMC    76.90417  -68.54167   9.48   0.09   9.43   0.01    28576  -1    35000     4000     SL244
LMC    78.70329  -69.45678   9.48   0.09   9.44   0.35    15276  -1    19000     8000     HS190
LMC    79.75875  -69.00106   9.48   0.09   9.46   0.08    59156  -1   100000     5000     NGC1917, SL379
LMC    83.32917  -68.89167   9.00   0.09   9.47   0.03     8710  -1    35000    14000     BSDL2300
LMC    77.30396  -69.28333   9.48   0.09   9.48   0.23     4406  -1     3500     3750     BSDL734
LMC    82.50304  -69.52697   9.70   0.09   9.48   0.06     7943  -1    12000     2000     OGLE-LMC0531
LMC    84.87500  -68.32167   9.48   0.09   9.48   0.02     4365  -1     3500     1300     KMHK1188
LMC    74.27083  -68.41333   6.61   0.15   6.63   0.15     1028  -1      600     1750     BSDL305
LMC    81.96667  -68.98667   6.52   0.15   6.69   0.13      413  -1      400      900     BSDL1834
LMC    79.56667  -69.25167   6.92   0.15   6.72   0.15     6427  -1    15000     9000     H88-267
LMC    84.04167  -68.92833   9.00   0.09   6.81   0.03   107647  -1     3200      750     BRHT16B, KMHK1131
LMC    76.23747  -70.71584   6.61   0.15   6.81   0.12      738  -1      200     1150     NGC1837, SL217
LMC    83.61250  -69.42833   6.60   0.15   6.89   0.17      120  -1     1400      800     KMK88-77
LMC    81.93333  -68.98500   7.30   0.52   6.95   0.09    11066  -1     9000     4000     SL492, ESO56SC133
LMC    84.95833  -69.38667   6.79   0.15   6.98   0.21      143  -1      600     1475     BSDL2721
LMC    73.57500  -69.31167   6.61   0.15   7.01   0.04      169  -1     1500      100     H88-18, H80F1-17, KMHK242
LMC    76.24167  -70.51833   6.60   0.15   7.03   0.22      116  -1      200      500     BSDL579
LMC    83.91250  -68.86167   6.45   0.15   7.12   0.23      273  -1     1800     1500     KMK88-81
LMC    81.91667  -69.13500   6.62   0.15   7.13   0.21     2679  -1    12000     7250     NGC1984, SL488
LMC    83.20417  -67.34333   6.69   0.15   7.14   0.11      441  -1     1000     1250     SL564, KMHK1054
LMC    84.04583  -69.19667   7.20   0.15   7.15   0.06     2168  -1     6500     1250     LT-DELTA, BRHT17A, KMK88-88
LMC    82.11250  -68.98167   6.62   0.15   7.15   0.18      619  -1     1600     2800     HS314
LMC    83.07917  -67.52167   6.69   0.15   7.16   0.18     1406  -1    10000     5000     NGC2011, SL559
LMC    82.66667  -67.28667   7.28   0.15   7.18   0.12    20512  -1    30000     8000     NGC2004, SL523
LMC    85.05417  -69.40167   6.92   0.15   7.19   0.04      759  -1     2700      350     BSDL2747
LMC    75.85000  -70.33667   6.45   0.15   7.20   0.21      453  -1     3200     2050     NGC1823, SL198
LMC    82.65417  -67.18667   6.70   0.13   7.20   0.23      313  -1      900     2400     SL522, KMHK988
LMC    81.67917  -69.10167   7.30   0.52   7.22   0.05     4406  -1     9500     1500     NGC1967, SL478
LMC    73.89583  -69.44833   6.81   0.15   7.24   0.02      592  -1     7000      500     KMHK292
LMC    85.62500  -68.27472   7.00   0.13   7.24   0.14     2377  -1     7500     4500     NGC2098, SL667
LMC    85.40833  -69.31333   6.62   0.15   7.26   0.12      142  -1     1500      850     H88-315
LMC    83.05833  -67.68000   6.62   0.15   7.27   0.11      133  -1     1000      750     BSDL2213
LMC    81.60000  -69.21000   6.63   0.15   7.27   0.10      133  -1      950      800     BSDL1715
LMC    85.41250  -69.23000   7.21   0.15   7.27   0.23      110  -1      950      800     H88-316
LMC    74.11250  -69.40333   7.00   0.13   7.28   0.16     3499  -1    10000     4750     NGC1767, SL120
LMC    85.34167  -69.22333   6.70   0.13   7.30   0.02      350  -1     2500      350     NGC2092, ESO57SC22
LMC    81.62083  -67.70000   6.61   0.15   7.31   0.19       55  -1      250      350     KMHK900
LMC    73.24583  -69.36667   6.45   0.15   7.32   0.11      158  -1     1700      900     KMHK205
LMC    84.04167  -68.91167   6.85   0.15   7.33   0.01      373  -1     4000      400     SL601, BRHT16A, KMHK1130
LMC    72.84583  -69.58500   6.63   0.15   7.33   0.16       90  -1      800      650     KMHK164
LMC    82.05000  -67.12167   6.67   0.15   7.33   0.09       71  -1     1000      550     KMHK930
LMC    82.94167  -68.55833   6.62   0.15   7.33   0.34      149  -1     1700     1500     BCDSP7
LMC    72.79167  -69.39500   6.49   0.15   7.33   0.23      219  -1     2500     1650     BSDL104
LMC    78.14346  -69.28714   7.01   0.15   7.34   0.08     1009  -1     3500     1000     KMK88-40, H88-211
LMC    85.23750  -69.46500   6.70   0.13   7.34   0.03       62  -1     1200      100     BSDL2786
LMC    74.02917  -69.24667   7.32   0.15   7.35   0.10     2355  -1     6500     1000     SL114, KMHK305
LMC    84.56667  -69.06667   6.98   0.15   7.35   0.10     2399  -1     9500     2500     M-OB1, H88-301
LMC    81.90833  -69.14167   6.63   0.15   7.38   0.11      608  -1     5500     1750     BSDL1818
LMC    75.93750  -70.35333   6.59   0.15   7.38   0.13       93  -1     1300      750     KMHK493
LMC    76.74308  -69.14736   7.18   0.15   7.39   0.17      973  -1     3000     2900     SL237
LMC    82.78333  -67.48333   6.69   0.15   7.39   0.16       89  -1      900      750     KMHK1002
LMC    73.88333  -69.49667   6.53   0.15   7.41   0.28      247  -1     3500     2400     SL109, KMHK290
LMC    85.52500  -68.36333   6.69   0.15   7.42   0.18      179  -1     2500     1325     KMHK1251
LMC    85.24167  -69.43667   7.15   0.15   7.43   0.26     1706  -1     5500     3925     NGC2091, SL653
LMC    83.37500  -67.45333   6.69   0.15   7.43   0.24      353  -1     4500     2425     NGC2021, SL570
LMC    84.97917  -69.40667   6.57   0.15   7.44   0.25       64  -1     2500     1625     BSDL2726
LMC    82.14167  -67.22500   7.28   0.15   7.45   0.12     2291  -1     6500     2000     SL498, KMHK943
LMC    77.91725  -68.72664   7.76   0.54   7.45   0.20     8017  -1     9500     5250     NGC1863, SL299
LMC    83.62083  -67.45333   6.58   0.15   7.45   0.16       53  -1     1100      650     BRHT63A
LMC    83.60833  -67.44667   6.71   0.15   7.45   0.15       50  -1      750      700     BRHT63B
LMC    74.13750  -69.37000   6.70   0.13   7.45   0.28      182  -1     2700     1900     SL123, KMHK320
LMC    73.77083  -69.05833   7.02   0.15   7.46   0.07      501  -1     2200      250     KMHK270
LMC    81.96250  -69.22167   6.69   0.15   7.47   0.28      200  -1     3000     1900     BSDL1837
LMC    83.08333  -67.52833   7.04   0.15   7.48   0.02      759  -1     3000      400     BRHT14B, KMHK1040
LMC    85.45417  -68.92167   7.00   0.13   7.48   0.15     1271  -1     6500     2650     NGC2093, SL657
LMC    74.11250  -67.93333   7.19   0.15   7.49   0.07      575  -1      750       75     BRHT60A, KMHK309N
LMC    73.67500  -69.06000   6.49   0.15   7.50   0.21      196  -1     2700     1300     KMHK251
LMC    72.26667  -69.11500   7.19   0.15   7.50   0.27     1754  -1     5500     4300     NGC1698, SL45
LMC    73.96667  -69.70667   6.81   0.15   7.51   0.16      201  -1     1900      500     BSDL268
LMC    84.68333  -68.44500   6.70   0.13   7.51   0.35       42  -1      850      800     KMHK1174
LMC    72.63333  -70.07500   7.62   0.54   7.52   0.17     2291  -1     3200     1400     SL56, KMHK142
LMC    73.67500  -70.35833   6.95   0.15   7.52   0.07      525  -1     2200      550     BH27C2, KMHK264
LMC    73.73333  -70.60333   6.54   0.15   7.53   0.05       72  -1     1300      200     SL102, HS62, BRHT44A
LMC    83.60000  -69.10333   7.18   0.15   7.54   0.09      625  -1     2200      350     BSDL2402
LMC    75.47500  -70.52333   7.16   0.15   7.54   0.14      380  -1     1600      750     KMHK464
LMC    75.66667  -70.31833   7.00   0.15   7.54   0.22      492  -1     2500     1350     NGC1813, SL190
LMC    73.75000  -70.90333   6.54   0.15   7.55   0.03       77  -1     1500      300     HS63, KMHK278
LMC    73.83750  -69.94167   6.71   0.15   7.56   0.14       37  -1      450      400     HS66, KMHK284
LMC    72.54167  -68.99833   7.00   0.13   7.57   0.05      597  -1     3500      600     SL49
LMC    76.78558  -68.97297   7.20   0.15   7.58   0.26     2443  -1    15000     8500     NGC1847, SL240
LMC    76.30058  -68.55283   7.22   0.15   7.60   0.14      679  -1     3000     1150     SL212
LMC    85.30000  -68.86500   6.71   0.15   7.60   0.20      215  -1     4500     1950     H88-309, KMHK1230
LMC    74.21667  -68.00500   7.00   0.13   7.62   0.25      231  -1     2200     1600     BRHT45B
LMC    73.76667  -69.46167   6.71   0.15   7.62   0.27      100  -1     2200     1400     KMHK271
LMC    78.20408  -68.86428   7.19   0.15   7.62   0.25      449  -1     2700     2000     KMK88-42, H88-216
LMC    75.61250  -70.62167   7.25   0.15   7.63   0.16     1294  -1     4500     2150     NGC1815, SL189
LMC    82.01250  -68.81167   7.29   0.15   7.63   0.14     2270  -1     8000     2250     SL495, KMHK933
LMC    74.22500  -68.00167   6.73   0.15   7.65   0.12       35  -1      900      550     HS72, BRHT45A, KMHK326
LMC    76.58500  -70.47972   7.38   0.15   7.65   0.12     1472  -1     4000     1400     SL232, KMHK545
LMC    75.12500  -68.45667   7.25   0.15   7.66   0.05      625  -1     3500      350     KMHK424
LMC    76.54200  -70.01450   6.93   0.15   7.66   0.14      160  -1     1000      550     KMHK540
LMC    83.67083  -67.50333   7.28   0.15   7.66   0.16     2148  -1     6500     2250     KMHK1098
LMC    76.23846  -70.01900   7.28   0.15   7.67   0.23      887  -1     4000     2150     SL216, KMHK521
LMC    76.97917  -70.03333   7.19   0.15   7.67   0.19      283  -1     2500     1600     KMHK572
LMC    73.12083  -68.82833   6.54   0.15   7.67   0.21       81  -1     1700      900     H88-12, H80F1-11, KMHK189
LMC    74.10000  -68.80333   7.63   0.54   7.68   0.03     2559  -1     3500      500     SL116, KMHK315
LMC    73.61250  -68.51667   7.51   0.54   7.69   0.11      685  -1      900      325     H88-20, H80F1-16, KMHK244
LMC    75.26875  -69.08425   7.28   0.15   7.70   0.03     1159  -1     4500      500     NGC1804, SL172
LMC    85.76667  -68.74833   6.90   0.15   7.70   0.24       90  -1     1100      650     BSDL2884
LMC    83.56250  -68.54333   6.99   0.15   7.70   0.20      319  -1     2500     1400     SL583, KMHK1088
