#
# Age1: log(age)_H03
# Age2: log(age)_P12
#
# Mass1: Mass_H03
# Mass2: Mass_P12
#
#GAL   RA        DEC         Age1   e_age  Age2   e_age   Mass1   e_m1  Mass2    e_m2     NAMES
LMC    85.92917  -69.22333   6.63   0.15   7.21   0.11      127  -1     1100      800     H88-329, KMHK1297
LMC    81.23333  -68.46500   6.62   0.15   7.22   0.16       23  -1      350       50     BSDL1577
LMC    85.88333  -69.25333   6.67   0.15   7.23   0.03       76  -1      550      175     BSDL2898
LMC    72.87500  -67.45500   6.66   0.15   7.32   0.16       98  -1      725      750     HS41, KMHK158
LMC    79.95633  -69.44903   7.12   0.15   7.25   0.06     1472  -1     3200      350     SL393, ESO56SC103
LMC    83.90000  -68.98333   6.69   0.15   7.25   0.03       95  -1     1500      100     KMK88-82
LMC    72.65417  -69.98500   7.46   0.54   7.46   0.25    15730  -1    27500    10250     NGC1711, SL55
LMC    74.95833  -70.15667   6.71   0.15   7.31   0.08       34  -1      800      150     BSDL394
LMC    78.29533  -69.11747   7.20   0.15   7.32   0.05     1570  -1     3700      400     NGC1870, SL317
LMC    80.24054  -69.47783   9.00   0.09   7.33   0.08    21478  -1     1200      350     NGC1928, SL405, HS243
LMC    83.63750  -68.84000   8.99   0.09   7.33   0.07    21878  -1      850      325     SL585, KMHK1099, BRHT39A
LMC    85.57083  -68.45833   6.92   0.15   7.34   0.11      863  -1     3500      900     NGC2096, SL664
LMC    80.62362  -70.15472   7.19   0.15   7.34   0.01     1271  -1     2700      250     NGC1943, SL430
LMC    79.95725  -69.50100   7.38   0.15   7.35   0.07     3981  -1     6500     1500     NGC1922, SL391
LMC    77.52942  -69.08756   9.00   0.09   8.26   0.90    95499  -1     9125     8875     OGLE-LMC0169
LMC    74.59167  -69.80333   6.88   0.15   7.37   0.13      334  -1     1450      525     KMHK378
LMC    78.26667  -70.44833   9.00   0.09   7.37   0.10    95499  -1      250       75     BSDL917
LMC    77.68333  -69.38500   7.23   0.15   7.38   0.06      147  -1     1100      100     H88-186
LMC    83.77083  -69.33000   6.51   0.15   7.38   0.17      128  -1     2500     1250     KMK88-78
LMC    73.28750  -68.21167   7.01   0.19   7.46   0.27      614  -1     3200     2350     SL76, KMHK206
LMC    83.07083  -69.25000   6.97   0.15   7.45   0.11      497  -1     2600     1050     BRHT15B
LMC    82.47917  -69.01333   6.54   0.15   7.39   0.06       63  -1      800      250     KMK88-60
LMC    74.80833  -70.25667   7.02   0.26   7.29   0.28     1062  -1     2250     2900     SL158, KMHK397
LMC    85.98333  -69.18000   8.97   0.09   7.41   0.14    15996  -1      700      275     NGC2108, SL686
LMC    83.41667  -69.11667   6.82   0.15   7.53   0.11      247  -1     5500     1000     BSDL2320
LMC    81.39583  -69.22500   7.20   0.15   7.41   0.10      879  -1     1500      650     BSDL1634
LMC    76.08096  -68.92750   7.15   0.15   7.41   0.04     1614  -1     2500      650     NGC1825, SL202
LMC    73.90417  -69.75500   6.49   0.15   7.42   0.23       34  -1      250      300     BSDL256
LMC    74.18750  -69.43833   6.53   0.15   7.47   0.12       88  -1     1600      800     H88-43, H80F1-32
LMC    74.25833  -68.24833   6.68   0.15   7.43   0.20      170  -1      450     1000     ESO56SC32, NGC1768, SL127
LMC    78.00412  -69.20122   7.18   0.15   7.45   0.08      817  -1     2000      350     SL304
LMC    81.70833  -68.42833   6.56   0.15   7.47   0.05       33  -1      350      125     BSDL1748
