LMC-NGC1466 1.875 0.029 0.029 PL 5.28 0.04 0.04 50.24 0.07 0.07 3.48 0.04 0.04  2.75 0.05 0.04  3.09 0.04  0.05  4.92  0.21 0.20 18.56   0.78  0.75  9.22 0.05 0.04 -0.587 0.047 0.043 
LMC-NGC1651 0.681 0.095 0.095 K  4.53 0.11 0.09 48.46 0.16 0.16 2.28 0.08 0.08  1.40 0.09 0.09  1.73 0.11  0.17  1.46  0.14 0.13  5.82   0.56  0.51  9.37 0.20 0.10 -0.313 0.085 0.072 
LMC-NGC1651 0.681 0.095 0.095 W  4.64 0.18 0.12 48.50 0.17 0.16 2.28 0.08 0.08  1.40 0.09 0.09  1.50 0.22  0.51  1.45  0.14 0.13  5.87   0.57  0.52  9.67 0.59 0.26 -0.324 0.082 0.080 
LMC-NGC1651 0.681 0.095 0.095 PL 4.82 0.39 0.18 48.52 0.17 0.16 2.28 0.08 0.08  1.40 0.10 0.09  0.80 0.67  3.45  1.45  0.14 0.13  5.89   0.57  0.52 10.41 3.07 0.70 -0.318 0.091 0.098 
LMC-NGC1711 0.061 0.003 0.003 K  4.24 0.05 0.05 48.18 0.10 0.10 2.57 0.06 0.05  1.98 0.07 0.06  2.01 0.06  0.07  1.46  0.09 0.09  5.83   0.36  0.34  8.83 0.06 0.04  0.257 0.064 0.046 
LMC-NGC1711 0.061 0.003 0.003 W  4.28 0.06 0.05 48.20 0.10 0.10 2.55 0.05 0.05  1.93 0.06 0.06  1.99 0.06  0.08  1.49  0.09 0.09  5.87   0.36  0.34  8.88 0.08 0.05  0.175 0.053 0.039 
LMC-NGC1711 0.061 0.003 0.003 PL 4.33 0.07 0.06 48.21 0.10 0.10 2.54 0.05 0.05  1.89 0.07 0.06  1.90 0.08  0.15  1.50  0.09 0.09  5.87   0.36  0.34  9.02 0.16 0.08  0.114 0.065 0.042 
LMC-NGC1718 0.663 0.285 0.285 K  4.57 0.22 0.22 48.80 0.44 0.44 2.77 0.22 0.22  2.09 0.22 0.22  2.29 0.23  0.23  2.04  0.59 0.46  8.04   2.34  1.81  9.00 0.14 0.13 -0.069 0.120 0.119 
LMC-NGC1718 0.663 0.285 0.285 W  4.62 0.23 0.23 48.82 0.44 0.44 2.76 0.22 0.22  2.08 0.22 0.22  2.20 0.24  0.26  2.04  0.60 0.46  8.06   2.35  1.82  9.12 0.20 0.17 -0.096 0.120 0.123 
LMC-NGC1718 0.663 0.285 0.285 PL 4.70 0.25 0.23 48.83 0.44 0.44 2.76 0.22 0.22  2.06 0.22 0.22  2.02 0.27  0.41  2.05  0.60 0.46  8.08   2.36  1.82  9.35 0.40 0.22 -0.118 0.125 0.121 
LMC-NGC1754 1.881 0.154 0.154 K  5.07 0.05 0.05 50.14 0.11 0.11 4.22 0.15 0.09  4.13 0.23 0.14  3.41 0.06  0.05  5.56  0.46 0.36 23.09   2.12  1.55  8.74 0.03 0.03  0.680 0.165 0.099 
LMC-NGC1754 1.881 0.154 0.154 W  5.16 0.06 0.06 50.21 0.11 0.11 4.25 0.11 0.09  4.13 0.16 0.14  3.32 0.06  0.07  5.88  0.43 0.38 24.00   1.88  1.65  8.91 0.07 0.06  0.594 0.108 0.092 
LMC-NGC1754 1.881 0.154 0.154 PL 5.35 0.16 0.11 50.21 0.11 0.11 4.22 0.11 0.10  4.09 0.18 0.15  2.42 0.47  1.30  5.84  0.41 0.38 23.82   1.87  1.67  9.81 1.16 0.46  0.567 0.140 0.115 
LMC-NGC1777 0.344 0.082 0.082 K  4.28 0.11 0.11 48.10 0.21 0.21 2.19 0.11 0.11  1.35 0.11 0.11  1.74 0.11  0.12  1.26  0.16 0.14  4.92   0.63  0.56  9.08 0.08 0.07 -0.181 0.074 0.076 
LMC-NGC1777 0.344 0.082 0.082 W  4.33 0.12 0.11 48.11 0.21 0.21 2.18 0.11 0.11  1.34 0.11 0.11  1.66 0.13  0.14  1.26  0.16 0.14  4.92   0.64  0.56  9.19 0.14 0.11 -0.203 0.072 0.081 
LMC-NGC1777 0.344 0.082 0.082 PL 4.43 0.14 0.12 48.13 0.21 0.21 2.18 0.11 0.11  1.33 0.11 0.11  1.44 0.21  0.36  1.26  0.16 0.14  4.96   0.64  0.57  9.47 0.38 0.22 -0.211 0.084 0.086 
LMC-NGC1786 1.872 0.157 0.157 K  5.57 0.05 0.05 51.02 0.10 0.10 4.43 0.10 0.09  4.17 0.15 0.14  3.71 0.06  0.05  8.58  0.59 0.53 35.18   2.61  2.31  9.09 0.02 0.02  0.145 0.103 0.093 
LMC-NGC1786 1.872 0.157 0.157 W  5.58 0.05 0.05 51.00 0.10 0.10 4.33 0.07 0.07  3.97 0.09 0.09  3.70 0.05  0.05  8.53  0.52 0.49 33.94   2.17  2.02  9.11 0.04 0.04 -0.057 0.063 0.059 
LMC-NGC1786 1.872 0.157 0.157 PL 5.64 0.06 0.06 50.99 0.10 0.10 4.27 0.06 0.06  3.87 0.08 0.08  3.54 0.08  0.11  8.43  0.50 0.47 33.19   2.02  1.89  9.30 0.12 0.09 -0.153 0.065 0.058 
LMC-NGC1805 0.023 0.008 0.008 K  3.67 0.17 0.17 47.31 0.35 0.35 2.44 0.18 0.18  2.04 0.19 0.18  1.99 0.17  0.18  1.03  0.23 0.19  4.02   0.89  0.73  8.20 0.09 0.09  0.771 0.114 0.108 
LMC-NGC1805 0.023 0.008 0.008 W  3.70 0.17 0.17 47.33 0.35 0.35 2.43 0.18 0.18  1.99 0.19 0.18  1.98 0.18  0.18  1.04  0.23 0.19  4.03   0.90  0.73  8.23 0.09 0.09  0.690 0.113 0.108 
LMC-NGC1805 0.023 0.008 0.008 PL 3.73 0.17 0.17 47.35 0.35 0.35 2.40 0.17 0.18  1.93 0.18 0.18  1.96 0.18  0.18  1.06  0.23 0.19  4.03   0.90  0.73  8.29 0.11 0.10  0.595 0.112 0.112 
LMC-NGC1818 0.043 0.008 0.008 K  4.42 0.10 0.10 48.51 0.20 0.20 2.69 0.10 0.10  2.07 0.11 0.11  2.16 0.10  0.10  1.75  0.21 0.19  6.96   0.83  0.74  8.92 0.05 0.05  0.111 0.074 0.066 
LMC-NGC1818 0.043 0.008 0.008 W  4.41 0.10 0.10 48.52 0.20 0.20 2.65 0.10 0.10  1.97 0.10 0.10  2.21 0.10  0.10  1.79  0.21 0.19  6.91   0.82  0.74  8.88 0.05 0.05 -0.037 0.061 0.059 
LMC-NGC1818 0.043 0.008 0.008 PL 4.42 0.10 0.10 48.51 0.20 0.20 2.61 0.10 0.10  1.87 0.10 0.10  2.21 0.10  0.10  1.81  0.22 0.19  6.84   0.82  0.73  8.88 0.06 0.05 -0.165 0.065 0.060 
LMC-NGC1831 0.187 0.057 0.057 K  4.59 0.18 0.18 48.68 0.35 0.35 2.37 0.18 0.18  1.44 0.18 0.18  1.96 0.18  0.18  1.71  0.38 0.31  6.60   1.49  1.21  9.27 0.09 0.09 -0.497 0.100 0.096 
LMC-NGC1831 0.187 0.057 0.057 W  4.57 0.18 0.18 48.67 0.35 0.35 2.34 0.18 0.18  1.37 0.18 0.18  2.00 0.18  0.18  1.74  0.39 0.32  6.53   1.47  1.20  9.22 0.09 0.09 -0.606 0.093 0.093 
LMC-NGC1831 0.187 0.057 0.057 PL 4.57 0.18 0.18 48.66 0.35 0.35 2.31 0.18 0.18  1.30 0.18 0.18  2.02 0.18  0.18  1.76  0.40 0.32  6.47   1.46  1.19  9.20 0.09 0.09 -0.716 0.092 0.091 
LMC-NGC1835 1.868 0.156 0.156 K  5.71 0.05 0.05 51.48 0.10 0.10 4.77 0.07 0.07  4.55 0.10 0.10  4.22 0.05  0.05 12.05  0.73 0.69 48.11   3.00  2.85  8.88 0.02 0.02  0.077 0.077 0.074 
LMC-NGC1835 1.868 0.156 0.156 W  5.72 0.05 0.05 51.49 0.10 0.10 4.71 0.06 0.05  4.41 0.08 0.06  4.24 0.05  0.05 12.25  0.73 0.69 47.59   2.86  2.70  8.87 0.02 0.02 -0.096 0.062 0.036 
LMC-NGC1835 1.868 0.156 0.156 PL 5.73 0.05 0.05 51.48 0.10 0.10 4.64 0.06 0.05  4.28 0.07 0.07  4.21 0.05  0.05 12.22  0.73 0.69 46.44   2.81  2.63  8.91 0.03 0.03 -0.245 0.051 0.047 
LMC-NGC1841 1.832 0.023 0.023 K  5.31 0.07 0.06 50.07 0.10 0.09 2.74 0.04 0.04  1.51 0.05 0.06  2.53 0.06  0.08  3.69  0.20 0.19 13.14   0.71  0.66  9.68 0.12 0.07 -1.477 0.089 0.092 
LMC-NGC1841 1.832 0.023 0.023 W  5.32 0.09 0.04 50.07 0.11 0.09 2.73 0.04 0.04  1.50 0.06 0.04  2.52 0.04  0.09  3.69  0.19 0.19 13.14   0.75  0.64  9.70 0.17 0.03 -1.489 0.095 0.025 
LMC-NGC1841 1.832 0.023 0.023 PL 5.35 0.12 0.07 50.09 0.11 0.09 2.73 0.04 0.04  1.50 0.05 0.05  2.50 0.07  0.13  3.68  0.21 0.19 13.21   0.75  0.67  9.74 0.22 0.11 -1.487 0.086 0.087 
LMC-NGC1847 0.043 0.011 0.011 K  4.44 0.20 0.19 47.86 0.30 0.29 2.22 0.14 0.14  1.68 0.14 0.15  0.61 0.28  0.24  0.93  0.16 0.14  4.22   0.73  0.63 10.10 0.34 0.36  0.569 0.079 0.094 
LMC-NGC1847 0.043 0.011 0.011 W  4.74 0.21 0.18 48.01 0.31 0.30 2.22 0.14 0.14  1.67 0.14 0.14 -0.06 0.16  0.17  0.93  0.16 0.14  4.31   0.75  0.64 10.95 0.27 0.22  0.559 0.081 0.088 
LMC-NGC1847 0.043 0.011 0.011 PL 4.94 0.14 0.45 47.68 0.28 0.28 2.11 0.14 0.14  1.45 0.14 0.15 -8.63 7.51  0.14  0.94  0.16 0.14  3.94   0.68  0.58 17.62 0.07 6.16  0.316 0.069 0.092 
LMC-NGC1850 0.053 0.009 0.009 K  4.86 0.10 0.09 49.09 0.17 0.17 2.74 0.09 0.09  2.01 0.10 0.09  1.96 0.11  0.15  2.12  0.22 0.20  8.77   0.91  0.82  9.58 0.15 0.10 -0.190 0.077 0.064 
LMC-NGC1850 0.053 0.009 0.009 W  5.04 0.12 0.12 49.15 0.17 0.17 2.74 0.09 0.09  1.99 0.09 0.10  1.44 0.30  0.32  2.13  0.22 0.20  8.86   0.92  0.84 10.18 0.34 0.32 -0.221 0.068 0.068 
LMC-NGC1850 0.053 0.009 0.009 PL 5.72 0.09 0.59 49.16 0.17 0.18 2.75 0.09 0.10  2.02 0.09 0.13 -7.99 8.89  0.09  2.12  0.22 0.20  8.90   0.92  0.85 18.04 0.04 7.40 -0.173 0.043 0.127 
LMC-NGC1856 0.095 0.022 0.022 K  4.88 0.12 0.12 49.30 0.24 0.24 3.12 0.12 0.12  2.58 0.13 0.13  2.30 0.13  0.15  2.64  0.39 0.34 10.96   1.62  1.41  9.35 0.12 0.08  0.091 0.084 0.071 
LMC-NGC1856 0.095 0.022 0.022 W  5.07 0.13 0.13 49.35 0.24 0.24 3.11 0.12 0.12  2.55 0.12 0.12  1.73 0.19  0.19  2.64  0.39 0.34 11.04   1.63  1.42 10.00 0.18 0.18  0.059 0.067 0.067 
LMC-NGC1856 0.095 0.022 0.022 PL 5.73 0.12 0.43 49.37 0.24 0.24 3.11 0.12 0.12  2.56 0.12 0.13 -7.63 7.51  0.12  2.64  0.39 0.34 11.08   1.63  1.43 17.78 0.06 6.15  0.083 0.060 0.092 
LMC-NGC1860 0.120 0.032 0.032 K  4.33 0.19 0.17 48.07 0.27 0.27 2.53 0.13 0.13  2.04 0.13 0.13  1.44 0.29  0.32  1.25  0.20 0.17  5.37   0.86  0.74  9.36 0.40 0.35  0.532 0.077 0.085 
LMC-NGC1860 0.120 0.032 0.032 W  4.57 0.21 0.23 48.14 0.28 0.28 2.53 0.13 0.13  2.03 0.13 0.13  0.66 0.57  0.30  1.26  0.20 0.17  5.45   0.87  0.75 10.22 0.41 0.67  0.508 0.080 0.084 
LMC-NGC1860 0.120 0.032 0.032 PL 5.05 0.13 0.68 48.05 0.25 0.26 2.53 0.13 0.13  2.03 0.13 0.14 -8.21 9.24  0.13  1.27  0.20 0.17  5.34   0.85  0.73 17.43 0.06 7.76  0.498 0.064 0.113 
LMC-NGC1866 0.096 0.021 0.021 K  4.91 0.12 0.12 49.23 0.23 0.23 2.80 0.12 0.12  2.05 0.12 0.12  2.08 0.12  0.12  2.31  0.33 0.29  9.46   1.35  1.18  9.55 0.06 0.08 -0.260 0.061 0.068 
LMC-NGC1866 0.096 0.021 0.021 W  4.91 0.12 0.12 49.22 0.23 0.23 2.79 0.12 0.12  2.00 0.12 0.12  2.12 0.12  0.13  2.37  0.34 0.29  9.45   1.35  1.18  9.52 0.09 0.06 -0.363 0.068 0.060 
LMC-NGC1866 0.096 0.021 0.021 PL 4.95 0.12 0.12 49.21 0.23 0.23 2.77 0.12 0.12  1.96 0.12 0.12  2.03 0.15  0.13  2.39  0.34 0.30  9.40   1.34  1.17  9.63 0.09 0.11 -0.422 0.061 0.069 
LMC-NGC1868 0.234 0.070 0.070 K  4.33 0.18 0.18 48.56 0.35 0.35 2.99 0.18 0.18  2.55 0.18 0.18  2.49 0.18  0.18  2.01  0.45 0.37  7.96   1.80  1.47  8.57 0.09 0.09  0.407 0.101 0.099 
LMC-NGC1868 0.234 0.070 0.070 W  4.34 0.18 0.18 48.57 0.35 0.35 2.97 0.18 0.18  2.48 0.18 0.18  2.53 0.18  0.18  2.06  0.47 0.38  7.98   1.80  1.47  8.56 0.09 0.09  0.288 0.095 0.094 
LMC-NGC1868 0.234 0.070 0.070 PL 4.36 0.18 0.18 48.58 0.35 0.35 2.94 0.18 0.18  2.42 0.18 0.18  2.51 0.18  0.18  2.09  0.47 0.38  7.94   1.80  1.46  8.59 0.09 0.09  0.197 0.093 0.096 
LMC-NGC1898 1.921 0.158 0.158 K  5.35 0.06 0.06 50.32 0.11 0.11 3.53 0.05 0.05  2.88 0.06 0.06  2.96 0.07  0.10  4.78  0.30 0.28 19.17   1.21  1.14  9.40 0.11 0.07 -0.386 0.054 0.043 
LMC-NGC1898 1.921 0.158 0.158 W  5.43 0.09 0.07 50.34 0.11 0.11 3.52 0.05 0.05  2.86 0.06 0.06  2.79 0.13  0.19  4.79  0.30 0.28 19.25   1.22  1.15  9.63 0.23 0.16 -0.411 0.044 0.045 
LMC-NGC1898 1.921 0.158 0.158 PL 5.59 0.18 0.11 50.36 0.11 0.11 3.52 0.05 0.05  2.86 0.07 0.06  2.27 0.37  1.04  4.79  0.30 0.28 19.32   1.23  1.16 10.20 1.00 0.40 -0.412 0.064 0.055 
LMC-NGC1916 1.896 0.161 0.161 K  5.77 0.05 0.05 51.66 0.10 0.10 4.96 0.08 0.07  4.81 0.11 0.10  4.39 0.05  0.05 13.83  0.84 0.80 55.43   3.52  3.32  8.82 0.02 0.02  0.161 0.083 0.074 
LMC-NGC1916 1.896 0.161 0.161 W  5.79 0.05 0.05 51.66 0.10 0.10 4.90 0.06 0.06  4.68 0.09 0.08  4.38 0.05  0.05 13.91  0.83 0.78 54.51   3.33  3.12  8.85 0.03 0.02  0.005 0.064 0.059 
LMC-NGC1916 1.896 0.161 0.161 PL 5.82 0.05 0.05 51.65 0.10 0.10 4.82 0.06 0.05  4.54 0.07 0.07  4.33 0.05  0.05 13.83  0.81 0.77 53.13   3.16  2.97  8.92 0.04 0.03 -0.142 0.056 0.051 
LMC-NGC1984 0.026 0.011 0.011 K  3.82 0.19 0.19 47.56 0.37 0.37 2.62 0.19 0.19  2.28 0.21 0.21  2.02 0.19  0.19  1.16  0.28 0.22  4.67   1.12  0.91  8.34 0.12 0.11  0.858 0.130 0.127 
LMC-NGC1984 0.026 0.011 0.011 W  3.88 0.19 0.19 47.58 0.37 0.38 2.60 0.19 0.19  2.23 0.20 0.20  1.94 0.20  0.26  1.18  0.28 0.23  4.70   1.13  0.91  8.48 0.22 0.15  0.785 0.128 0.125 
LMC-NGC1984 0.026 0.011 0.011 PL 4.00 0.21 0.21 47.60 0.37 0.38 2.59 0.19 0.19  2.22 0.20 0.21  1.62 0.33  0.51  1.18  0.28 0.23  4.71   1.13  0.92  8.84 0.49 0.33  0.762 0.125 0.147 
LMC-NGC2004 0.039 0.006 0.006 K  4.36 0.11 0.11 48.41 0.23 0.23 2.84 0.12 0.12  2.38 0.15 0.13  2.12 0.12  0.12  1.71  0.24 0.21  7.02   0.99  0.87  8.89 0.07 0.06  0.461 0.120 0.087 
LMC-NGC2004 0.039 0.006 0.006 W  4.38 0.11 0.11 48.49 0.23 0.23 2.82 0.12 0.12  2.28 0.13 0.12  2.26 0.12  0.12  1.84  0.26 0.23  7.26   1.02  0.89  8.80 0.06 0.06  0.244 0.081 0.080 
LMC-NGC2004 0.039 0.006 0.006 PL 4.41 0.12 0.12 48.51 0.23 0.23 2.78 0.12 0.12  2.18 0.12 0.13  2.26 0.12  0.12  1.88  0.26 0.23  7.23   1.02  0.89  8.83 0.06 0.06  0.106 0.077 0.090 
LMC-NGC2005 1.876 0.158 0.158 K  5.27 0.05 0.05 50.64 0.11 0.11 4.45 0.07 0.07  4.31 0.10 0.09  3.83 0.05  0.05  7.61  0.50 0.46 30.74   2.09  1.92  8.66 0.03 0.03  0.437 0.075 0.068 
LMC-NGC2005 1.876 0.158 0.158 W  5.34 0.05 0.05 50.87 0.11 0.11 6.45 0.12 0.07  7.91 0.26 0.16  3.95 0.06  0.06 12.05  1.01 0.86 60.36   4.14  3.67  8.64 0.03 0.03  3.463 0.309 0.221 
LMC-NGC2005 1.876 0.158 0.158 PL 5.38 0.06 0.06 50.66 0.11 0.11 4.37 0.06 0.06  4.14 0.08 0.08  3.63 0.09  0.12  7.68  0.49 0.46 30.23   1.93  1.83  8.93 0.12 0.09  0.238 0.065 0.058 
LMC-NGC2011 0.020 0.010 0.010 K  3.80 0.26 0.26 47.20 0.51 0.51 2.47 0.26 0.26  2.24 0.29 0.28  1.25 0.27  0.29  0.86  0.29 0.22  3.72   1.26  0.94  8.90 0.22 0.18  1.229 0.186 0.170 
LMC-NGC2011 0.020 0.010 0.010 W  4.04 0.26 0.27 47.29 0.51 0.51 2.48 0.25 0.25  2.25 0.25 0.26  0.52 0.35  0.30  0.88  0.30 0.22  3.82   1.29  0.97  9.72 0.25 0.31  1.199 0.140 0.152 
LMC-NGC2011 0.020 0.010 0.010 PL 4.53 0.25 0.49 47.21 0.51 0.51 2.38 0.25 0.26  2.06 0.25 0.26 -8.36 7.50  0.25  0.87  0.29 0.22  3.65   1.23  0.92 16.94 0.13 6.14  1.032 0.126 0.151 
