#mag    e_mag    col1   e_col1    m_ini
19.7366    0.0183   0.0134   0.0269   2.1287
19.7668    0.0183   0.0065   0.0269   2.1287
19.3841    0.0156   0.0344   0.0224   3.8767
19.7523    0.0183   0.0533   0.0269   2.1287
19.5870    0.0172   0.1031   0.0250   2.1600
19.3946    0.0153   0.1121   0.0218   2.2086
18.9835    0.0128   0.0947   0.0176   4.1350
17.4062    0.0069   1.5364   0.0060   4.3895
18.4623    0.0103   0.9932   0.0129   4.2741
18.8047    0.0119   1.5431   0.0159   2.2748
18.6631    0.0111   1.1316   0.0145   4.0091
18.0285    0.0086   1.4645   0.0097   2.3935
17.2908    0.0066   1.4539   0.0054   4.7788
18.2238    0.0093   0.8642   0.0109   4.4582
18.1382    0.0090   1.4252   0.0105   2.3707
18.2791    0.0095   1.4316   0.0115   2.3523
15.7687    0.0044   2.9573  -0.0000   2.4214
