#ID x y mag e_mag col1 e_col1 memb_prob sel
254738   1119.765000 5320.064000  19.6240   0.0090   1.4310   0.0170   0.3400      1
256000   1198.416000 5339.590000  18.8880   0.0100  -0.1270   0.0130   0.3230      1
258936   1379.779000 5317.000000  18.8970   0.0060  -0.1120   0.0070   0.3200      1
259014   1384.928000 5416.165000  17.8890   0.0040   1.8230   0.0100   0.3120      1
255704   1178.685000 5331.692000  18.8580   0.0140  -0.0640   0.0170   0.3070      1
255377   1158.004000 5344.140000  19.6240   0.0100   1.2810   0.0250   0.3030      1
255500   1165.239000 5344.484000  18.7820   0.0070  -0.0770   0.0080   0.2970      1
258283   1339.323000 5389.734000  20.2810   0.0170   0.3490   0.0200   0.2950      1
255800   1184.708000 5423.125000  20.3010   0.0180   0.8640   0.0230   0.2900      1
256751   1243.833000 5382.022000  20.2790   0.0110   0.3220   0.0160   0.2820      1
254405   1101.002000 5457.847000  18.6690   0.0040   1.6660   0.0120   0.2790      1
257433   1287.970000 5408.510000  18.6750   0.0070   1.6950   0.0140   0.2780      1
256291   1215.804000 5230.034000  18.6800   0.0050   1.6980   0.0090   0.2760      1
256476   1227.133000 5388.959000  19.7340   0.0140   0.0190   0.0160   0.2730      1
254824   1124.357000 5397.252000  18.7890   0.0050   1.6700   0.0110   0.2660      1
258099   1329.176000 5294.770000  17.2170   0.0040   2.6810   0.0070   0.2610      1
258149   1331.876000 5464.023000  20.1650   0.0150   0.6950   0.0210   0.2600      1
254149   1084.996000 5312.777000  18.3600   0.0050   1.7730   0.0090   0.2560      1
258539   1356.389000 5312.859000  17.1890   0.0040   2.6130   0.0340   0.2520      1
257110   1265.973000 5255.908000  20.1550   0.0130   0.7040   0.0210   0.2520      1
258129   1331.108000 5480.624000  20.3900   0.0190   0.9610   0.0260   0.2510      1
254279   1092.689000 5283.090000  18.8830   0.0060   0.2670   0.0080   0.2470      1
256048   1201.474000 5374.375000  20.2500   0.0120   0.1860   0.0150   0.2460      1
256077   1203.449000 5440.436000  20.1610   0.0130   0.6370   0.0160   0.2430      1
254190   1087.985000 5397.653000  20.1200   0.0110   0.2060   0.0150   0.2360      1
255404   1160.039000 5271.102000  20.6260   0.0130   0.2520   0.0200   0.2320      1
