#
# NAME:	Cluster's name.
# c_x: 	Cluster's x center coordinate in pixels.
# c_y: 	Cluster's y center coordinate in pixels.
# rad: 	Cluster's radius in pixels.
#
#
# MC:	Manual center flag.
#		'0': Disabled, center will be searched automatically.
# 		'1': The coordinates given will be used as initial
#		approximate values for the cluster's true central
#		coordinates. The latter will be	searched inside the
#		radius given in the 'rad' parameter.
#		'2': Value is fixed to what is given here.
#
# MR:	Radius value flag.
#		'0': Disabled, radius will be searched automatically.
#		'1': The radius for the cluster	will be taken from
#		the 'rad' value.
#
# ME: 	Error rejection method. Allowed values are [0, 1, 2, 3].
# 		The '0' value means the mode set in the input parameters file
# 		will be used. Any other value is interpreted as:
# 		1: 'emax', 2: 'lowexp', 3: 'eyefit'
#
# NAME         c_x          c_y          rad      MC  MR  ME
#
SL13           3525.0       4410.0       100.     1  0  0
KMHK1023       2660.0       2845.0       100.     1  0  0
SL132          6100.0       4360.0       100.     1  0  0
NGC1751        3750.0       1360.0       100.     1  0  0
###########    ^ Ref 33
C11            1525.0       520.0        100.     1  0  0
BSDL594        185.0        1385.0       100.     1  0  0
SL54           410.0        2410.0       100.     1  0  0
HS156          1280.0       285.0        100.     1  0  0
HS130          280.0        1945.0       100.     1  0  0
HS178          1050.0       1090.0       100.     1  0  0
LW69           190.0        1880.0       100.     1  0  0
KMHK151        1235.0       1915.0       100.     1  0  0
BSDL761        720.0        2725.0       100.     1  0  0
SL41           265.0        3215.0       100.     1  0  0
LW211          950.0        1220.0       100.     1  0  0
SL870          870.0        965.0        100.     1  0  0
KMHK123        1655.0       595.0        100.     1  0  0
BSDL654        1062.0       3302.0       100.     1  0  0
BSDL675        685.0        190.0        100.     1  0  0
BSDL779        925.0        880.0        100.     1  0  0
BSDL665        1480.0       3870.0       100.     1  0  0
SL72           1200.0       1060.0       100.     1  0  0
BSDL3158       1640.0       2050.0       100.     1  0  0
KMHK128        230.0        825.0        100.     1  0  0
SL73           750.0        885.0        100.     1  0  0
SL33           555.0        2150.0       100.     1  0  0
KMHK1702       172.0        425.0        100.     1  0  0
###########    ^ Ref 34
BSDL341			1219.		5349.		100.		1  0  0
KMHK979			387.		7390.		100.		1  0  0
SL230			1380.		3281.		100.		1  0  0
SL551			5956.		2989.		100.		1  0  0
BRHT38B			6200.		3140.		100.		1  0  0
H88-33 			4791.		2141.		100.		1  0  0
BRHT45A 		1833.		3604.		100.		1  0  0
BSDL77 			5421.		5679.		100.		1  0  0
BSDL268 		5040.		3290.		100.		1  0  0
BSDL631 		509.		3280.		100.		1  0  0
H88-131 		2841.		1234.		100.		1  0  0
H88-265 		1521. 		3570.		100.		1  0  0
H88-269 		2760.		4314.		100.		1  0  0
H88-320 		5595. 		2411.		100.		1  0  0
H88-331 		1737. 		5028.		100.		1  0  0
HS116 			5389.		2885.		100.		1  0  0
HS131 			192. 		6565.		100.		1  0  0
HS247 			4874.		8051.		100.		1  0  0
HS390 			3764.		1829.		100.		1  0  0
HS411 			1065.		6963.		100.		1  0  0
HS412 			2546.		7088.		100.		1  0  0
KMHK95 			809.		1705.		100.		1  0  0
KMHK907 		486.		3558.		100.		1  0  0
KMHK975 		7467.		582.		100.		1  0  0
LW54 			740.		7304.		100.		1  0  0
NGC1793 		7068.		7815.		100.		1  0  0
SL397 			5076.		6175.		100.		1  0  0
SL579			7723.		5989.		100.		1  0  0
BSDL677 		7177.		5070.		100.		1  0  0
H88-235 		1243.		780.		100.		1  0  0
H88-244 		1749.		1410.		100.		1  0  0
H88-279 		265. 		5890.		100.		1  0  0
H88-307 		2905.		559.		100.		1  0  0
H88-316 		3159.		1950.		100.		1  0  0
KMHK378 		3608.		6451.		100.		1  0  0
KMHK505 		6609.		791.		100.		1  0  0
OGLE298 		1800.		2135.		100.		1  0  0
SL269 			3291. 		4878.		100.		1  0  0
###########    ^ Ref 35



#
#### Milky way ####
#CZ26           1125.28      495.6        237.5      1  0  0
#CZ30           898.65       1154.0       237.5      1  0  0
#HAF11          922.35       1075.8       362.5      1  0  0
###########    ^ Ref 17
#NGC2236        1047.76      980.49       237.5      1  0  0
###########    ^ Ref 18
#NGC2324        1200.0       1050.0       400.0      1  0  0
###########    ^ Ref 19
#NGC2627        1040.0       1180.0       362.5      1  0  0
###########    ^ Ref 20
#RUP1           1151.8       1028.86      212.5      1  0  0
###########    ^ Ref 21
#TO1            1580.0       1400.0       430.0      1  0  0
###########    ^ Ref 22
#TR5            990.0        1400.0       450.0      1  0  0
###########    ^ Ref 23
#### Milky way ####
#
