#mag    e_mag    col1   e_col1    m_ini
21.7394    0.0715   0.6142   0.1012   1.0993
21.9792    0.0788   0.6260   0.1121   1.0782
21.5737    0.0619   0.5987   0.0872   2.0190
21.5544    0.0614   0.6174   0.0865   2.0226
21.9990    0.0811   0.5773   0.1155   1.0723
21.8771    0.0750   0.4785   0.1064   1.0889
22.0529    0.0871   0.6908   0.1245   1.0571
21.3339    0.0536   0.6365   0.0753   2.0747
21.5895    0.0624   0.6653   0.0879   2.0161
21.6374    0.0589   0.5707   0.0828   2.0395
21.6617    0.0619   0.6469   0.0872   2.0190
21.7966    0.0715   0.6168   0.1012   1.0993
21.5395    0.0603   0.7244   0.0849   2.0298
22.0969    0.0865   0.5602   0.1236   1.0587
21.7701    0.0788   0.5329   0.1121   1.0782
21.2369    0.0502   0.5387   0.0703   2.0985
21.4589    0.0611   0.7243   0.0861   2.0244
21.4923    0.0584   0.5914   0.0821   2.0430
21.7891    0.0750   0.4535   0.1064   1.0889
22.0052    0.0804   0.5636   0.1144   1.0741
21.5595    0.0619   0.7393   0.0872   2.0190
22.2633    0.1000   0.5410   0.1441   1.0282
21.9905    0.0871   0.5177   0.1245   1.0571
21.2773    0.0525   0.6268   0.0736   2.0825
21.3156    0.0517   0.6093   0.0725   2.0878
21.2993    0.0525   0.5861   0.0736   2.0825
21.3483    0.0528   0.6311   0.0741   2.0801
21.3751    0.0509   0.6124   0.0714   2.0932
21.3838    0.0544   0.6080   0.0764   2.0693
22.2259    0.0951   0.5562   0.1366   1.0388
21.2193    0.0481   0.5709   0.0674   2.1259
21.2307    0.0509   0.5484   0.0714   2.0932
21.2605    0.0507   0.5159   0.0710   2.1039
21.4761    0.0589   0.5407   0.0828   2.0395
21.1772    0.0433   0.5597   0.0607   2.1733
21.8373    0.0723   0.4754   0.1024   1.0969
21.7462    0.0759   0.4846   0.1078   1.0863
21.6716    0.0631   0.6061   0.0890   2.0110
21.2109    0.0472   0.4735   0.0662   2.1356
21.0227    0.0432   0.5314   0.0605   2.1752
21.4733    0.0599   0.4247   0.0843   2.0324
21.3899    0.0568   0.7049   0.0798   2.0536
21.5371    0.0584   0.6048   0.0821   2.0430
21.3205    0.0509   0.5939   0.0714   2.0932
21.1018    0.0448   0.6317   0.0627   2.1585
21.5638    0.0584   0.4887   0.0821   2.0430
21.4154    0.0531   0.6040   0.0745   2.0783
22.0849    0.0935   0.4464   0.1342   1.0423
21.2432    0.0505   0.6745   0.0709   2.0958
21.4187    0.0521   0.5922   0.0731   2.0851
21.5405    0.0626   0.7387   0.0881   2.0148
21.8078    0.0769   0.5365   0.1092   1.0836
21.2934    0.0505   0.6306   0.0709   2.0958
21.8303    0.0731   0.2906   0.1037   1.0943
21.6139    0.0619   0.6465   0.0872   2.0190
21.4620    0.0594   0.6135   0.0836   2.0359
21.8527    0.0811   0.4559   0.1155   1.0723
21.9391    0.0858   0.5360   0.1226   1.0602
21.3322    0.0494   0.6847   0.0693   2.1035
21.9601    0.0818   0.5405   0.1165   1.0705
21.3129    0.0502   0.5554   0.0703   2.0985
21.3525    0.0549   0.5774   0.0771   2.0660
21.3468    0.0531   0.4932   0.0745   2.0783
21.5845    0.0631   0.4910   0.0890   2.0110
22.1581    0.0935   0.5680   0.1342   1.0423
21.1917    0.0500   0.6713   0.0701   2.1022
21.5319    0.0611   0.6462   0.0861   2.0244
21.5401    0.0589   0.5085   0.0828   2.0395
21.3650    0.0531   0.6638   0.0745   2.0783
21.5218    0.0603   0.4973   0.0849   2.0298
21.4435    0.0568   0.7126   0.0798   2.0536
22.4372    0.1101   0.8092   0.1596   1.0080
21.4098    0.0532   0.6053   0.0746   2.0846
22.1913    0.0967   0.5889   0.1391   1.0352
21.7634    0.0788   0.6312   0.1121   1.0782
21.3492    0.0536   0.6794   0.0753   2.0747
21.1116    0.0432   0.4985   0.0605   2.1752
22.3574    0.1048   0.8949   0.1514   1.0184
21.4080    0.0532   0.6276   0.0746   2.0819
21.3334    0.0497   0.5571   0.0696   1.1849
21.6102    0.0625   0.5774   0.0881   1.1292
21.4539    0.0582   0.5870   0.0818   1.1467
20.8691    0.0388   0.5289   0.0545   2.1937
21.3367    0.0506   0.5948   0.0709   1.1806
21.1509    0.0462   0.5761   0.0647   2.1350
21.1409    0.0446   0.5715   0.0625   2.1396
21.5117    0.0660   0.3857   0.0932   1.1165
20.9574    0.0393   0.5897   0.0551   2.1848
21.1174    0.0469   0.5747   0.0657   2.1217
21.2310    0.0481   0.5864   0.0674   2.1131
21.5332    0.0587   0.7186   0.0826   1.1443
21.2597    0.0497   0.5615   0.0696   1.1849
21.0949    0.0439   0.4839   0.0615   2.1458
21.1473    0.0465   0.6506   0.0652   2.1246
21.0347    0.0400   0.6748   0.0562   2.1861
21.2834    0.0481   0.6735   0.0674   2.1131
20.8198    0.0382   0.4279   0.0537   2.1934
21.3360    0.0525   0.4737   0.0736   1.1720
20.9797    0.0408   0.5462   0.0572   2.1719
21.3519    0.0506   0.5534   0.0709   1.1806
21.0665    0.0427   0.4954   0.0598   2.1558
21.1876    0.0441   0.5896   0.0618   2.1543
21.2300    0.0462   0.6228   0.0647   2.1273
21.6894    0.0699   0.6062   0.0988   1.1041
20.9526    0.0387   0.4906   0.0544   2.1891
21.3602    0.0515   0.5095   0.0723   1.1763
21.3039    0.0481   0.3923   0.0674   2.1131
21.2494    0.0479   0.5298   0.0671   1.1934
21.6468    0.0609   0.6061   0.0858   1.1354
21.3195    0.0535   0.4797   0.0750   1.1677
20.9645    0.0387   0.5449   0.0544   2.1891
21.1786    0.0454   0.5429   0.0636   2.1335
20.9042    0.0382   0.5165   0.0537   2.1934
21.0371    0.0417   0.5034   0.0584   2.1901
21.3009    0.0506   0.4510   0.0709   1.1806
21.1778    0.0439   0.5935   0.0615   2.1458
21.1697    0.0465   0.6079   0.0652   2.1246
21.1085    0.0434   0.5006   0.0608   2.1605
21.1825    0.0472   0.4372   0.0662   1.1965
21.1977    0.0481   0.5901   0.0674   2.1131
21.2687    0.0470   0.4487   0.0659   2.1207
21.3763    0.0535   0.4564   0.0750   1.1677
21.5258    0.0602   0.3908   0.0847   1.1385
21.1266    0.0430   0.5641   0.0602   2.1534
21.5261    0.0587   0.7278   0.0826   1.1443
20.8883    0.0364   0.4652   0.0512   2.2392
20.8263    0.0353   0.5915   0.0496   2.2588
21.3735    0.0515   0.6292   0.0723   1.1763
20.7327    0.0330   0.5415   0.0465   2.3032
20.9862    0.0391   0.4827   0.0549   2.2057
20.9107    0.0361   0.4800   0.0507   2.2502
21.6301    0.0625   0.4473   0.0881   1.1292
21.1580    0.0477   0.6140   0.0669   2.1155
21.1586    0.0462   0.4958   0.0647   2.1273
21.5963    0.0642   0.5206   0.0905   1.1231
21.2063    0.0472   0.4823   0.0661   2.1197
20.8843    0.0368   0.5215   0.0517   2.2457
21.1754    0.0467   0.3677   0.0654   1.1991
21.3605    0.0515   0.5414   0.0723   1.1763
21.3087    0.0488   0.5394   0.0683   1.1892
21.5844    0.0609   0.5560   0.0858   1.1354
21.2323    0.0472   0.5612   0.0662   1.1965
21.1568    0.0458   0.6131   0.0642   2.1304
21.5066    0.0582   0.5156   0.0818   1.1467
20.9498    0.0379   0.4657   0.0532   2.2328
21.7152    0.0691   0.4506   0.0977   1.1065
20.7034    0.0335   0.4432   0.0472   2.2894
21.2207    0.0479   0.5675   0.0671   1.1934
20.9687    0.0403   0.5454   0.0565   2.1762
20.8627    0.0372   0.5384   0.0522   2.2287
21.0430    0.0433   0.4403   0.0606   2.1509
21.1978    0.0454   0.5791   0.0636   2.1335
20.9699    0.0398   0.5815   0.0558   2.1805
21.0914    0.0433   0.4907   0.0606   2.1509
21.3504    0.0535   0.4726   0.0750   1.1677
21.0191    0.0398   0.4922   0.0558   2.1805
21.2499    0.0458   0.6426   0.0642   2.1304
21.2450    0.0472   0.5967   0.0661   2.1197
21.4428    0.0554   0.3704   0.0778   1.1589
21.5746    0.0633   0.6605   0.0893   1.1262
21.5516    0.0594   0.4990   0.0835   1.1415
20.9394    0.0388   0.5912   0.0544   2.2230
21.2373    0.0488   0.6310   0.0683   1.1892
21.4622    0.0525   0.5171   0.0736   1.1720
21.6118    0.0691   0.5364   0.0977   1.1065
20.6721    0.0325   0.5313   0.0459   2.3043
21.1193    0.0477   0.5462   0.0669   2.1155
21.2441    0.0488   0.5654   0.0683   2.1083
21.6640    0.0683   0.4684   0.0965   1.1089
21.3257    0.0525   0.4578   0.0736   1.1720
21.2575    0.0515   0.6921   0.0723   1.1763
21.2725    0.0497   0.5655   0.0696   1.1849
21.2057    0.0497   0.5986   0.0696   1.1849
21.0737    0.0442   0.6319   0.0620   2.1427
21.5808    0.0609   0.4749   0.0858   1.1354
21.0567    0.0442   0.6553   0.0620   2.1427
21.5982    0.0683   0.6896   0.0965   1.1089
21.2702    0.0488   0.4536   0.0683   1.1892
21.2534    0.0515   0.6052   0.0723   1.1763
20.9498    0.0398   0.6180   0.0558   2.1805
21.1325    0.0462   0.5940   0.0647   2.1273
20.9526    0.0389   0.4639   0.0546   2.2064
21.4757    0.0594   0.4806   0.0835   1.1415
