#mag    e_mag    col1   e_col1    m_ini
23.1971    0.0923   1.1667   0.1390   0.8909
22.8810    0.0735   1.2019   0.1100   1.6715
23.2399    0.0897   0.8032   0.1350   0.8993
22.8798    0.0706   1.0689   0.1057   1.6926
22.7595    0.0657   0.7472   0.0981   0.9979
22.1772    0.0540   1.0997   0.0805   1.8216
22.3387    0.0575   0.9735   0.0858   1.7931
22.6965    0.0664   0.9763   0.0993   0.9944
22.0541    0.0453   0.7304   0.0673   1.9603
22.1319    0.0499   0.8891   0.0743   1.9000
22.1143    0.0457   0.7688   0.0680   1.9547
22.1213    0.0476   0.7393   0.0708   1.8765
22.4549    0.0598   0.7624   0.0893   1.0282
21.7792    0.0389   0.7128   0.0578   2.0379
21.9433    0.0457   0.8078   0.0679   1.8936
22.2381    0.0507   0.8450   0.0755   1.8495
22.0530    0.0477   0.7864   0.0710   1.8870
22.2621    0.0532   0.6921   0.0793   1.0664
22.1887    0.0524   0.6595   0.0781   1.0716
21.6477    0.0380   0.7771   0.0565   2.0577
21.9069    0.0434   0.8537   0.0646   1.9772
22.4739    0.0581   0.9005   0.0866   1.0378
22.2493    0.0500   0.8277   0.0745   1.0871
21.8693    0.0429   0.7782   0.0637   1.9789
21.6195    0.0368   0.5648   0.0546   1.1934
21.5979    0.0368   0.5741   0.0546   1.1934
21.4190    0.0329   0.7400   0.0488   2.1189
21.7843    0.0397   0.6752   0.0589   1.1666
21.6229    0.0359   0.6302   0.0532   2.0687
21.8696    0.0428   0.6559   0.0636   1.1398
21.7377    0.0383   0.6618   0.0569   2.0155
21.2445    0.0286   0.7044   0.0424   2.2485
21.8335    0.0401   0.5610   0.0595   1.1628
21.5179    0.0340   0.8142   0.0504   2.1065
21.3788    0.0298   0.6193   0.0442   2.2179
21.7765    0.0409   0.4748   0.0608   1.1553
20.9804    0.0245   0.5454   0.0363   2.2729
21.3399    0.0310   0.5034   0.0460   1.2564
21.3456    0.0311   0.5475   0.0462   1.2547
21.0963    0.0263   0.5160   0.0390   2.2579
21.3920    0.0315   0.7087   0.0467   2.0959
21.4763    0.0333   0.6078   0.0493   1.2305
21.2528    0.0298   0.4812   0.0441   1.2723
21.2933    0.0304   0.6524   0.0450   2.1482
21.3464    0.0303   0.6112   0.0449   1.2656
21.3848    0.0310   0.6580   0.0460   2.1185
20.7815    0.0215   0.4419   0.0320   1.3955
20.4697    0.0179   0.4830   0.0267   2.5046
20.5578    0.0189   0.4731   0.0281   2.5112
20.8189    0.0222   0.5272   0.0329   2.3269
20.9525    0.0245   0.4528   0.0363   1.3478
20.4220    0.0173   0.5246   0.0258   2.5961
20.9903    0.0248   0.4062   0.0367   1.3431
20.7233    0.0212   0.5000   0.0315   2.3569
20.4659    0.0180   0.5285   0.0268   2.5529
20.5685    0.0188   0.4959   0.0279   2.4066
20.0110    0.0130   0.4483   0.0195   2.7960
20.3056    0.0160   0.4901   0.0239   2.5261
20.2061    0.0153   0.4396   0.0228   2.6242
20.3178    0.0163   0.4984   0.0243   2.5152
20.5191    0.0185   0.4640   0.0275   1.4488
20.3616    0.0166   0.4707   0.0247   1.4844
19.8281    0.0117   0.6343   0.0176   1.5862
19.4914    0.0090   0.5327   0.0138   3.0076
20.1993    0.0149   0.4794   0.0222   1.5202
19.7218    0.0107   0.5030   0.0162   2.8846
20.0642    0.0136   0.5528   0.0204   1.5461
19.7153    0.0107   0.6218   0.0161   2.7456
17.9927    0.0019   2.0196   0.0035   1.6116
18.3901    0.0032   1.6666   0.0054   1.6397
