#mag    e_mag    col1   e_col1    m_ini
19.2232    0.0307   0.9827   0.0509   4.4519
19.8005    0.0429   1.0357   0.0667   4.0027
19.8178    0.0416   1.0413   0.0650   3.8959
19.7828    0.0425   0.8801   0.0662   2.2637
19.0884    0.0278   0.8898   0.0470   4.5223
19.3203    0.0330   1.0338   0.0539   4.3657
19.9592    0.0462   0.8864   0.0709   2.2328
19.5842    0.0376   0.7591   0.0599   3.9863
19.1862    0.0301   0.9799   0.0500   4.4690
19.9678    0.0472   0.9184   0.0722   2.2248
19.9072    0.0429   0.7754   0.0668   2.2597
19.8809    0.0441   1.0153   0.0682   2.2497
20.1011    0.0464   0.9536   0.0712   2.2308
19.5600    0.0369   0.7437   0.0590   4.0126
19.4690    0.0355   1.0323   0.0572   4.3110
19.6630    0.0406   1.1039   0.0638   4.1166
19.4586    0.0361   1.0495   0.0579   4.3166
19.8652    0.0421   1.1685   0.0657   4.1373
19.6167    0.0407   0.8238   0.0639   2.2810
19.3289    0.0317   1.0203   0.0522   4.4246
19.6220    0.0374   0.5847   0.0596   2.3202
19.5343    0.0366   0.6162   0.0586   2.3331
19.3682    0.0331   0.5512   0.0540   4.2371
19.5079    0.0356   0.5165   0.0573   2.3541
19.1581    0.0295   0.5827   0.0493   4.4604
19.4617    0.0351   0.3286   0.0566   2.3992
19.5170    0.0354   0.3923   0.0571   2.3597
19.4307    0.0354   0.4061   0.0570   2.3611
19.4989    0.0353   0.5250   0.0570   2.3625
18.9335    0.0256   0.6979   0.0440   4.5873
19.3028    0.0331   0.4095   0.0540   4.1808
19.3922    0.0334   0.3592   0.0544   4.0822
18.6834    0.0226   0.4241   0.0398   4.7563
18.8907    0.0250   0.7271   0.0431   4.6097
19.4857    0.0371   0.6082   0.0592   2.3245
19.4308    0.0350   0.2761   0.0565   2.3908
19.4722    0.0350   0.6955   0.0565   4.0719
19.4734    0.0356   0.4960   0.0573   2.3541
19.5096    0.0355   0.5734   0.0572   2.3555
19.4365    0.0341   0.8095   0.0553   4.2266
18.9802    0.0274   0.7525   0.0463   4.5375
18.7423    0.0236   0.5006   0.0412   4.7033
19.4993    0.0361   0.5536   0.0579   2.3429
18.9272    0.0255   0.7317   0.0437   4.5939
19.6581    0.0381   0.7944   0.0606   2.3101
18.8518    0.0249   0.7521   0.0429   4.6145
19.2962    0.0323   0.5951   0.0530   4.3052
19.4771    0.0352   0.3973   0.0568   2.3667
19.4788    0.0350   0.3828   0.0565   2.3793
19.3975    0.0332   0.7223   0.0542   4.2678
19.5012    0.0350   0.3427   0.0565   2.3894
19.4052    0.0337   0.5339   0.0548   4.1324
18.7631    0.0228   0.4268   0.0401   4.7885
19.4980    0.0351   0.3406   0.0567   2.4020
19.0277    0.0272   0.4645   0.0461   4.5913
19.8672    0.0425   0.2589   0.0663   2.4899
19.3480    0.0330   0.4734   0.0538   4.6230
19.5052    0.0364   0.3521   0.0584   4.3713
19.3256    0.0322   0.3786   0.0528   4.3450
18.7179    0.0229   0.2807   0.0403   4.8017
19.8080    0.0432   0.2938   0.0671   2.4972
18.7932    0.0232   0.3865   0.0407   4.7281
19.6013    0.0361   0.2460   0.0580   2.4268
19.7237    0.0404   0.2327   0.0636   2.4707
19.8430    0.0431   0.2989   0.0669   2.4957
19.0188    0.0276   0.4270   0.0467   4.6968
19.7694    0.0424   0.2085   0.0661   2.4884
19.8264    0.0418   0.2607   0.0653   2.4830
19.5625    0.0376   0.2763   0.0599   2.4443
19.4512    0.0351   0.3410   0.0567   2.4020
19.9227    0.0433   0.1367   0.0673   2.4987
19.3140    0.0319   0.3564   0.0524   4.4390
19.4739    0.0353   0.2499   0.0569   2.4067
19.7027    0.0397   0.2603   0.0626   4.3002
19.5357    0.0367   0.2435   0.0587   2.4344
19.5430    0.0367   0.1788   0.0587   2.4344
19.5846    0.0385   0.4026   0.0611   4.4206
18.8930    0.0247   0.2809   0.0427   4.9011
19.4139    0.0343   0.4297   0.0556   4.4920
19.6007    0.0376   0.2723   0.0599   2.4443
19.8405    0.0433   0.2763   0.0673   2.4987
19.6013    0.0368   0.4309   0.0589   4.6060
19.8996    0.0438   0.1275   0.0679   2.5072
19.8394    0.0446   0.2491   0.0688   2.5573
19.7146    0.0412   0.3790   0.0646   4.3430
19.9029    0.0436   0.2527   0.0676   2.5016
19.5502    0.0374   0.4893   0.0596   4.5829
19.3272    0.0330   0.5356   0.0539   4.7167
19.9858    0.0436   0.1479   0.0676   2.5016
19.5424    0.0351   0.4949   0.0566   4.6670
19.8834    0.0436   0.2245   0.0676   2.5016
19.4834    0.0345   0.4029   0.0559   4.6841
19.9043    0.0446   0.2704   0.0689   2.5311
19.8531    0.0437   0.2785   0.0678   2.5038
19.8938    0.0442   0.1613   0.0683   2.5175
19.7948    0.0440   0.2308   0.0682   2.5707
18.9511    0.0259   0.4401   0.0444   4.9116
19.1277    0.0289   0.4955   0.0485   4.8194
19.0993    0.0285   0.5184   0.0478   4.7853
19.5826    0.0371   0.4280   0.0592   4.5951
19.9588    0.0431   0.3257   0.0670   2.5945
19.9562    0.0449   0.2800   0.0692   2.5402
18.9274    0.0253   0.2615   0.0435   4.9850
19.8585    0.0432   0.1497   0.0671   2.5929
19.9219    0.0447   0.2086   0.0691   2.5345
19.6120    0.0379   0.4578   0.0603   4.5116
19.9422    0.0449   0.2844   0.0693   2.5484
19.6900    0.0402   0.1736   0.0632   2.6660
19.7868    0.0419   0.0516   0.0655   2.6219
18.8081    0.0241   0.2363   0.0419   5.0543
19.1822    0.0293   0.4006   0.0489   4.8637
19.4188    0.0344   0.3839   0.0557   4.6942
19.8821    0.0426   0.2318   0.0664   2.6066
19.0862    0.0283   0.2443   0.0476   5.1419
19.7053    0.0414   0.1318   0.0648   2.6351
19.7109    0.0404   0.0707   0.0636   2.6580
18.8730    0.0250   0.3625   0.0431   5.0133
19.7306    0.0398   0.0121   0.0627   2.6803
18.8726    0.0243   0.3151   0.0422   5.0229
19.7100    0.0404   0.2244   0.0636   2.6580
19.7051    0.0398   0.0517   0.0628   2.6787
19.7927    0.0407   0.1422   0.0639   2.6515
19.7971    0.0427   0.0457   0.0665   2.6041
19.7940    0.0412   0.0890   0.0646   2.6389
19.8290    0.0427   0.0945   0.0665   2.6041
19.7541    0.0414   0.0953   0.0648   2.6351
19.7336    0.0407   0.1219   0.0639   2.6515
19.6926    0.0398   0.1104   0.0627   2.6880
19.7883    0.0419   0.1851   0.0655   2.6219
19.6896    0.0398   0.0383   0.0627   2.6828
18.9241    0.0253   0.3086   0.0435   4.9527
19.7760    0.0418  -0.0611   0.0653   2.7944
19.7167    0.0413   0.1003   0.0647   2.7655
19.7022    0.0418  -0.1129   0.0653   2.7944
18.9913    0.0262   0.0515   0.0448   5.4459
19.0552    0.0280   0.1377   0.0472   5.3263
18.8711    0.0248   0.2051   0.0428   5.1092
18.9524    0.0261   0.1022   0.0447   5.2207
18.9697    0.0273  -0.0308   0.0462   5.5761
18.9864    0.0266   0.1368   0.0453   5.2233
19.0708    0.0277   0.1256   0.0469   5.2747
19.4986    0.0364   0.1351   0.0584   4.7121
18.9007    0.0246   0.1882   0.0426   5.1881
19.0903    0.0278   0.3471   0.0470   4.9434
18.8451    0.0245   0.1888   0.0425   5.1677
19.7345    0.0418  -0.1076   0.0653   2.7957
19.5100    0.0355   0.2054   0.0572   4.8200
19.4340    0.0354   0.2481   0.0571   4.7583
18.9674    0.0265   0.1940   0.0452   5.2436
19.2105    0.0306   0.2745   0.0508   4.9015
19.7223    0.0404   0.1302   0.0636   2.7334
19.7037    0.0400  -0.0500   0.0631   2.7197
19.8205    0.0413  -0.0261   0.0647   2.8434
19.3207    0.0327   0.3410   0.0535   4.9875
19.8079    0.0415   0.0288   0.0650   2.8195
19.6761    0.0409   0.0476   0.0642   2.8912
19.7432    0.0413   0.0705   0.0647   2.8434
19.7652    0.0409  -0.0865   0.0642   2.8912
19.4515    0.0347   0.1660   0.0561   4.8801
19.1979    0.0290   0.3613   0.0486   5.0284
19.6738    0.0412   0.1301   0.0646   2.8554
19.7467    0.0408   0.0061   0.0641   2.9032
19.0242    0.0270   0.0487   0.0459   5.6107
19.4297    0.0346   0.2193   0.0560   4.8573
19.2888    0.0318   0.2889   0.0522   5.0066
19.2644    0.0313   0.3099   0.0516   5.0424
19.7040    0.0410  -0.0492   0.0643   2.8793
19.3737    0.0337   0.1363   0.0548   4.9058
19.8103    0.0414   0.0662   0.0648   2.8315
19.2160    0.0304   0.3034   0.0504   5.0359
19.5415    0.0363   0.1060   0.0582   4.8065
18.9539    0.0261   0.0298   0.0447   5.6070
18.8247    0.0240   0.1757   0.0417   5.3531
19.7287    0.0407   0.0538   0.0639   2.9151
19.1788    0.0309   0.2423   0.0511   5.1097
19.7339    0.0407  -0.0074   0.0639   2.9151
18.9958    0.0267   0.1378   0.0455   5.7346
19.6885    0.0397  -0.0756   0.0626   2.9723
19.6628    0.0396  -0.0606   0.0624   2.9803
19.7157    0.0407   0.0176   0.0639   2.9151
19.7480    0.0408  -0.0007   0.0641   2.9032
19.7202    0.0396  -0.0625   0.0624   2.9803
18.9993    0.0265   0.0358   0.0452   5.7640
19.7670    0.0400   0.0930   0.0630   2.9565
18.8121    0.0243   0.1681   0.0421   5.2973
19.6505    0.0396   0.0477   0.0624   2.9803
19.0293    0.0263   0.0640   0.0449   5.6661
19.7979    0.0406   0.0228   0.0638   2.9248
19.6948    0.0400   0.0071   0.0630   2.9565
18.9498    0.0256   0.2656   0.0439   5.3633
19.5554    0.0377  -0.0553   0.0600   3.0897
19.7034    0.0390  -0.0320   0.0618   3.0101
18.9143    0.0256   0.2386   0.0439   5.3472
19.6678    0.0387   0.0393   0.0613   3.0300
18.9238    0.0252  -0.0708   0.0433   5.7736
19.5739    0.0390  -0.0054   0.0618   3.0101
18.9690    0.0258   0.3194   0.0442   5.3087
18.9652    0.0267   0.3680   0.0454   5.2833
18.9776    0.0267   0.0590   0.0454   5.6009
19.5732    0.0377  -0.0810   0.0600   3.0897
18.9587    0.0255  -0.0417   0.0439   5.9331
19.6608    0.0387  -0.0953   0.0613   3.0300
19.6458    0.0387  -0.0200   0.0613   3.0300
19.6045    0.0384   0.0588   0.0609   3.0499
19.5883    0.0387  -0.1298   0.0613   3.0300
18.8237    0.0248   0.0065   0.0428   5.8280
19.4893    0.0361  -0.2141   0.0579   3.1891
18.8251    0.0239   0.0987   0.0417   5.5695
18.7773    0.0238  -0.1476   0.0414   6.2787
18.8195    0.0236   0.1698   0.0412   5.5136
19.5920    0.0367   0.0368   0.0588   3.1493
18.7150    0.0231   0.1388   0.0405   5.5439
19.5519    0.0367  -0.0818   0.0588   3.1493
19.6338    0.0367  -0.0877   0.0588   3.1493
19.5138    0.0370  -0.0613   0.0592   3.1294
18.9050    0.0251  -0.0165   0.0432   5.9381
19.5541    0.0374  -0.1553   0.0596   3.1095
18.9138    0.0257   0.0620   0.0441   5.7335
19.4904    0.0361  -0.0974   0.0579   3.1891
18.8475    0.0249   0.0345   0.0430   6.0604
18.8655    0.0247  -0.0354   0.0428   6.0643
19.5255    0.0355  -0.0687   0.0571   3.2288
19.4280    0.0355  -0.0394   0.0571   3.2288
18.8550    0.0243   0.0328   0.0422   5.9101
18.8327    0.0242   0.0213   0.0421   5.9311
