L3         LMC   4.604166667    -74.318611111   15.6  -0.70  0.43  9.15  0.07  0.005  0.007  18.98  0.05  2600   900
L4         LMC   5.362500000    -73.748611111   16.3  -0.88  0.65  9.60  0.09  0.020  0.006  18.96  0.06  20000  6000
L5         LMC   5.666666667    -75.074722222   13.7  -0.88  0.65  9.45  0.05  0.005  0.009  18.86  0.06  5000   1000
L6         LMC   5.766666667    -73.669722222   16.3  -0.88  0.65  9.75  0.07  0.020  0.006  18.96  0.06  13000  6000
L7         LMC   6.179166667    -73.755000000   21.0  -0.48  0.26  9.15  0.06  0.000  0.008  19.02  0.04  11000  2000
L19        LMC   9.425000000    -73.908333333   18.8  -0.88  0.65  9.45  0.08  0.040  0.010  18.90  0.04  9000   1000
L27        LMC   10.350000000   -72.890833333   24.2  -0.88  0.65  9.45  0.06  0.000  0.030  18.98  0.06  13000  4000
L28        LMC   10.745833333   -72.588611111   10.9  -0.40  0.22  8.90  0.07  0.000  0.010  19.06  0.04  4000   800
NGC241     LMC   10.887500000   -73.438888889   5.8   -0.10  0.14  8.10  0.80  0.080  0.030  18.94  0.05  600    300
NGC242     LMC   10.908333333   -73.440555556   5.0   -0.28  0.16  7.60  0.50  0.100  0.020  18.96  0.05  200    200
H86-70     LMC   10.933333333   -72.976666667   14.5  -0.40  0.22  8.75  0.06  0.040  0.020  19.04  0.06  3000   1000
B34        LMC   11.216666667   -73.001944444   5.2   -0.58  0.33  9.05  0.07  0.040  0.030  19.04  0.05  3800   800
B39        LMC   11.358333333   -73.481388889   8.0   -0.58  0.54  8.90  0.90  0.020  0.040  18.96  0.06  1400   200
L30        LMC   11.475000000   -73.506666667   7.8   -0.10  0.18  8.00  1.00  0.060  0.030  18.98  0.05  800    300
H86-76     LMC   11.504166667   -73.395555556   4.7   -0.01  0.09  8.55  0.07  0.060  0.030  19.04  0.06  1600   400
HW22       LMC   11.683333333   -72.063055556   16.6  -0.70  0.43  9.85  0.09  0.000  0.010  18.98  0.05  2000   2000
H86-85     LMC   11.729166667   -73.423333333   5.6   -0.01  0.09  8.10  0.20  0.100  0.030  19.04  0.06  1400   300
H86-87     LMC   11.775000000   -73.373055556   6.6   -0.01  0.09  8.40  0.80  0.060  0.020  18.90  0.04  800    200
L34        LMC   11.800000000   -73.477222222   14.5  -0.28  0.16  8.45  0.06  0.040  0.020  18.92  0.05  4200   900
H86-90     LMC   11.854166667   -73.458055556   4.7   -0.10  0.18  8.50  0.80  0.040  0.020  18.98  0.05  1000   300
BS35       LMC   11.958333333   -73.478333333   4.9   -0.10  0.14  8.80  0.70  0.060  0.030  19.06  0.05  800    200
L35        LMC   12.004166667   -73.486111111   9.5   -0.01  0.09  6.90  0.70  0.100  0.040  18.88  0.06  600    300
H86-97     LMC   12.050000000   -73.446388889   5.9   -0.01  0.09  8.10  0.40  0.040  0.030  18.86  0.04  1400   200
B47        LMC   12.137500000   -73.306944444   5.0   -0.01  0.12  8.90  0.80  0.080  0.030  18.88  0.05  1200   300
B48        LMC   12.154166667   -73.415555556   8.6   -0.10  0.14  7.50  0.30  0.060  0.030  18.94  0.05  3000   900
L39        LMC   12.325000000   -73.371666667   4.5   -0.01  0.09  7.00  0.40  0.040  0.030  18.88  0.06  1200   600
SOGLE196   SMC   12.362500000   -73.398055556   4.4   -0.70  0.58  8.30  0.50  0.080  0.030  18.96  0.06  400    200
B55        SMC   12.587500000   -73.387222222   5.8   -0.01  0.09  8.30  0.80  0.020  0.040  18.90  0.04  600    300
L45        SMC   13.145833333   -72.193055556   12.6  -0.18  0.13  8.20  0.60  0.000  0.020  18.96  0.07  1000   300
NGC294     SMC   13.275000000   -73.380277778   14.5  -2.18  2.00  8.80  0.06  0.010  0.020  19.00  0.04  8200   600
L49        SMC   13.354166667   -72.196388889   7.3   -0.01  0.12  7.40  0.20  0.010  0.020  18.90  0.07  600    200
L50        SMC   13.562500000   -72.241388889   11.6  -0.01  0.09  7.50  0.30  0.070  0.020  19.00  0.05  600    200
BS75       SMC   13.629166667   -74.185277778   12.2  -0.48  0.26  9.40  0.10  0.030  0.010  18.88  0.05  2000   500
HW31       SMC   13.887500000   -74.063611111   11.3  -0.70  0.43  9.50  0.05  0.010  0.009  18.94  0.03  5400   700
BS80       SMC   14.058333333   -74.156111111   11.6  -0.88  0.65  9.60  0.10  0.020  0.009  19.04  0.06  1800   300
H86-174    SMC   14.325000000   -72.932777778   4.1   -0.40  0.29  8.80  0.20  0.010  0.020  18.98  0.05  600    200
HW32       SMC   14.333333333   -71.170277778   7.2   -0.88  1.09  8.40  0.70  0.010  0.010  18.94  0.04  200    200
BS265      SMC   14.341666667   -71.891388889   7.9   -0.40  0.29  9.10  0.90  0.020  0.020  18.94  0.06  1000   2000
NGC339     SMC   14.425000000   -74.472777778   24.4  -0.88  0.65  9.80  0.09  0.020  0.007  19.00  0.05  27000  1000
L58        SMC   14.445833333   -74.326666667   21.2  -0.58  0.33  9.05  0.07  0.040  0.010  18.98  0.06  5000   1000
K38        SMC   14.450000000   -73.421666667   19.4  -0.88  0.65  9.65  0.09  0.010  0.020  18.98  0.05  7000   1000
BS88       SMC   14.458333333   -72.943611111   10.0  -0.01  0.12  9.10  0.10  0.020  0.020  19.04  0.05  400    400
L62        SMC   15.004166667   -72.368888889   9.4   -0.10  0.11  8.10  0.05  0.050  0.010  18.96  0.05  1200   200
