#
# Hierarchical structures in the Large and Small Magellanic clouds, Bonatto & Bica (2010)
#
# Table 2: # http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=J%2FMNRAS%2F403%2F996
#
# Refs in Table 1
#
#MC   Name                                         r     Age1
#
LMC  BSDL3017,LOGLE742                            R11   8.80
LMC  H88-341,KMHK1383,LOGLE744                    R11   8.85
LMC  BSDL2991                                     R55     --
LMC  SL723,LW302,KMHK1394                         R5      --
LMC  NGC2121,SL725,LW303,ESO57SC40,KMHK1398       R41   9.40
LMC  KMHK1381                                     R55     --
LMC  BSDL3032                                     R55     --
LMC  SL737,LW312,KMHK1432                         R55     --
LMC  SL729,LW311,KMHK1399                         R55     --
LMC  LW315,KMHK1446                               R55     --
LMC  SL740,KMHK1427                               R5      --
LMC  H7,SL735,ESO57SC43,BM109,KMHK1424            R28   9.17
LMC  SL747,KMHK1441                               R50     --
LMC  SL741,HS426,KMHK1429                         R50     --
LMC  SL754,LW322,KMHK1473                         R55     --
LMC  NGC2120,SL742,LW316,ESO86SC34,KMHK1426       R5      --
LMC  SL756,KMHK1467                               R5      --
LMC  LW323,KMHK1455                               R55     --
LMC  OHSC27,KMHK1469                              R55     --
LMC  BSDL3145                                     R55     --
LMC  KMHK1484                                     R55     --
LMC  SL769,KMHK1499                               R41   9.26
LMC  SL776,LW328,KMHK1515                         R5      --
LMC  SL768,LW326,ESO86SC38,KMHK1493               R55     --
LMC  H8,SL771,ESO57SC50,BM155,KMHK1505            R5      --
LMC  BSDL3166                                     R55     --
LMC  SL774,KMHK1512                               R5      --
LMC  SL783,LW333,KMHK1535                         R5      --
LMC  OHSC28                                       R41   9.38
LMC  NGC2161,SL789,LW337,ESO33SC31,KMHK1544       R5      --
LMC  SL788,LW336,KMHK1536                         R5      --
LMC  H9,SL790,ESO57SC56,KMHK1540                  R5      --
LMC  KMHK1530                                     R55     --
LMC  IC2161,SL802,LW345,ESO33SC35,KMHK1572        R5      --
LMC  NGC2154,SL793,LW339,ESO86SC42,KMHK1551       R28   9.15
LMC  SL804,LW346,KMHK1569                         R5      --
LMC  NGC2153,SL792,LW341,ESO86SC43,KMHK1555       R28   9.11
LMC  NGC2173,SL807,LW348,ESO33SC34,KMHK1570       R21   9.21
LMC  H10,SL800,LW349,ESO86SC44,KMHK1562           R5      --
LMC  NGC2155,SL803,LW347,ESO86SC45,KMHK1563       R41   9.56
LMC  NGC2162,SL814,LW351,ESO86SC47,KMHK1579       R21   9.10
LMC  SL817,KMHK1588                               R41   9.18
LMC  NGC2190,SL819,LW357,ESO33SC36,KMHK1601       R6    9.04
LMC  OHSC29,KMHK1604                              R55     --
LMC  LW360,KMHK1608                               R55     --
LMC  ESO121SC03,KMHK1591                          R41   9.93
LMC  SL828,LW367,ESO34SC01,KMHK1616               R5      --
LMC  SL823,LW362,ESO86SC51,KMHK1596               R5      --
LMC  SL824,LW365,KMHK1600                         R55     --
LMC  OHSC30,KMHK1620                              R55     --
LMC  LW373,KMHK1625                               R55     --
LMC  SL832,LW376,KMHK1628                         R6    9.18
LMC  NGC2203,SL836,LW380,ESO34SC04,KMHK1639       R6    9.26
LMC  SL835,LW379,KMHK1640                         R55     --
LMC  NGC2197,SL838,LW385,ESO86SC58,KMHK1636       R50     --
LMC  NGC2193,SL839,LW387,ESO86SC57,KMHK1633       R1    9.30
LMC  KMHK1649                                     R55     --
LMC  SL842,LW399,ESO86SC61,KMHK1652               R41   9.34
LMC  SL848,LW405,KMHK1664                         R55     --
LMC  NGC2209,SL849,LW408,ESO34SC06,KMHK1669       R41   9.18
LMC  SL845,LW401,KMHK1656                         R55     --
LMC  KMHK1668                                     R55     --
LMC  LW410,KMHK1666                               R55     --
LMC  LW406,KMHK1660                               R55     --
LMC  LW409,BM246,KMHK1663                         R55     --
LMC  KMHK1665                                     R55     --
LMC  LW411,BM250,KMHK1667                         R55     --
LMC  KMHK1676                                     R55     --
LMC  SL853,LW417,KMHK1675                         R55     --
LMC  SL850,LW413,ESO86SC64,KMHK1671               R55     --
LMC  NGC2213,SL857,LW419,ESO57SC70,KMHK1681       R21   9.23
LMC  SL855,LW420,ESO86SC66,KMHK1674               R1    9.09
LMC  SL854,LW418,KMHK1677                         R55     --
LMC  OHSC31,KMHK1685                              R55     --
LMC  KMHK1678                                     R55     --
LMC  NGC2210,SL858,LW423,ESO57SC71,KMHK1682       R41  10.09
LMC  KMHK1683                                     R55     --
LMC  SL859,LW424,KMHK1686                         R55     --
LMC  SL861,LW428,KMHK1691                         R55     --
LMC  SL862,LW431,ESO57SC75,KMHK1692               R41   9.26
LMC  BSDL3236                                     R55     --
LMC  SL864,LW432,BM262,KMHK1694                   R55     --
LMC  SL863,LW433,BM263,KMHK1693                   R55     --
LMC  OHSC32                                       R55     --
LMC  H11,SL868,LW437,ESO57SC76,KMHK1700           R41  10.17
LMC  LW436,KMHK1697                               R55     --
LMC  SL866,LW438,ESO87SC02,KMHK1698               R5      --
LMC  SL869,LW441,KMHK1704                         R6    9.15
LMC  KMHK1699                                     R55     --
LMC  OHSC33,KMHK1714                              R41   9.15
LMC  BSDL3238                                     R55     --
LMC  SL871,LW443,BM267,KMHK1708                   R55     --
LMC  SL874,LW446,ESO57SC77,KMHK1713               R5      --
LMC  LW448,BM269,KMHK1716                         R55     --
LMC  SL877,LW453,KMHK1724                         R55     --
LMC  LW454,BM272,KMHK1723                         R55     --
LMC  SL882,KMHK1728                               R55     --
LMC  LW459,BM274,KMHK1727                         R55     --
LMC  LW462,KMHK1734                               R55     --
LMC  BSDL3243                                     R55     --
LMC  SL883,LW461,BM275,KMHK1731                   R55     --
LMC  NGC2231,SL884,LW466,ESO87SC06,BM277,KMHK1737 R6    9.18
LMC  SL886,LW468,KMHK1740                         R55     --
LMC  LW470,KMHK1744                               R55     --
LMC  NGC2241,SL888,LW471,ESO57SC79,KMHK1743       R6    9.28
LMC  SL889,LW474,KMHK1748                         R55     --
LMC  OHSC34,KMHK1751                              R55     --
LMC  SL891,LW477,ESO57SC81,KMHK1752               R55     --
LMC  SL892,LW478,KMHK1753                         R55     --
LMC  OHSC35,BM282,KMHK1754                        R55     --
LMC  NGC2249,SL893,LW479,ESO57SC82,KMHK1755       R21   9.00
LMC  OHSC36,KMHK1757                              R55     --
LMC  SL896,LW480,KMHK1758                         R41   9.36
LMC  NGC2257,SL895,LW481,ESO87SC24,KMHK1756       R41  10.17
LMC  LW482,KMHK1759                               R55     --
LMC  KMHK1761                                     R55     --
LMC  SL897,LW483,KMHK1760                         R5      --
LMC  OHSC37,KMHK1762                              R41   9.32
