#
# Hierarchical structures in the Large and Small Magellanic clouds, Bonatto & Bica (2010)
#
# Table 2: # http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=J%2FMNRAS%2F403%2F996
#
# Refs in Table 1
#
#MC   Name                                         r     Age1
#
LMC  NGC1777,SL121,LW96,ESO33SC01,KMHK328         R21   9.06
LMC  KMHK343                                      R55     --
LMC  LW95,KMHK344                                 R55     --
LMC  H88-40,KMHK310                               R38     --
LMC  SL124e,KMHK324e                              R38     --
LMC  KMHK327                                      R38     --
LMC  OHSC3,KMHK362                                R55     --
LMC  SL119,KMHK316                                R5      --
LMC  SL135,LW97,KMHK356                           R55     --
LMC  NGC1768,SL127,ESO56SC32,KMHK331              R5      --
LMC  BSDL320                                      R38     --
LMC  KMHK355                                      R38     --
LMC  SL126,ESO85SC21,KMHK322                      R41     --
LMC  SL132,KMHK348                                R38     --
LMC  SL136,KMHK352                                R38     --
LMC  SL133,LW99,KMHK337                           R41   9.34
LMC  NGC1789,SL144,LW104,ESO56SC37,KMHK375        R5      --
LMC  SL139,KMHK358                                R38     --
LMC  LW106,KMHK399                                R55     --
LMC  H88-58,H80F1-36                              R38     --
LMC  H88-65                                       R55     --
LMC  LW107,KMHK396                                R55     --
LMC  SL146,KMHK377                                R38     --
LMC  HS77,KMHK373                                 R38     --
LMC  LW110,KMHK414                                R55     --
LMC  KMHK381e                                     R38     --
LMC  H88-66                                       R38     --
LMC  SL151,KMHK388                                R5      --
LMC  SL150,ESO56SC40,KMHK386                      R38     --
LMC  KMHK417                                      R55     --
LMC  NGC1786,SL149,ESO56SC39,KMHK385              R41  10.09
LMC  NGC1783,SL148,ESO85SC29,KMHK383              R28   9.18
LMC  OHSC4,KMHK426                                R55     --
LMC  SL166,LW111,KMHK419                          R55     --
LMC  SL164,KMHK409                                R5      --
LMC  NGC1795,SL165,ESO56SC44,KMHK411              R28   9.11
LMC  SL162,H88-79,KMHK406                         R38     --
LMC  LOGLE2                                       R11   8.90
LMC  KMHK453                                      R55     --
LMC  KMHK447                                      R55     --
LMC  KMHK423,LOGLE6                               R11   8.85
LMC  HS87,LOGLE7                                  R11   9.05
LMC  HS85,KMHK428                                 R38     --
LMC  HS84,KMHK425                                 R38     --
LMC  HS88,KMHK436                                 R38     --
LMC  SL174,KMHK439                                R5      --
LMC  SL180,LOGLE18                                R11   9.00
LMC  OHSC5                                        R55     --
LMC  NGC1806,SL184,ESO56SC47,KMHK462              R28   9.18
LMC  HS92,KMHK467                                 R38     --
LMC  SL192,LW121,KMHK489                          R55     --
LMC  HS94,KMHK468                                 R38     --
LMC  HS97,LOGLE34                                 R11   9.00
LMC  HS99,KMHK483                                 R38     --
LMC  SL197,KMHK482,LOGLE41                        R11   8.90
LMC  HS102,LOGLE42                                R11   8.90
LMC  KMHK516                                      R55     --
LMC  H88-101,LOGLE50                              R11   8.80
LMC  KMK88-4,H88-104,LOGLE53                      R11   8.80
LMC  H88-107,LOGLE57                              R11   8.85
LMC  KMK88-8,H88-106,LOGLE58                      R38     --
LMC  OHSC7                                        R55     --
LMC  OHSC6,KMHK532                                R55     --
LMC  H88-112,LOGLE63                              R38     --
LMC  KMK88-11,H88-117,LOGLE67                     R11   8.85
LMC  NGC1835,SL215,ESO56SC58,LOGLE69              R41  10.21
LMC  LW132,KMHK542                                R55     --
LMC  SL214,LW130,ESO85SC41,KMHK512                R55     --
LMC  H88-121,LOGLE79                              R11   8.80
LMC  HS112                                        R38     --
LMC  NGC1826,SL221,ESO85SC43,KMHK524              R5      --
LMC  LOGLE84                                      R11   8.90
LMC  HS111,LOGLE85                                R11   8.90
LMC  HS115,KMHK537                                R38     --
LMC  BSDL605,LOGLE91                              R11   8.90
LMC  LW137,KMHK558                                R5      --
LMC  HS117,LOGLE104                               R11   9.00
LMC  SL248,KMHK578                                R55     --
LMC  LOGLE114                                     R11   9.05
LMC  SL233,ESO85SC45,KMHK543                      R55     --
LMC  BSDL664,LOGLE124                             R11   8.80
LMC  BSDL663,LOGLE125                             R11   9.00
LMC  LW141,KMHK585                                R55     --
LMC  NGC1846,SL243,ESO56SC67,KMHK557,LOGLE128     R28   9.17
LMC  SL244                                        R41   9.08
LMC  SL250,LOGLE132                               R11   8.80
LMC  BSDL675,LOGLE134                             R11   9.00
LMC  KMK88-25,H88-151,LOGLE137                    R11   8.80
LMC  HS127,LOGLE140                               R11   8.85
LMC  LW147,KMHK604                                R55     --
LMC  SL259,LW145,KMHK577                          R55     --
LMC  BSDL725,LOGLE146                             R11   9.00
LMC  BSDL734,LOGLE149                             R11   9.05
LMC  SL268,LOGLE153                               R5      --
LMC  SL262,LW146,ESO119SC40,KMHK582               R41   9.32
LMC  H88-167                                      R38     --
LMC  NGC1852,SL264,ESO56SC71,KMHK594              R28   9.12
LMC  HS136,LOGLE158                               R38     --
LMC  HS141,LOGLE162                               R11   8.80
LMC  SL276,LOGLE167                               R50     --
LMC  SL273,KMHK597                                R55     --
LMC  SL295,LW153,KMHK639                          R55     --
LMC  SL282,KMHK619                                R38     --
LMC  SL278,BRHT31a                                R50     --
LMC  NGC1861,SL286,ESO56SC76,KMHK621              R50     --
LMC  SL291,KMHK626                                R50     --
LMC  LW155,KMHK647                                R55     --
LMC  SL294,KMHK627                                R38     --
LMC  BSDL794                                      R38     --
LMC  SL296,LOGLE192                               R50     --
LMC  KMHK651                                      R55     --
LMC  SL298,KMHK636,LOGLE203,GKK-O251              R11   8.90
LMC  KMHK643                                      R38     --
LMC  SL300,H88-198,KMHK638,LOGLE207               R11   8.80
LMC  SL302,KMHK646,GKK-O149                       R50     --
LMC  KMK88-38,H88-206,LOGLE213                    R11   8.90
LMC  BSDL868,LOGLE216                             R11   8.90
LMC  LOGLE218                                     R11   9.10
LMC  NGC1865,SL307,ESO56SC78,LOGLE221             R50     --
LMC  SL305,LW159                                  R55     --
LMC  KMHK662                                      R38     --
LMC  BSDL925,LOGLE243                             R11   8.80
LMC  HS180                                        R38     --
LMC  NGC1868,SL330,LW169,ESO85SC56,KMHK674        R21   9.05
LMC  HS190,LOGLE256                               R38     --
LMC  HS191,LOGLE257                               R38     --
LMC  OHSC8,KMHK708                                R55     --
LMC  BSDL1053,LOGLE272                            R11   8.90
LMC  H88-243,LOGLE283                             R38     --
LMC  SL345,LW175,ESO85SC58,KMHK699                R55     --
LMC  OHSC9,KMHK733                                R55     --
LMC  H88-245,LOGLE288                             R38     --
LMC  SL346,LW176,ESO85SC60,KMHK702                R55     --
LMC  NGC1898,SL350,ESO56SC90,LOGLE292             R41  10.13
LMC  ESO119SC50,KMHK705                           R55     --
LMC  LOGLE300                                     R11   9.05
LMC  SL349,BRHT33a,LOGLE302                       R50     --
LMC  H1,SL353,BRHT33b,LOGLE304                    R11   9.00
LMC  H88-260,LOGLE307                             R11   9.10
LMC  SL357,BRHT9b,LOGLE311                        R11   9.00
LMC  SL354,LW177,ESO85SC63,KMHK712                R6    9.30
LMC  SL359,KMHK727                                R41   9.20
LMC  H2,SL363,LOGLE318                            R11   9.05
LMC  H88-258,H80F4-7,KMHK720                      R55     --
LMC  LOGLE322                                     R11   9.00
LMC  SL368                                        R5      --
LMC  HS216,LOGLE325                               R38     --
LMC  BSDL1169                                     R38     --
LMC  NGC1916,SL361,ESO56SC98,LOGLE336             R9   10.20
LMC  HS223A,LOGLE341                              R11   8.90
LMC  NGC1917,SL379,ESO56SC100,LOGLE343            R28   9.11
LMC  HS227,LOGLE345                               R11   8.80
LMC  NGC1900,SL376,LW184,ESO85SC68,KMHK746        R55     --
LMC  HS228                                        R38     --
LMC  SL387,BRHT35b,LOGLE353                       R11   8.80
LMC  OHSC11,KMHK803                               R55     --
LMC  SL396,LW187,KMHK796                          R5      --
LMC  SL400,LW188,KMHK809                          R55     --
LMC  SL390,LOGLE356                               R11   9.00
LMC  LOGLE362                                     R11   9.00
LMC  SL388,LW186,ESO85SC72,KMHK773                R41   9.34
LMC  HS232,KMHK805,LOGLE380                       R11   9.00
LMC  OHSC10,KMHK782                               R55     --
LMC  SL401,LW190,KMHK791                          R55     --
LMC  NGC1928,SL405,HS243,ESO56SC106,LOGLE382      R41  10.09
LMC  LW193,KMHK826                                R55     --
