#mag    e_mag    col1   e_col1    m_ini
21.6070    0.0544   0.4394   0.0788   2.1148
21.4645    0.0503   0.5730   0.0736   2.1455
22.1587    0.0890   0.8613   0.1204   1.0732
21.6844    0.0587   0.5443   0.0842   2.0875
21.7563    0.0608   0.4752   0.0867   2.0748
21.6100    0.0563   0.7085   0.0812   2.1029
21.6606    0.0629   0.5723   0.0893   2.0618
21.7033    0.0633   0.6625   0.0897   2.0594
21.5979    0.0601   0.6712   0.0859   2.0788
22.0906    0.0822   0.4742   0.1124   1.0885
22.1841    0.0955   0.6790   0.1278   1.0595
21.9431    0.0771   0.7306   0.1064   1.1005
21.5244    0.0552   0.4250   0.0798   2.1097
22.1806    0.0844   0.7096   0.1150   1.0834
21.6632    0.0601   0.6803   0.0859   2.0788
21.5854    0.0563   0.4390   0.0812   2.1029
21.7710    0.0622   0.6738   0.0884   2.0663
21.5710    0.0597   0.6276   0.0853   2.0817
21.5279    0.0544   0.5678   0.0788   2.1148
21.9577    0.0808   0.4429   0.1108   1.0919
21.5271    0.0531   0.5949   0.0772   2.1227
21.7488    0.0625   0.5269   0.0888   2.0642
21.3994    0.0541   0.5763   0.0784   2.1165
21.5819    0.0579   0.9206   0.0832   2.0927
20.7065    0.0295   0.6417   0.0465   2.3010
21.3788    0.0459   0.5046   0.0681   1.1738
21.3075    0.0459   0.4977   0.0681   1.1738
21.3493    0.0489   0.4199   0.0720   1.1660
20.8138    0.0332   0.5880   0.0514   2.2179
21.4002    0.0511   0.5289   0.0747   2.1352
21.4186    0.0511   0.5974   0.0747   1.1608
21.1351    0.0438   0.6266   0.0653   2.1950
20.9915    0.0367   0.6627   0.0561   2.2035
20.5350    0.0274   0.7151   0.0435   2.3175
20.7060    0.0306   0.6703   0.0480   2.2546
20.8453    0.0346   0.5428   0.0533   2.2546
21.1615    0.0426   0.5031   0.0638   1.1820
21.2626    0.0445   0.6452   0.0663   2.1754
21.2145    0.0456   0.5978   0.0677   2.1707
21.4434    0.0511   0.4570   0.0747   1.1608
22.0262    0.0760   0.5434   0.1050   1.1036
21.0882    0.0405   0.6431   0.0611   1.1873
21.8446    0.0682   0.5874   0.0957   1.1261
21.6887    0.0650   0.7894   0.0919   1.1360
20.7462    0.0314   0.6303   0.0490   2.2240
21.0758    0.0393   0.6302   0.0595   1.1900
21.3881    0.0481   0.4421   0.0709   2.1559
21.3855    0.0479   0.4306   0.0706   1.1686
21.2752    0.0442   0.5189   0.0659   2.1770
21.1985    0.0420   0.5416   0.0631   1.1834
21.6431    0.0599   0.4605   0.0856   1.1473
20.9657    0.0367   0.5552   0.0561   2.2035
21.1330    0.0425   0.5337   0.0637   2.2180
20.7613    0.0311   0.6747   0.0487   2.2250
20.8656    0.0341   0.4577   0.0527   2.2947
20.6871    0.0306   0.6946   0.0479   2.2269
20.9222    0.0352   0.6048   0.0541   2.2562
20.2533    0.0232   0.6454   0.0376   2.3803
21.8760    0.0724   0.4741   0.1008   1.1137
21.2792    0.0460   0.5873   0.0682   2.1691
20.9941    0.0385   0.5703   0.0585   2.2621
21.9549    0.0705   0.4018   0.0985   1.1191
20.8704    0.0372   0.5322   0.0568   2.2193
20.6245    0.0286   0.7089   0.0452   2.2764
21.9548    0.0769   0.6941   0.1062   1.1010
21.2600    0.0475   0.5593   0.0701   2.1598
21.0227    0.0373   0.4669   0.0569   2.2382
20.6779    0.0303   0.7026   0.0475   2.2281
21.5967    0.0528   0.5328   0.0768   1.1570
21.9602    0.0733   0.5622   0.1019   1.1110
21.9348    0.0714   0.5029   0.0996   1.1164
20.7148    0.0303   0.6725   0.0475   2.2281
20.7646    0.0315   0.6020   0.0492   2.2236
21.2842    0.0445   0.4589   0.0662   2.1912
21.1729    0.0449   0.5056   0.0668   2.1738
20.9917    0.0364   0.5553   0.0558   2.2183
21.0856    0.0377   0.4991   0.0574   2.2531
21.3752    0.0473   0.6293   0.0699   2.1687
21.1824    0.0437   0.6001   0.0653   2.1787
21.8362    0.0669   0.3539   0.0942   1.1301
21.7341    0.0636   0.4859   0.0901   1.1394
21.4358    0.0507   0.4273   0.0742   2.1380
21.1580    0.0403   0.6254   0.0608   2.1879
20.9198    0.0361   0.4729   0.0554   2.2061
21.1826    0.0427   0.6391   0.0640   2.2160
21.7209    0.0628   0.4959   0.0892   1.1410
21.0425    0.0415   0.4899   0.0624   2.2191
21.3818    0.0522   0.4544   0.0761   1.1582
20.8704    0.0334   0.6190   0.0518   2.2170
21.2632    0.0432   0.7058   0.0646   1.1806
21.4223    0.0533   0.3771   0.0774   1.1562
21.8367    0.0656   0.4121   0.0926   1.1340
21.8956    0.0682   0.5827   0.0957   1.1261
20.7631    0.0317   0.6435   0.0494   2.2231
20.7615    0.0321   0.5611   0.0500   2.2215
21.0081    0.0393   0.5526   0.0595   1.1900
21.0599    0.0395   0.4621   0.0598   2.2504
21.4691    0.0537   0.4354   0.0780   1.1554
20.7550    0.0315   0.5948   0.0492   2.2929
21.1205    0.0413   0.5814   0.0622   2.1842
21.1616    0.0426   0.6905   0.0638   2.2157
