# File generated by CMD 2.8 (http://stev.oapd.inaf.it/cmd) on Wed Jul 13 19:43:23 CEST 2016
# Basic reference: Marigo et al. (2008, A&A 482, 883) 
# + Bertelli et al. (1994, A&AS, 106, 275) for the Mi>7.0 Msun interval
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583)
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
#	Isochrone	Z = 0.03000		Age = 	3.162e+06 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    U       B       V       R       I       J       H       K	C/O	M_hec	period	pmode	logMdot	int_IMF
	6.50	2.0999999046	2.1000	1.2710	3.9555	4.2572	1.592	1.716	1.700	1.639	1.616	1.604	1.595	1.586	1.584	0.4787	0.0000	0.0	1	-14.957	3.2746226788
	6.50	2.2000000477	2.2000	1.3510	3.9703	4.2566	1.392	1.506	1.522	1.492	1.484	1.486	1.495	1.496	1.497	0.4787	0.0000	0.1	1	-15.001	3.2793695927
	6.50	2.2999999523	2.3000	1.4320	3.9853	4.2547	1.190	1.302	1.356	1.351	1.355	1.368	1.396	1.404	1.409	0.4787	0.0000	0.1	1	-15.042	3.2836077213
	6.50	2.5000000000	2.5000	1.5716	4.0113	4.2556	0.841	0.961	1.089	1.122	1.141	1.171	1.228	1.247	1.260	0.4787	0.0000	0.1	1	-15.120	3.2908382416
	6.50	3.0000000000	3.0000	1.8814	4.0678	4.2509	0.066	0.237	0.544	0.630	0.668	0.723	0.840	0.877	0.906	0.4787	0.0000	0.1	1	-13.516	3.3037204742
	6.50	3.5000000000	3.5000	2.1351	4.1128	4.2440	-0.568	-0.320	0.122	0.237	0.285	0.355	0.513	0.562	0.600	0.4787	0.0000	0.1	1	-13.449	3.3120026588
	6.50	4.0000000000	4.0000	2.3493	4.1517	4.2437	-1.103	-0.761	-0.216	-0.081	-0.024	0.059	0.248	0.305	0.351	0.4787	0.0000	0.1	1	-13.391	3.3176128864
	6.50	4.5000000000	4.5000	2.5399	4.1848	4.2365	-1.580	-1.137	-0.519	-0.366	-0.301	-0.208	0.005	0.070	0.121	0.4787	0.0000	0.1	1	-13.339	3.3215744495
	6.50	5.0000000000	5.0000	2.7145	4.2144	4.2261	-2.016	-1.475	-0.798	-0.630	-0.557	-0.454	-0.221	-0.150	-0.093	0.4787	0.0000	0.1	1	-13.294	3.3244650364
	6.50	6.0000000000	6.0000	3.0016	4.2626	4.2110	-2.734	-2.024	-1.255	-1.066	-0.980	-0.862	-0.597	-0.516	-0.450	0.4787	0.0000	0.1	1	-13.215	3.3282895088
