#
#
# Piatti, A. E. & Geisler, D. The Age-Metallicity Relationship of the Large
# Magellanic Cloud Field Star Population from Wide-field Washington Photometry.
# The Astronomical Journal 145, 17 (2013).
#
#
#                   LMC                                         SMC                     
#Age(Gyr) e_age    Fe/H            e_Fe/H       Age(Gyr)   e_age    Fe/H         e_Fe/H
1.265     0.145    -0.3336313      0.4407764    1.265      0.145    -0.6993949   0.2729793
2.01      0.23     -0.4916424      0.3971947    2.01       0.23     -0.66623     0.4423385
2.53      0.29     -0.5519055      0.51033      2.53       0.29     -0.94293     0.4979823
3.185     0.365    -0.5856186      0.6440526    3.185      0.365    -1.020813    0.469768
4.01      0.46     -0.6762323      0.499665     4.01       0.46     -1.114871    0.5305872
5.045     0.575    -0.723656       0.432767     5.045      0.575    -1.227612    0.475158
6.35      0.73     -0.7978084      0.507853     6.35       0.73     -1.289081    0.5469618
7.995     0.915    -0.8650198      0.577529     7.995      0.915    -1.280739    0.386503
10.065    1.155    -0.9209594      0.4680303    10.065     1.155    -1.318413    0.470188
12.675    1.455    -0.91226        0.444275     12.675     1.455    -1.584855    0.738522
