#
# Meschin et al. (2014), Spatially resolved LMC star formation history:
# I. Outside in evolution of the outer LMC disk
#
# Fig. 8
#
#
#Age(Gyr) [Fe/H]
#
# LMC_0_(7.1º)   LMC_1_(5.5º)     LMC_2_(4º)    
1.248   -0.38    0.738   -0.441   0.24    -0.254
1.73    -0.467   1.236   -0.564   0.466   -0.305
2.243   -0.576   1.747   -0.589   0.722   -0.364
2.738   -0.544   2.243   -0.576   1.009   -0.447
3.248   -0.436   2.724   -0.595   1.235   -0.524
3.715   -0.495   3.236   -0.655   1.746   -0.526
4.226   -0.558   3.732   -0.663   2.226   -0.459
4.707   -0.556   4.243   -0.7     2.737   -0.447
5.188   -0.55    5.252   -0.818   3.218   -0.449
5.743   -0.467   5.732   -0.814   3.744   -0.443
6.239   -0.477   6.244   -0.846   4.225   -0.477
6.39    -0.513   6.725   -0.866   4.527   -0.532
6.722   -0.601   7.206   -0.874   4.783   -0.572
7.055   -0.811   7.657   -0.846   5.234   -0.633
7.252   -0.935   8.257   -0.797   5.746   -0.661
7.748   -0.961   8.738   -0.818   6.213   -0.757
8.258   -0.907   9.235   -0.917   7.236   -0.848
9.235   -0.85    9.776   -0.915   7.732   -0.862
9.731   -0.866   10.242  -0.901   8.243   -0.862
10.242  -0.919   10.694  -0.945   8.754   -0.878
10.739  -0.931   11.221  -1.028   9.251   -0.927
11.716  -0.998   11.732  -1.041   9.747   -0.933
12.243  -1.067   12.214  -1.128   10.228  -0.953
12.724  -1.079   12.725  -1.142   10.74   -1.02
--      --       --      --       11.253  -1.184
--      --       --      --       11.749  -1.199
--      --       --      --       12.726  -1.207
