#
# Carrera, R., Gallart, C., Hardy, E., Aparicio, A. & Zinn, R. The Chemical
# Enrichment History of the Large Magellanic Cloud. The Astronomical 
# Journal 135, 836 (2008).
#
# Table 7 from Carrera et al. 2008. Average for disk values.
#
#
#Disk values
#Age(Gyr) [Fe/H]
0.75      -0.17
2.5       -0.39
4.5       -0.60
7.        -0.71
9.75      -0.80
12.       -1.25
#
# Piatti data below.
#ID        RA        Dec        d     d_deproj       age     age_bin    [Fe/H]     sigma[Fe/H]
#bar        5.3492    -69.478    0     0.00           0.75    0.75       -0.27      0.13
#bar        5.3492    -69.478    0     0.00           2.5     1          -0.32      0.16
#bar        5.3492    -69.478    0     0.00           4.5     1          -0.53      0.26
#bar        5.3492    -69.478    0     0.00           7.0     1.5        -0.65      0.30
#bar        5.3492    -69.478    0     0.00           9.75    1.25       -1.02      0.41
#bar        5.3492    -69.478    0     0.00           13      2          -1.25      0.56
#field3deg  5.3492    -66.478    3     3.59           0.75    0.75       -0.16      0.17
#field3deg  5.3492    -66.478    3     3.59           2.5     1          -0.4       0.14
#field3deg  5.3492    -66.478    3     3.59           4.5     1          -0.58      0.15
#field3deg  5.3492    -66.478    3     3.59           7.0     1.5        -0.67      0.20
#field3deg  5.3492    -66.478    3     3.59           9.75    1.25       -0.69      0.07
#field3deg  5.3492    -66.478    3     3.59           13      2          -1.13      0.43
#field5deg  5.3492    -64.478    5     5.983          0.75    0.75       -0.16      0.28
#field5deg  5.3492    -64.478    5     5.983          2.5     1          -0.39      0.15
#field5deg  5.3492    -64.478    5     5.983          4.5     1          -0.63      0.18
#field5deg  5.3492    -64.478    5     5.983          7       1.5        -0.72      0.16
#field5deg  5.3492    -64.478    5     5.983          9.75    1.25       -0.83      0.35
#field5deg  5.3492    -64.478    5     5.983          13      2          -1.39      0.42
#field6deg  5.3492    -63.478    6     7.179          0.75    0.75       -0.15      0.16
#field6deg  5.3492    -63.478    6     7.179          2.5     1          -0.38      0.16
#field6deg  5.3492    -63.478    6     7.179          4.5     1          -0.6       0.16
#field6deg  5.3492    -63.478    6     7.179          7       1.5        -0.75      0.20
#field6deg  5.3492    -63.478    6     7.179          9.75    1.25       -0.83      0.14
#field6deg  5.3492    -63.478    6     7.179          13      2          -1.34      0.24
#field8deg  5.3492    -61.478    8     9.572          0.75    0.75       -0.16      0.21
#field8deg  5.3492    -61.478    8     9.572          2.5     1          -0.45      0.13
#field8deg  5.3492    -61.478    8     9.572          4.5     1          -0.62      0.20
#field8deg  5.3492    -61.478    8     9.572          7       1.5        -0.89      0.16
#field8deg  5.3492    -61.478    8     9.572          9.75    1.25       -0.92      0.18
#field8deg  5.3492    -61.478    8     9.572          13      2          -1.25      0.32
