#
# Noël, N. E. D. et al. Old Main-Sequence Turnoff Photometry in the Small
# Magellanic Cloud. II. Star Formation History and its Spatial Gradients.
# The Astrophysical Journal 705, 1260–1274 (2009).
#
# Polynomial fit (5th degree) of the three regions in their Fig 13
# (values listed below).
#
#Age(Gyr)          [Fe/H]
#
0.0                -0.563037484765
0.0909090909091    -0.578275671718
0.181818181818     -0.593028966294
0.272727272727     -0.607314012403
0.363636363636     -0.621147081668
0.454545454545     -0.634544077398
0.545454545455     -0.647520538568
0.636363636364     -0.660091643799
0.727272727273     -0.672272215337
0.818181818182     -0.684076723031
0.909090909091     -0.695519288311
1.0                -0.706613688171
1.09090909091      -0.717373359143
1.18181818182      -0.727811401279
1.27272727273      -0.73794058213
1.36363636364      -0.747773340723
1.45454545455      -0.757321791543
1.54545454545      -0.766597728506
1.63636363636      -0.775612628947
1.72727272727      -0.784377657592
1.81818181818      -0.792903670537
1.90909090909      -0.801201219232
2.0                -0.809280554456
2.09090909091      -0.817151630295
2.18181818182      -0.824824108125
2.27272727273      -0.832307360588
2.36363636364      -0.839610475572
2.45454545455      -0.84674226019
2.54545454545      -0.853711244757
2.63636363636      -0.860525686772
2.72727272727      -0.867193574895
2.81818181818      -0.873722632928
2.90909090909      -0.880120323791
3.0                -0.886393853502
3.09090909091      -0.892550175157
3.18181818182      -0.89859599291
3.27272727273      -0.904537765949
3.36363636364      -0.910381712474
3.45454545455      -0.916133813682
3.54545454545      -0.921799817741
3.63636363636      -0.92738524377
3.72727272727      -0.932895385816
3.81818181818      -0.938335316839
3.90909090909      -0.943709892685
4.0                -0.949023756066
4.09090909091      -0.954281340543
4.18181818182      -0.959486874498
4.27272727273      -0.96464438512
4.36363636364      -0.969757702379
4.45454545455      -0.974830463009
4.54545454545      -0.979866114483
4.63636363636      -0.984867918993
4.72727272727      -0.989838957432
4.81818181818      -0.994782133369
4.90909090909      -0.99970017703
5.0                -1.00459564928
5.09090909091      -1.00947094559
5.18181818182      -1.01432830003
5.27272727273      -1.01916978924
5.36363636364      -1.02399733642
5.45454545455      -1.0288127153
5.54545454545      -1.0336175541
5.63636363636      -1.03841333954
5.72727272727      -1.04320142082
5.81818181818      -1.04798301357
5.90909090909      -1.05275920385
6.0                -1.05753095213
6.09090909091      -1.06229909724
6.18181818182      -1.06706436041
6.27272727273      -1.07182734918
6.36363636364      -1.07658856143
6.45454545455      -1.08134838931
6.54545454545      -1.08610712329
6.63636363636      -1.09086495606
6.72727272727      -1.09562198656
6.81818181818      -1.10037822395
6.90909090909      -1.10513359158
7.0                -1.10988793097
7.09090909091      -1.11464100578
7.18181818182      -1.11939250583
7.27272727273      -1.12414205103
7.36363636364      -1.12888919538
7.45454545455      -1.13363343095
7.54545454545      -1.13837419185
7.63636363636      -1.14311085822
7.72727272727      -1.14784276022
7.81818181818      -1.15256918196
7.90909090909      -1.15728936555
8.0                -1.162002515
8.09090909091      -1.16670780028
8.18181818182      -1.17140436124
8.27272727273      -1.1760913116
8.36363636364      -1.18076774295
8.45454545455      -1.18543272872
8.54545454545      -1.19008532814
8.63636363636      -1.19472459025
8.72727272727      -1.19934955785
8.81818181818      -1.20395927149
8.90909090909      -1.20855277347
9.0                -1.21312911178
#
#
# Data below was obtained from their Fig 13 using
# http://arohatgi.info/WebPlotDigitizer/app/
#
# Eastern fields.
#Age(Gyr) [Fe/H]
#0.274026909167401  -0.3944466468717889
#0.7753443202994581  -0.5107995350630926
#1.463499486250111  -0.5819694015420585
#3.485624442089195  -0.6977505575736977
#4.503199812299253  -0.8477439502916639
#5.952136309576783  -0.8659962298039656
#7.974530950396842  -0.944183299487868
#11.989061577171706  -1.3186139270717872
#
# Western fields.
#Age(Gyr) [Fe/H]
#0.2407932011331444  -0.650836694503828
#1.2181303116147308  -0.7887464852512192
#1.8980169971671383  -0.8410438408964058
#2.450424929178469  -0.8449666691239195
#3.456090651558073  -0.9159724928125359
#4.433427762039659  -1.0427298672030498
#5.509915014164306  -1.1658066282633193
#6.01983002832861  -1.221758269532525
#8.002832861189802  -1.3526069694703917
#11.78470254957507  -1.4134924228861483
#
# Southern fields.
#Age(Gyr) [Fe/H]
#0.2741702741702743  -0.761363636363636
#0.7503607503607506  -0.7878787878787874
#1.1255411255411256  -0.8181818181818177
#1.8614718614718613  -0.8787878787878785
#2.481962481962482  -0.9356060606060603
#4.126984126984128  -0.9962121212121209
#5.223665223665224  -1.0530303030303028
#5.974025974025974  -1.0984848484848482
#7.994227994227995  -1.106060606060606
#8.961038961038962  -1.1969696969696968
#10.014430014430015  -1.2878787878787876
#11.976911976911977  -1.3143939393939392
#
#
#
#
#
#
# Piatti average of three big regions (their Fig 13)
#
#Age(Gyr) [Fe/H]
#0.5       -0.6
#1         -0.7
#4         -0.9
#8         -1.15
#12        -1.3
