#
# Rubele  S. et al. The VMC survey. IV. The LMC star formation history and
# disk geometry from four VMC tiles.
# Astronomy and Astrophysics 537  A106 (2012).
#
# Values taken from Fig. 20 of Palma et al. (2015) using
# http://arohatgi.info/WebPlotDigitizer/app/
#
#Age(Gyrs)              [FeH]
0.004261119314586115    -0.5970188391451798
0.02480406315413697     -0.2985522579388904
0.06016518733671927     -0.25683158355915436
0.12624661268599802     -0.396266571470297
0.14219416814058772     -0.3067460690930923
0.1660343680529638      -0.19734077595858956
0.1779512226783715      -0.14363314780859038
0.4361562302237656      -0.1779778343907703
0.5574147695003812      -0.20010969218037533
0.7925584565206808      -0.1050552517565353
1.1600921673941618      -0.2192194979473282
1.2617424180959644      -0.25325263277459553
1.9975497752608433      -0.2547169260226849
2.7988803608807826      -0.5667593749492918
3.166329693153975       -0.7067940999886413
# Values below are from the Piatti average.
5.0        -0.6
7.5        -0.75
10         -1.05
11.0       -1.2
#
# This is an average of the 4 tiles analyzed by the authors, by Piatti.
#0.8        -0.15
#1.2        -0.33
#2.0        -0.4
#3.0        -0.6
#5.0        -0.6
#7.5        -0.75
#10         -1.05
#11.0       -1.2
