#ID x y mag e_mag col1 e_col1 memb_prob sel
4262     367.794000 4639.581000  19.1760   0.0130  -0.1760   0.0160   0.3420      1
4550     404.029000 4666.396000  20.3400   0.0120   0.2000   0.0140   0.3380      1
4793     422.891000 4689.250000  20.3530   0.0210   0.2120   0.0250   0.3340      1
4345     447.749000 4646.685000  19.2300   0.0060  -0.1350   0.0130   0.3310      1
4324     397.704000 4644.680000  19.2620   0.0140  -0.0520   0.0170   0.2850      1
4860     365.810000 4695.573000  19.4800   0.0150  -0.1010   0.0190   0.2820      1
4790     412.438000 4689.162000  19.5080   0.0250  -0.0980   0.0260   0.2790      1
4633     364.181000 4674.663000  21.0690   0.0260   0.8790   0.0380   0.2790      1
4941     407.786000 4703.692000  20.4880   0.0130   0.5110   0.0210   0.2740      1
4416     357.553000 4653.634000  20.5280   0.0250   0.4500   0.0330   0.2730      1
4498     421.457000 4661.334000  20.8710   0.0170   0.0820   0.0200   0.2720      1
4480     355.950000 4659.397000  20.3310   0.0340   0.1440   0.0420   0.2670      1
4192     371.763000 4634.190000  19.5470   0.0090   0.3710   0.0170   0.2650      1
4963     435.199000 4705.517000  21.0830   0.0250   0.8200   0.0620   0.2650      1
4923     422.352000 4701.764000  22.0970   0.0330   1.3510   0.0780   0.2610      1
4186     418.921000 4633.557000  20.5360   0.0230   0.4360   0.0380   0.2560      1
4162     378.337000 4630.938000  20.3550   0.0130   0.0080   0.0170   0.2550      1
4809     455.949000 4690.834000  20.4120   0.0200  -0.0390   0.0310   0.2530      1
5151     422.727000 4721.873000  21.4110   0.0220   0.4960   0.0280   0.2470      1
4429     446.907000 4654.570000  21.4580   0.0290   0.5050   0.0420   0.2470      1
4519     444.570000 4663.214000  21.3970   0.0230   0.4950   0.0290   0.2370      1
5058     419.585000 4714.298000  22.1870   0.0620   1.1720   0.1550   0.2350      1
4310     443.173000 4643.480000  20.3990   0.0120   0.1570   0.0240   0.2310      1
4732     349.402000 4683.361000  20.4310   0.0230   0.3880   0.0270   0.2290      1
4560     351.023000 4666.935000  20.3790   0.0320   0.4060   0.0370   0.2150      1
4831     388.984000 4692.777000  20.5330   0.0170   0.3530   0.0210   0.2110      1
4733     370.359000 4683.625000  21.0280   0.0160   0.5230   0.0280   0.2100      1
4753     442.728000 4684.929000  20.4270   0.0180  -0.0610   0.0270   0.2100      1
4267     394.389000 4639.765000  19.2750   0.0260  -0.3520   0.0320   0.2820      0
4991     358.797000 4708.012000  19.3730   0.0100  -0.5640   0.0170   0.2750      0
4691     455.688000 4679.812000  19.4120   0.0060  -0.1870   0.0110   0.2650      0
4884     384.525000 4698.217000  19.5140   0.0080   0.3260   0.0110   0.2640      0
4921     360.291000 4701.510000  19.1600   0.0110  -0.1520   0.0170   0.2620      0
4646     373.176000 4675.517000  19.4980   0.0070  -0.0530   0.0120   0.2600      0
4761     429.833000 4685.908000  21.0370   0.0240   0.8030   0.0370   0.2510      0
4602     351.055000 4671.492000  20.8390   0.0320   1.4980   0.0570   0.2390      0
4636     421.687000 4674.891000  19.2740   0.0080   1.4480   0.0140   0.2330      0
4415     434.234000 4653.526000  22.4080   0.0810  -0.1450   0.0960   0.2310      0
4907     455.472000 4700.310000  20.1720   0.0140   0.1900   0.0320   0.2270      0
4190     383.967000 4634.148000  21.0020   0.0230   0.8510   0.0360   0.2240      0
4547     380.976000 4666.250000  19.3220   0.0180   0.0030   0.0200   0.2160      0
5097     379.714000 4717.395000  21.6110   0.0330   0.9370   0.0510   0.2150      0
4689     393.808000 4679.575000  19.2690   0.0060   1.5830   0.0120   0.2130      0
4737     422.408000 4684.076000  19.4170   0.0100  -0.0590   0.0150   0.2110      0
4807     432.229000 4690.706000  20.9700   0.0270   1.3920   0.0970   0.2110      0
4966     357.140000 4705.684000  19.0180   0.0140   0.4680   0.0770   0.2100      0
4900     397.522000 4699.252000  21.3380   0.0210   1.0520   0.0390   0.2100      0
4728     382.640000 4683.015000  21.5850   0.0320   0.9390   0.0640   0.2100      0
4329     429.316000 4645.289000  20.0910   0.0330   0.0990   0.0350   0.2090      0
4587     388.639000 4669.527000  18.4670   0.0070   2.4780   0.0140   0.2080      0
4201     407.359000 4634.809000  21.0510   0.0230   1.6480   0.0900   0.2080      0
5009     427.181000 4710.305000  20.8350   0.0290   0.1410   0.0330   0.2080      0
5135     400.627000 4720.718000  17.5630   0.0090   1.3660   0.0140   0.2070      0
4871     443.418000 4696.778000  16.6670   0.0100   0.3220   0.0200   0.2070      0
4432     406.723000 4654.830000  21.3740   0.0290   0.4240   0.0340   0.2060      0
4358     384.726000 4647.410000  17.4790   0.0080   1.4380   0.0130   0.2040      0
4506     430.751000 4661.997000  21.4980   0.0230   0.5390   0.0330   0.2030      0
4327     425.127000 4645.002000  18.1070   0.0080   1.7910   0.0140   0.2020      0
4632     384.747000 4674.217000  20.7400   0.0330  -0.0210   0.0360   0.1970      0
4967     396.040000 4705.801000  21.3980   0.0230   0.3290   0.0270   0.1940      0
4214     424.842000 4635.692000  21.5980   0.0480   0.9820   0.0610   0.1930      0
4171     438.097000 4631.360000  19.4690   0.0070   1.4950   0.0120   0.1920      0
5194     406.196000 4727.591000  21.0300   0.0270   0.5270   0.0340   0.1920      0
4535     416.727000 4664.844000  22.6690   0.1000   0.0310   0.1460   0.1910      0
5197     412.722000 4727.753000  20.6360   0.0210   0.5480   0.0250   0.1900      0
4134     396.135000 4628.720000  19.5400   0.0100   0.0260   0.0130   0.1880      0
