#RA_(deg)     DEC_(deg)       E_BV_close dist(deg) E_BV_avrg E_BV_std_dev E_BV_max
77.666666667  -68.753611111   0.058      0.025     0.057     0.014        0.087
78.104166667  -68.771944444   0.043      0.038     0.058     0.015        0.109
81.125        -67.678055556   0.051      0.236     0.072     0.015        0.101
82.483333333  -72.054722222   0.065      0.207     0.067     0.011        0.087
82.85         -72.0425        0.065      0.199     0.069     0.012        0.094
76.904166667  -68.541944444   0.058      0.040     0.049     0.014        0.080
79.454166667  -68.472777778   0.072      0.051     0.068     0.021        0.130
81.116666667  -67.728611111   0.051      0.185     0.074     0.017        0.109
82.208333333  -71.632777778   0.065      0.063     0.066     0.010        0.087
82.925        -72.146111111   0.065      0.303     0.070     0.010        0.094
76.354166667  -68.500555556   0.051      0.076     0.048     0.014        0.080
76.416666667  -68.639444444   0.043      0.061     0.050     0.013        0.080
76.5125       -68.628333333   0.043      0.050     0.049     0.013        0.080
76.5375       -68.445833333   0.043      0.021     0.048     0.013        0.080
77.916666667  -68.726666667   0.043      0.025     0.058     0.015        0.094
72.154166667  -68.559444444   0.072      0.073     0.076     0.020        0.116
93.9875       -70.073055556   0.036      0.253     0.056     0.011        0.065
94.329166667  -70.060833333   0.036      0.315     0.055     0.013        0.065
5.3625        -73.748611111   0.014      0.184     0.015     0.005        0.022
5.666666667   -75.074722222   0.014      0.575     0.024     0.006        0.029
5.766666667   -73.669722222   0.014      0.146     0.016     0.007        0.029
6.179166667   -73.755         0.014      0.013     0.018     0.007        0.029
9.425         -73.908333333   0.022      0.145     0.026     0.009        0.058
10.35         -72.890833333   0.036      0.069     0.034     0.017        0.101
16.016666667  -74.619166667   0.022      0.536     0.021     0.004        0.029
16.091666667  -72.847777778   0.022      0.034     0.035     0.011        0.072
12.004166667  -73.486111111   0.036      0.026     0.035     0.017        0.101
13.145833333  -72.193055556   0.029      0.095     0.033     0.013        0.080
13.354166667  -72.196388889   0.022      0.050     0.034     0.014        0.080
13.5625       -72.241388889   0.029      0.024     0.035     0.014        0.080
15.004166667  -72.368888889   0.051      0.021     0.035     0.015        0.080
15.141666667  -72.365555556   0.043      0.020     0.035     0.015        0.080
4.604166667   -74.318611111   0.014      0.267     0.021     0.005        0.029
10.745833333  -72.588611111   0.022      0.068     0.032     0.013        0.087
19.566666667  -72.001666667   0.022      0.166     0.024     0.009        0.051
21.233333333  -71.183611111   0.029      0.464     0.022     0.007        0.029
23.308333333  -74.167222222   0.022      0.540     0.022     0.000        0.022
11.475        -73.506666667   0.051      0.019     0.036     0.018        0.101
11.8          -73.477222222   0.051      0.033     0.036     0.017        0.101
13.275        -73.380277778   0.043      0.015     0.032     0.016        0.080
15.970833333  -72.826111111   0.029      0.008     0.035     0.013        0.080
72.795833333  -67.534722222   0.036      0.100     0.045     0.012        0.072
73.4625       -69.571944444   0.101      0.109     0.081     0.019        0.145
73.7625       -67.964444444   0.043      0.054     0.055     0.019        0.094
74.120833333  -67.622777778   0.058      0.014     0.043     0.016        0.080
74.558333333  -67.768333333   0.043      0.138     0.047     0.016        0.080
74.808333333  -67.908333333   0.051      0.020     0.050     0.016        0.094
76.125        -68.349722222   0.029      0.055     0.046     0.014        0.080
76.604166667  -68.375         0.051      0.056     0.048     0.014        0.080
77.220833333  -68.083611111   0.036      0.059     0.051     0.015        0.080
77.625        -68.400555556   0.065      0.034     0.054     0.015        0.109
77.720833333  -67.471111111   0.051      0.156     0.051     0.014        0.080
77.733333333  -67.626666667   0.080      0.048     0.051     0.013        0.080
