#
# centeralpha, centerdelta: coords of the MCEV region.
# ra_deg, dec_deg: coords of the cluster.
#
# centeralpha   centerdelta   ev_i   sig_ev_i   ra_deg         dec_deg        
  78.1277       -68.5816      0.07   0.1005     77.666666667   -68.753611111  
  77.9889       -68.5816      0.09   0.1085     77.666666667   -68.753611111  
  78.5441       -68.4286      0.08   0.0835     77.666666667   -68.753611111  
  78.4053       -68.4286      0.07   0.0805     77.666666667   -68.753611111  
  78.5646       -68.2971      0.1    0.0945     77.666666667   -68.753611111  
  78.4291       -68.2971      0.09   0.0915     77.666666667   -68.753611111  
  78.2665       -68.4286      0.08   0.0865     77.666666667   -68.753611111  
  78.1277       -68.4286      0.09   0.088      77.666666667   -68.753611111  
  78.2935       -68.2971      0.1    0.0875     77.666666667   -68.753611111  
  78.158        -68.2971      0.11   0.0975     77.666666667   -68.753611111  
  77.8501       -68.5816      0.09   0.1075     77.666666667   -68.753611111  
  77.7114       -68.5816      0.1    0.097      77.666666667   -68.753611111  
  77.9889       -68.4286      0.09   0.094      77.666666667   -68.753611111  
  77.8501       -68.4286      0.08   0.1        77.666666667   -68.753611111  
  77.5726       -68.5816      0.1    0.097      77.666666667   -68.753611111  
  77.4338       -68.5816      0.1    0.102      77.666666667   -68.753611111  
  77.3645       -68.5791      0.1    0.1125     77.666666667   -68.753611111  
  77.7114       -68.4286      0.08   0.096      77.666666667   -68.753611111  
  77.5726       -68.4286      0.09   0.1175     77.666666667   -68.753611111  
  78.0225       -68.2971      0.11   0.1005     77.666666667   -68.753611111  
  77.887        -68.2971      0.1    0.1        77.666666667   -68.753611111  
  77.7515       -68.2971      0.09   0.1005     77.666666667   -68.753611111  
  77.616        -68.2971      0.09   0.101      77.666666667   -68.753611111  
  77.0862       -68.8867      0.09   0.116      77.666666667   -68.753611111  
  76.947        -68.8867      0.08   0.1125     77.666666667   -68.753611111  
  76.8079       -68.8867      0.05   0.098      77.666666667   -68.753611111  
  76.6687       -68.8867      0.04   0.1        77.666666667   -68.753611111  
  76.6687       -68.7329      0.04   0.0965     77.666666667   -68.753611111  
  77.2253       -68.7329      0.11   0.14       77.666666667   -68.753611111  
  77.0862       -68.7329      0.08   0.11       77.666666667   -68.753611111  
  77.2253       -68.5791      0.1    0.1145     77.666666667   -68.753611111  
  77.0862       -68.5791      0.08   0.1095     77.666666667   -68.753611111  
  76.947        -68.7329      0.06   0.098      77.666666667   -68.753611111  
  76.8079       -68.7329      0.04   0.091      77.666666667   -68.753611111  
  76.947        -68.5791      0.08   0.098      77.666666667   -68.753611111  
  76.8079       -68.5791      0.07   0.1005     77.666666667   -68.753611111  
  76.5296       -68.8867      0.05   0.0955     77.666666667   -68.753611111  
  76.3904       -68.8867      0.04   0.09       77.666666667   -68.753611111  
  76.2513       -68.8867      0.04   0.102      77.666666667   -68.753611111  
  76.5296       -68.7329      0.03   0.091      77.666666667   -68.753611111  
  76.3904       -68.7329      0.04   0.092      77.666666667   -68.753611111  
  76.2513       -68.7329      0.05   0.0915     77.666666667   -68.753611111  
  76.6687       -68.5791      0.08   0.1095     77.666666667   -68.753611111  
  76.5296       -68.5791      0.06   0.103      77.666666667   -68.753611111  
  76.3904       -68.5791      0.06   0.1        77.666666667   -68.753611111  
  76.2513       -68.5791      0.07   0.0885     77.666666667   -68.753611111  
  77.4338       -68.4286      0.1    0.1085     77.666666667   -68.753611111  
  77.3645       -68.4253      0.09   0.111      77.666666667   -68.753611111  
  77.2253       -68.4253      0.08   0.118      77.666666667   -68.753611111  
  77.0862       -68.4253      0.09   0.112      77.666666667   -68.753611111  
  76.947        -68.4253      0.09   0.1105     77.666666667   -68.753611111  
  77.4805       -68.2971      0.07   0.09       77.666666667   -68.753611111  
  77.4634       -68.2947      0.08   0.088      77.666666667   -68.753611111  
  77.3279       -68.2947      0.08   0.0865     77.666666667   -68.753611111  
  77.1923       -68.2947      0.09   0.102      77.666666667   -68.753611111  
  77.0568       -68.2947      0.07   0.0975     77.666666667   -68.753611111  
  76.6687       -68.4253      0.07   0.0955     77.666666667   -68.753611111  
  76.8079       -68.4253      0.08   0.0975     77.666666667   -68.753611111  
  76.5296       -68.4253      0.06   0.098      77.666666667   -68.753611111  
  76.9213       -68.2947      0.06   0.0865     77.666666667   -68.753611111  
  76.7858       -68.2947      0.06   0.1        77.666666667   -68.753611111  
  79.1609       -69.1351      0.05   0.1075     78.104166667   -68.771944444  
  79.0894       -69.1351      0.07   0.1025     78.104166667   -68.771944444  
  78.97         -69.2088      0.08   0.113      78.104166667   -68.771944444  
  78.9464       -69.2119      0.07   0.1105     78.104166667   -68.771944444  
  78.8988       -69.2088      0.08   0.1205     78.104166667   -68.771944444  
  78.8275       -69.2088      0.05   0.1185     78.104166667   -68.771944444  
  78.7563       -69.2088      0.07   0.1225     78.104166667   -68.771944444  
  79.0179       -69.1351      0.08   0.11       78.104166667   -68.771944444  
  78.97         -69.1324      0.05   0.0995     78.104166667   -68.771944444  
  78.9464       -69.1351      0.05   0.102      78.104166667   -68.771944444  
  78.8275       -69.1324      0.03   0.1145     78.104166667   -68.771944444  
  78.8988       -69.1324      0.04   0.1035     78.104166667   -68.771944444  
  78.5426       -69.2851      0.11   0.1315     78.104166667   -68.771944444  
  78.3644       -69.3233      0.09   0.1395     78.104166667   -68.771944444  
  78.4713       -69.2851      0.09   0.1365     78.104166667   -68.771944444  
  78.2219       -69.3233      0.11   0.1445     78.104166667   -68.771944444  
  78.0794       -69.3233      0.1    0.117      78.104166667   -68.771944444  
  78.6851       -69.2088      0.07   0.1195     78.104166667   -68.771944444  
  78.6138       -69.2088      0.1    0.131      78.104166667   -68.771944444  
  78.4713       -69.2088      0.11   0.1255     78.104166667   -68.771944444  
  78.5426       -69.2088      0.1    0.141      78.104166667   -68.771944444  
  78.7563       -69.1324      0.04   0.1105     78.104166667   -68.771944444  
  78.6851       -69.1324      0.07   0.1225     78.104166667   -68.771944444  
  78.6138       -69.1324      0.07   0.1315     78.104166667   -68.771944444  
  78.5426       -69.1324      0.1    0.1245     78.104166667   -68.771944444  
  78.3644       -69.1706      0.08   0.1295     78.104166667   -68.771944444  
