RA,DEC
77.666666667,-68.753611111
78.104166667,-68.771944444
81.125000000,-67.678055556
82.483333333,-72.054722222
82.850000000,-72.042500000
76.904166667,-68.541944444
79.454166667,-68.472777778
81.116666667,-67.728611111
82.208333333,-71.632777778
82.925000000,-72.146111111
83.012500000,-64.242222222
85.833333333,-66.262222222
85.895833333,-66.208611111
76.354166667,-68.500555556
76.416666667,-68.639444444
76.512500000,-68.628333333
76.537500000,-68.445833333
77.916666667,-68.726666667
72.154166667,-68.559444444
74.391666667,-65.267777778
82.641666667,-63.203333333
85.620833333,-65.362777778
88.895833333,-62.345277778
88.925000000,-74.353888889
93.987500000,-70.073055556
94.329166667,-70.060833333
5.362500000,-73.748611111
5.666666667,-75.074722222
5.766666667,-69.806944444
6.179166667,-67.714166667
9.425000000,-67.685277778
10.350000000,-68.060277778
16.016666667,-69.957777778
16.091666667,-67.846944444
12.004166667,-69.801111111
13.145833333,-67.923611111
13.354166667,-68.208333333
13.562500000,-68.026388889
15.004166667,-67.460833333
15.141666667,-67.861388889
23.608333333,-67.980277778
27.366666667,-67.778333333
4.604166667,-70.487500000
10.745833333,-70.540833333
18.016666667,-69.001111111
19.566666667,-70.777777778
20.700000000,-71.000555556
21.233333333,-68.235555556
23.308333333,-68.152222222
25.616666667,-74.782777778
27.579166667,-74.853333333
29.183333333,-69.180555556
11.475000000,-69.082500000
11.800000000,-69.189722222
13.275000000,-72.226388889
15.970833333,-72.494166667
72.795833333,-72.383888889
73.462500000,-69.801944444
73.762500000,-72.568333333
74.120833333,-72.588333333
74.558333333,-72.640000000
74.808333333,-72.056666667
76.125000000,-72.248055556
76.604166667,-72.827500000
77.220833333,-72.576666667
77.625000000,-72.517777778
77.720833333,-72.172500000
77.733333333,-67.049444444
77.787500000,-66.829166667
77.920833333,-66.798055556
78.812500000,-67.357777778
78.854166667,-67.699722222
79.112500000,-66.699166667
79.233333333,-66.940000000
82.333333333,-67.626666667
83.095833333,-66.620000000
83.254166667,-73.570277778
83.662500000,-71.707777778
85.454166667,-71.858333333
86.362500000,-72.505277778
86.712500000,-72.609444444
95.391666667,-66.911388889
10.933333333,-67.659722222
11.958333333,-67.325833333
14.341666667,-67.783333333
18.875000000,-69.705833333
11.216666667,-68.002222222
11.358333333,-68.049166667
11.683333333,-69.803055556
12.137500000,-69.557500000
14.445833333,-67.975555556
14.450000000,-68.063055556
14.458333333,-68.427222222
15.595833333,-68.363055556
16.833333333,-67.842222222
17.079166667,-67.928888889
18.258333333,-68.444166667
13.887500000,-67.810555556
14.425000000,-69.191944444
15.104166667,-69.154166667
15.145833333,-69.150000000
15.283333333,-69.171666667
17.225000000,-69.079444444
17.554166667,-69.261111111
18.212500000,-68.904166667
357.245833333,-68.917222222
67.666666667,-70.981388889
68.908333333,-70.983888889
69.412500000,-67.878888889
69.925000000,-67.991111111
70.808333333,-67.971666667
72.279166667,-67.856388889
73.550000000,-69.248611111
73.754166667,-69.185000000
74.358333333,-69.229444444
74.541666667,-69.047500000
74.712500000,-69.333333333
74.725000000,-69.380277778
74.941666667,-69.271944444
74.970833333,-68.628611111
76.141666667,-75.457777778
76.508333333,-76.054444444
76.895833333,-71.952777778
76.941666667,-75.556666667
77.212500000,-71.161111111
77.345833333,-74.173333333
77.650000000,-69.180555556
79.166666667,-69.082500000
79.758333333,-69.189722222
80.800000000,-72.226388889
82.441666667,-72.494166667
82.941666667,-72.383888889
83.333333333,-69.801944444
84.441666667,-72.568333333
84.783333333,-72.588333333
85.983333333,-72.640000000
86.550000000,-72.056666667
86.716666667,-72.248055556
91.629166667,-72.827500000
91.870833333,-72.576666667
92.220833333,-72.517777778
93.670833333,-72.172500000
71.604166667,-67.049444444
71.875000000,-66.829166667
72.250000000,-66.798055556
72.308333333,-67.357777778
72.412500000,-67.699722222
72.587500000,-66.699166667
72.700000000,-66.940000000
73.187500000,-67.626666667
73.225000000,-66.620000000
76.470833333,-73.570277778
76.837500000,-71.707777778
76.945833333,-71.858333333
76.983333333,-72.505277778
77.312500000,-72.609444444
77.508333333,-66.911388889
77.633333333,-67.659722222
77.795833333,-67.325833333
78.450000000,-67.783333333
81.362500000,-69.705833333
87.700000000,-68.002222222
88.045833333,-68.049166667
93.483333333,-69.803055556
93.616666667,-69.557500000
71.516666667,-67.975555556
71.858333333,-68.063055556
72.620833333,-68.427222222
73.920833333,-68.363055556
73.966666667,-67.842222222
74.225000000,-67.928888889
74.562500000,-68.444166667
74.591666667,-67.810555556
74.908333333,-69.191944444
76.137500000,-69.154166667
76.550000000,-69.150000000
76.641666667,-69.171666667
76.641666667,-69.079444444
76.670833333,-69.261111111
76.975000000,-68.904166667
77.300000000,-68.917222222
77.395833333,-70.981388889
78.945833333,-70.983888889
79.070833333,-67.878888889
79.220833333,-67.991111111
79.520833333,-67.971666667
79.670833333,-67.856388889
80.008333333,-69.248611111
80.050000000,-69.185000000
80.437500000,-69.229444444
81.550000000,-69.047500000
82.412500000,-69.333333333
82.495833333,-69.380277778
82.962500000,-69.271944444
82.991666667,-68.628611111
83.554166667,-75.457777778
85.108333333,-76.054444444
85.375000000,-71.952777778
85.412500000,-75.556666667
85.491666667,-71.161111111
86.045833333,-74.173333333
86.458333333,-69.380277778
86.483333333,-69.271944444
76.400000000,-68.628611111
24.004166667,-75.457777778
22.658333333,-76.054444444
22.883333333,-71.952777778
23.750000000,-75.556666667
25.429166667,-71.161111111
25.591666667,-74.173333333
14.058333333,-74.156111111
15.491666667,-71.020277778
14.325000000,-72.932777778
17.058333333,-73.256944444
11.7291666667,-73.423333333
11.775000000,-73.373055556
11.504166667,-73.395555556
16.879166667,-73.119722222
15.233333333,-73.151666667
15.204166667,-73.348888889
15.350000000,-73.240277778
10.908333333,-73.440555556
10.887500000,-73.438888889
17.258333333,-73.086388889
17.695833333,-72.791944444
12.050000000,-73.446388889
11.854166667,-73.458055556
16.737500000,-73.235000000
12.587500000,-73.387222222
17.254166667,-73.206666667
12.362500000,-73.398055556
