#\Rows = 210
#\Cols = 17
#\Coordinate system = equ
#\Equinox = J2000
#\Coordinate format = degree
#\Cutout size unit = degree
#\E_B_V is E(B-V), unit = mag
#\AV is A(V), unit = mag
#\Statistics radius = 5.0 arcmin
#\stdev is the standard deviation of the quantity
#\A(V)/E(B-V) = 3.1 is assumed
#\SandF: Schlafly and Finkbeiner 2011 (ApJ 737, 103)
#\SFD: Schlegel et al. 1998 (ApJ 500, 525)
#|ra             |dec            |cutout_size     |E_B_V_SandF       |mean_E_B_V_SandF  |stdev_E_B_V_SandF |max_E_B_V_SandF   |min_E_B_V_SandF   |AV_SandF          |E_B_V_SFD         |mean_E_B_V_SFD    |stdev_E_B_V_SFD   |max_E_B_V_SFD     |min_E_B_V_SFD     |AV_SFD
#|double         |double         |float           |float             |float             |float             |float             |float             |float             |float             |float             |float             |float             |float             |float
#|deg            |deg            |deg             |mags              |mags              |mags              |mags              |mags              |mags              |mags              |mags              |mags              |mags              |mags              |mags
85.833330       -66.262220      2                0.3360             0.2894             0.0974             0.4437             0.1391             1.0415             0.3907             0.3365             0.1132             0.5159             0.1617             1.2111         
85.895830       -66.208610      2                0.2446             0.2289             0.0856             0.4437             0.1153             0.7582             0.2844             0.2662             0.0995             0.5159             0.1340             0.8816         
76.354170       -68.500560      2                0.5645             0.5353             0.0559             0.6129             0.3902             1.7499             0.6564             0.6225             0.0650             0.7127             0.4537             2.0348         
76.416670       -68.639440      2                0.2659             0.2827             0.0675             0.4357             0.2001             0.8242             0.3092             0.3287             0.0785             0.5066             0.2327             0.9584         
76.512500       -68.628330      2                0.2979             0.3348             0.0954             0.5673             0.2122             0.9234             0.3464             0.3893             0.1110             0.6597             0.2468             1.0737         
76.537500       -68.445830      2                0.5631             0.5576             0.0590             0.7028             0.4502             1.7457             0.6548             0.6484             0.0686             0.8172             0.5234             2.0299         
77.916670       -68.726670      2                0.5168             0.5298             0.1189             0.8262             0.3871             1.6021             0.6009             0.6161             0.1383             0.9607             0.4502             1.8629         
72.154170       -68.559440      2                0.2631             0.2576             0.0256             0.2979             0.2073             0.8155             0.3059             0.2995             0.0298             0.3464             0.2410             0.9483         
74.391670       -65.267780      2                0.0456             0.0461             0.0016             0.0496             0.0437             0.1414             0.0530             0.0536             0.0018             0.0577             0.0508             0.1644         
82.641670       -63.203330      2                0.0509             0.0503             0.0012             0.0517             0.0478             0.1578             0.0592             0.0585             0.0013             0.0601             0.0556             0.1835         
85.620830       -65.362780      2                0.0553             0.0559             0.0010             0.0586             0.0546             0.1714             0.0643             0.0649             0.0012             0.0681             0.0635             0.1993         
88.895830       -62.345280      2                0.0414             0.0415             0.0012             0.0441             0.0396             0.1283             0.0481             0.0482             0.0013             0.0513             0.0461             0.1492         
88.925000       -74.353890      2                0.1169             0.1166             0.0046             0.1259             0.1092             0.3623             0.1359             0.1355             0.0054             0.1464             0.1270             0.4213         
93.987500       -70.073060      2                0.0810             0.0808             0.0023             0.0860             0.0763             0.2510             0.0942             0.0940             0.0027             0.1000             0.0887             0.2919         
94.329170       -70.060830      2                0.0809             0.0818             0.0014             0.0854             0.0797             0.2509             0.0941             0.0951             0.0016             0.0993             0.0927             0.2917         
5.362500        -73.748610      2                0.0318             0.0313             0.0010             0.0328             0.0297             0.0987             0.0370             0.0364             0.0012             0.0382             0.0345             0.1147         
5.666670        -75.074720      2                0.0337             0.0345             0.0023             0.0392             0.0308             0.1045             0.0392             0.0401             0.0027             0.0455             0.0358             0.1215         
5.766670        -73.669720      2                0.0312             0.0313             0.0011             0.0332             0.0290             0.0966             0.0362             0.0363             0.0012             0.0386             0.0337             0.1124         
6.179170        -73.755000      2                0.0347             0.0338             0.0011             0.0354             0.0312             0.1075             0.0403             0.0393             0.0013             0.0411             0.0363             0.1250         
9.425000        -73.908330      2                0.0435             0.0436             0.0016             0.0468             0.0397             0.1349             0.0506             0.0507             0.0019             0.0544             0.0461             0.1569         
10.350000       -72.890830      2                0.0913             0.0975             0.0192             0.1506             0.0732             0.2831             0.1062             0.1133             0.0223             0.1751             0.0852             0.3292         
16.016670       -74.619170      2                0.0464             0.0466             0.0008             0.0487             0.0453             0.1437             0.0539             0.0542             0.0009             0.0567             0.0527             0.1671         
16.091670       -72.847780      2                0.1196             0.1175             0.0053             0.1263             0.1085             0.3706             0.1390             0.1366             0.0062             0.1469             0.1262             0.4310         
12.004170       -73.486110      2                0.2742             0.3127             0.0727             0.4479             0.1947             0.8502             0.3189             0.3636             0.0845             0.5208             0.2264             0.9886         
13.145830       -72.193060      2                0.1926             0.1841             0.0316             0.2370             0.1294             0.5970             0.2239             0.2140             0.0367             0.2756             0.1505             0.6942         
13.354170       -72.196390      2                0.1922             0.1792             0.0288             0.2303             0.1305             0.5960             0.2235             0.2084             0.0334             0.2677             0.1517             0.6930         
13.562500       -72.241390      2                0.1760             0.1861             0.0237             0.2303             0.1380             0.5456             0.2046             0.2164             0.0276             0.2678             0.1604             0.6344         
15.004170       -72.368890      2                0.2614             0.2637             0.0474             0.3527             0.1943             0.8103             0.3040             0.3066             0.0551             0.4101             0.2260             0.9423         
15.141670       -72.365560      2                0.2234             0.2240             0.0330             0.2974             0.1821             0.6925             0.2597             0.2604             0.0384             0.3458             0.2117             0.8052         
23.608330       -72.874440      2                0.0291             0.0298             0.0008             0.0318             0.0289             0.0903             0.0339             0.0347             0.0010             0.0369             0.0336             0.1050         
27.366670       -73.728330      2                0.0406             0.0406             0.0007             0.0429             0.0391             0.1258             0.0472             0.0473             0.0008             0.0499             0.0455             0.1463         
4.604170        -74.318610      2                0.0336             0.0337             0.0008             0.0351             0.0323             0.1041             0.0390             0.0392             0.0009             0.0409             0.0376             0.1210         
10.745830       -72.588610      2                0.0728             0.0699             0.0071             0.0823             0.0574             0.2256             0.0846             0.0813             0.0082             0.0957             0.0667             0.2623         
18.016670       -75.197500      2                0.0418             0.0420             0.0013             0.0451             0.0404             0.1295             0.0486             0.0488             0.0015             0.0524             0.0470             0.1506         
19.566670       -72.001670      2                0.0386             0.0387             0.0010             0.0409             0.0368             0.1197             0.0449             0.0450             0.0012             0.0476             0.0428             0.1392         
20.700000       -75.001670      2                0.0567             0.0558             0.0011             0.0574             0.0537             0.1758             0.0659             0.0649             0.0012             0.0668             0.0624             0.2044         
21.233330       -71.183610      2                0.0369             0.0376             0.0017             0.0415             0.0353             0.1145             0.0429             0.0437             0.0020             0.0482             0.0411             0.1331         
23.308330       -74.167220      2                0.0394             0.0393             0.0011             0.0417             0.0372             0.1220             0.0458             0.0457             0.0013             0.0485             0.0432             0.1418         
25.616670       -71.279170      2                0.0281             0.0283             0.0003             0.0289             0.0278             0.0871             0.0327             0.0329             0.0003             0.0336             0.0323             0.1013         
27.579170       -74.356110      2                0.0385             0.0381             0.0006             0.0391             0.0369             0.1195             0.0448             0.0442             0.0008             0.0455             0.0429             0.1389         
29.183330       -74.219440      2                0.0407             0.0402             0.0009             0.0415             0.0383             0.1262             0.0473             0.0467             0.0011             0.0483             0.0445             0.1467         
11.475000       -73.506670      2                0.2668             0.2841             0.0765             0.4709             0.1728             0.8271             0.3102             0.3303             0.0889             0.5475             0.2009             0.9618         
11.800000       -73.477220      2                0.3582             0.3603             0.0911             0.5601             0.2365             1.1104             0.4165             0.4190             0.1059             0.6513             0.2750             1.2911         
13.275000       -73.380280      2                0.3627             0.3459             0.0452             0.4208             0.2358             1.1244             0.4217             0.4022             0.0525             0.4893             0.2741             1.3074         
15.970830       -72.826110      2                0.1133             0.1138             0.0056             0.1236             0.1052             0.3514             0.1318             0.1324             0.0065             0.1437             0.1223             0.4086         
72.795830       -67.534720      2                0.1724             0.1676             0.0180             0.1960             0.1182             0.5345             0.2005             0.1949             0.0209             0.2279             0.1374             0.6215         
73.462500       -69.571940      2                0.3556             0.3784             0.1086             0.6088             0.2413             1.1025             0.4135             0.4400             0.1262             0.7079             0.2806             1.2819         
73.762500       -67.964440      2                0.1316             0.1461             0.0195             0.2019             0.1255             0.4080             0.1531             0.1698             0.0227             0.2347             0.1459             0.4745         
74.120830       -67.622780      2                0.1699             0.1791             0.0286             0.2350             0.1276             0.5268             0.1976             0.2082             0.0332             0.2733             0.1484             0.6126         
74.558330       -67.768330      2                0.1930             0.2005             0.0152             0.2306             0.1785             0.5983             0.2244             0.2332             0.0177             0.2681             0.2075             0.6957         
74.808330       -67.908330      2                0.2220             0.2252             0.0197             0.2620             0.1890             0.6881             0.2581             0.2618             0.0229             0.3046             0.2198             0.8001         
