#ID x   y   F555W   E_555   F555-F814   E_555-814
14187   713.85  3202.26 18.24   0.017   1.466   0.03
11037   2713.86 2769.26 18.262  0.01    1.364   0.022
11781   73.25   2876.74 18.268  0.013   1.442   0.029
13063   1776.65 3050.45 18.279  0.014   1.324   0.031
6540    509.93  1772.41 18.282  0.015   -0.025  0.024
10707   2868.53 2719.51 18.285  0.011   1.484   0.026
8713    3679.69 2341.16 18.3    0.01    1.11    0.019
1997    1372.01 507.27  18.303  0.007   0.117   0.014
2191    1782.5  560.46  18.306  0.011   1.44    0.031
7172    3914.03 1940.16 18.316  0.013   1.422   0.034
4226    3421.71 1145.04 18.318  0.008   0.12    0.015
7867    2494.37 2134.72 18.333  0.013   1.09    0.036
12022   2499.08 2909.3  18.333  0.059   1.401   0.084
14902   1585.28 3300.07 18.334  0.008   0.111   0.016
1068    696.87  241.16  18.34   0.011   1.53    0.03
12828   2526.59 3022.08 18.342  0.01    1.344   0.028
12923   730.82  3033.04 18.342  0.007   0.052   0.018
1925    2961.97 488.23  18.36   0.01    1.301   0.028
15848   3466.07 3439.41 18.39   0.011   1.369   0.033
15850   2933.62 3439.62 18.393  0.009   1.293   0.024
7417    1924.85 2009.64 18.4    0.019   -0.024  0.033
7306    806.7   1975.97 18.402  0.02    1.412   0.057
16775   2174.08 3594.93 18.403  0.014   1.47    0.028
1711    3375.11 429.1   18.412  0.011   0.038   0.019
5441    3718.33 1467.2  18.412  0.012   1.316   0.03
13800   2672.89 3148.28 18.413  0.008   1.391   0.022
17920   3107.02 3829.35 18.444  0.015   1.382   0.024
10654   2239.82 2712.14 18.45   0.011   1.392   0.022
12550   1243.27 2984.03 18.456  0.015   1.365   0.031
7504    1055.14 2035.16 18.464  0.008   -0.005  0.017
14629   1606.2  3261.69 18.47   0.012   1.336   0.022
14174   3026.84 3200.03 18.494  0.009   1.366   0.019
14666   1470.56 3266.86 18.5    0.018   0.06    0.032
6586    2036.8  1785.53 18.52   0.017   0.039   0.027
3112    2605.82 824.78  18.528  0.011   0.183   0.019
10676   582.13  2715.05 18.537  0.013   0.056   0.022
16403   312.32  3531.64 18.541  0.014   1.349   0.028
1524    3096.5  374.82  18.542  0.011   1.034   0.025
7123    1390.9  1927.54 18.543  0.011   1.058   0.021
3868    1208.98 1039.72 18.547  0.009   0.09    0.017
3368    4109.14 901.42  18.548  0.012   1.42    0.026
7919    3490.48 2149.67 18.552  0.018   0.042   0.031
3058    3504.36 812.55  18.553  0.008   0.099   0.02
11045   1365.05 2770.32 18.559  0.012   0.137   0.023
3162    2788.88 838.43  18.561  0.007   0.043   0.018
6832    3405.86 1849.8  18.562  0.009   0.119   0.017
15670   2226.16 3413.63 18.565  0.012   1.463   0.026
4687    832.9   1265.83 18.566  0.009   0.845   0.017
12705   3903.88 3005.22 18.566  0.009   0.159   0.02
11959   3107    2900.82 18.577  0.015   1.346   0.023
6464    2628    1752.54 18.58   0.01    1.21    0.024
5835    1975.5  1577.92 18.59   0.014   1.308   0.029
9006    527.1   2403.81 18.59   0.011   0.022   0.02
10034   967.29  2605.41 18.599  0.01    1.481   0.023
17093   3437.68 3657.48 18.602  0.02    0.171   0.051
10802   3539.91 2733.97 18.603  0.01    1.248   0.019
422 3926.3  60.93   18.61   0.012   0.042   0.024
11099   2118.17 2779.23 18.62   0.011   1.328   0.019
14173   269.22  3199.91 18.622  0.015   1.256   0.024
2864    2810.25 753.92  18.625  0.009   1.237   0.025
11166   2328.86 2789.11 18.629  0.012   1.261   0.025
12249   3854.75 2941.47 18.629  0.013   1.064   0.022
14737   4011.25 3277.45 18.637  0.013   0.06    0.027
10473   1524.53 2682.02 18.652  0.011   1.333   0.024
1808    3280.22 456.07  18.654  0.007   0.031   0.017
1057    580.66  237.65  18.657  0.011   1.295   0.029
6265    2912.24 1695.16 18.657  0.008   0.112   0.016
14421   3642.34 3233.83 18.662  0.011   1.397   0.021
14923   1966.95 3302.38 18.664  0.014   1.329   0.024
12657   1348.13 2998.8  18.672  0.014   1.356   0.024
11712   2040.87 2866.52 18.673  0.01    1.31    0.024
10672   2426.69 2714.56 18.687  0.014   1.308   0.026
8113    1374.76 2197.33 18.689  0.011   0.033   0.019
8535    3016.77 2303.24 18.692  0.01    1.279   0.017
9013    1536.45 2405.65 18.702  0.017   1.251   0.026
8657    3192.53 2328.1  18.703  0.014   1.311   0.024
12999   3936.38 3043.43 18.704  0.013   1.262   0.024
7686    4011.09 2086.38 18.711  0.012   1.099   0.024
5836    3927.57 1577.93 18.712  0.009   1.052   0.019
2502    345.39  648.32  18.714  0.008   0.065   0.022
527 2755.05 93.39   18.715  0.012   1.254   0.023
9493    825.53  2506.17 18.715  0.012   1.241   0.02
12591   2905.41 2990.17 18.718  0.009   1.078   0.016
12646   1822.65 2997.66 18.719  0.028   1.161   0.042
10365   191.65  2661.77 18.727  0.033   1.095   0.054
9994    1905.59 2597.76 18.731  0.011   1.278   0.021
10662   2318.51 2712.97 18.732  0.011   1.342   0.022
4182    3812.68 1130.29 18.74   0.012   1.143   0.02
8986    316.81  2396.87 18.74   0.009   0.155   0.019
16953   3505.07 3628.08 18.745  0.018   1.257   0.031
8423    2927.98 2272.36 18.752  0.014   1.071   0.029
9374    2302.91 2482.52 18.753  0.013   1.302   0.028
2480    1310.58 640.38  18.757  0.01    1.089   0.022
12386   2477.6  2960.51 18.757  0.013   1.357   0.023
7203    647.37  1950.41 18.758  0.018   1.229   0.033
5283    3289.62 1420.52 18.759  0.011   1.255   0.026
18859   2073.57 4076.82 18.759  0.022   1.384   0.035
15758   2790.36 3425.53 18.761  0.01    1.409   0.022
11640   1228.73 2857.83 18.766  0.014   1.187   0.024
9900    1888.38 2583.88 18.773  0.01    1.068   0.026
13758   1959.72 3143.05 18.784  0.012   1.158   0.022
11295   2629.89 2807.84 18.79   0.013   1.28    0.03
13730   2641.47 3138.98 18.799  0.009   0.169   0.019
14717   2030.22 3274.13 18.81   0.015   1.342   0.03
18428   1887.08 3941.65 18.824  0.012   1.308   0.022
294 1127.01 19.43   18.825  0.012   1.112   0.026
12844   1950.56 3023.79 18.825  0.011   1.153   0.023
13086   1635.42 3052.72 18.827  0.014   1.297   0.025
16174   1992.41 3491.54 18.827  0.011   1.348   0.022
1798    1750.97 453.98  18.834  0.008   1.12    0.024
18  794.92  -140.6  18.846  0.013   1.168   0.028
3316    3078.8  884.84  18.846  0.006   0.354   0.014
6156    1100.22 1664.57 18.846  0.015   1.087   0.025
4934    3180.34 1333.32 18.849  0.013   1.357   0.028
3267    1750.24 868.98  18.856  0.01    0.106   0.019
