#ID x   y   F555    E_555   F555-F814   e_ff-14 F814    E_814
40610   150.89  3739.95 22.162  0.012   0.4 0.024   21.762  0.012
40368   151.24  3663.07 21.9    0.011   0.342   0.023   21.558  0.012
36173   151.6   2544.35 22.316  0.011   0.402   0.024   21.914  0.013
9931    152.18  2117.88 22.6    0.012   0.514   0.026   22.086  0.014
6647    152.27  1719.35 22.623  0.011   0.613   0.024   22.01   0.013
10921   152.32  2209.42 22.924  0.013   0.544   0.029   22.38   0.016
20449   152.83  3096.47 21.819  0.01    0.324   0.02    21.495  0.01
11399   154.3   2254.08 21.765  0.01    0.32    0.02    21.445  0.01
17846   155.14  2822.4  22.073  0.011   0.404   0.024   21.669  0.013
22263   155.81  3356.12 22.182  0.011   0.888   0.021   21.294  0.01
17317   155.91  2771.37 22.497  0.012   0.457   0.025   22.04   0.013
7139    156.52  1790.83 22.591  0.011   0.533   0.024   22.058  0.013
2838    157.34  890.23  21.474  0.013   0.289   0.023   21.185  0.01
5710    157.43  1564.33 22.372  0.014   0.434   0.027   21.938  0.013
5013    157.51  1435.31 21.397  0.01    0.09    0.02    21.307  0.01
7874    158.17  1889.08 21.096  0.01    0.227   0.02    20.869  0.01
14023   158.2   2486.52 22.826  0.013   0.521   0.026   22.305  0.013
18774   158.93  2911.04 22.458  0.011   0.388   0.024   22.07   0.013
10298   161.09  2154.2  20.383  0.009   0.078   0.019   20.305  0.01
7569    161.66  1847.9  21.25   0.01    0.498   0.02    20.752  0.01
23446   161.98  3578.83 21.981  0.01    0.396   0.02    21.585  0.01
17634   162.55  2801.72 22.303  0.014   0.394   0.033   21.909  0.019
14269   163.69  2507.96 20.721  0.01    0.889   0.02    19.832  0.01
2788    163.93  875.95  22.267  0.011   0.369   0.024   21.898  0.013
13286   164.52  2422.65 21.186  0.01    0.057   0.02    21.129  0.01
20843   165.01  3147.65 21.738  0.01    0.311   0.022   21.427  0.012
19220   165.29  2957.23 21.484  0.01    0.574   0.02    20.91   0.01
8237    165.59  1931.22 21.9    0.01    0.349   0.02    21.551  0.01
1558    166.11  483.64  22.57   0.016   0.502   0.041   22.068  0.025
8112    166.28  1919.09 22.458  0.01    0.704   0.021   21.754  0.011
23232   167.05  3537.71 20.69   0.01    0.838   0.02    19.852  0.01
9000    167.1   2019.91 21.704  0.011   0.296   0.021   21.408  0.01
9960    167.49  2120.94 21.181  0.01    0.254   0.02    20.927  0.01
3694    169.39  1123.89 22.211  0.01    0.652   0.022   21.559  0.012
450 169.6   89.47   21.591  0.01    0.233   0.02    21.358  0.01
21693   169.79  3262.76 22.796  0.012   0.629   0.025   22.167  0.013
2127    170.72  668 22.072  0.012   0.368   0.022   21.704  0.01
1201    170.91  364.04  22.803  0.016   0.547   0.031   22.256  0.015
12873   171.44  2386.28 21.696  0.01    0.334   0.02    21.362  0.01
41112   171.95  3903.67 21.296  0.01    0.333   0.02    20.963  0.01
12069   172.22  2314.39 21.881  0.012   0.349   0.024   21.532  0.012
255 172.34  21.91   20.28   0.01    0.103   0.02    20.177  0.01
1469    172.53  453.86  21.013  0.01    0.442   0.02    20.571  0.01
12312   173.34  2337.03 21.25   0.01    0.209   0.02    21.041  0.01
12729   173.68  2373.99 22.734  0.011   0.51    0.023   22.224  0.012
3886    174.63  1172.62 21.873  0.01    0.503   0.02    21.37   0.01
3920    174.9   1179.77 22.199  0.012   0.308   0.024   21.891  0.012
21967   178.09  3304.82 22.864  0.013   0.601   0.026   22.263  0.013
12626   178.27  2363.97 22.7    0.012   0.618   0.025   22.082  0.013
21467   178.4   3230.37 22.168  0.01    0.36    0.02    21.808  0.01
25188   178.45  3990.02 20.881  0.01    0.439   0.02    20.442  0.01
23700   179.51  3627.53 21.921  0.01    0.396   0.02    21.525  0.01
13434   179.62  2433.29 20.685  0.01    0.234   0.02    20.451  0.01
6701    180.08  1727.01 20.831  0.01    0.366   0.02    20.465  0.01
23411   180.22  3572.48 21.536  0.01    0.613   0.02    20.923  0.01
2007    180.25  630.1   22.533  0.015   0.527   0.028   22.006  0.013
20051   181.25  3051.03 22.533  0.012   0.569   0.023   21.964  0.011
1948    182.4   612.56  22.286  0.01    0.624   0.023   21.662  0.013
848 183.62  238.03  21.989  0.01    0.301   0.024   21.688  0.014
5594    185.75  1545.69 22.084  0.011   0.417   0.024   21.667  0.013
24602   185.98  3843.15 22.712  0.013   0.467   0.026   22.245  0.013
23266   186.63  3543.09 22.747  0.012   0.518   0.026   22.229  0.014
7226    186.64  1801.87 21.071  0.032   0.181   0.092   20.89   0.06
1432    186.85  441.09  19.829  0.009   0.95    0.018   18.879  0.009
18471   186.96  2882.86 22.275  0.01    0.398   0.021   21.877  0.011
4152    190.97  1239.22 22.763  0.011   0.627   0.022   22.136  0.011
1281    191.81  391.24  22.728  0.013   0.442   0.024   22.286  0.011
3639    193.34  1109.06 21.338  0.011   0.273   0.021   21.065  0.01
6884    193.59  1751.84 21.7    0.01    0.281   0.02    21.419  0.01
3452    195.75  1062.66 22.072  0.01    0.402   0.02    21.67   0.01
5938    196.26  1602.35 21.889  0.01    0.456   0.021   21.433  0.011
10387   196.44  2160.41 22.963  0.053   0.621   0.162   22.342  0.109
11379   196.52  2252.3  19.474  0.009   0.946   0.018   18.528  0.009
7806    196.52  1880.77 22.604  0.017   0.572   0.04    22.032  0.023
10133   196.94  2138.85 20.57   0.01    0.272   0.02    20.298  0.01
25037   196.98  3956.17 22.074  0.014   0.802   0.03    21.272  0.016
15487   197.95  2611.76 22.349  0.011   0.45    0.022   21.899  0.011
7959    198 1899.59 19.665  0.009   0.241   0.018   19.424  0.009
24173   198.33  3735.72 19.441  0.008   1.08    0.017   18.361  0.009
18311   198.48  2868.23 22.991  0.012   0.617   0.026   22.374  0.014
6201    198.69  1643.57 21.133  0.01    0.221   0.02    20.912  0.01
18904   199.22  2924.62 22.804  0.025   0.561   0.057   22.243  0.032
6813    199.34  1742.01 19.804  0.009   0.028   0.019   19.776  0.01
15378   200.53  2601.37 21.317  0.01    0.261   0.02    21.056  0.01
10100   201.43  2135.82 21.999  0.048   0.361   0.208   21.638  0.16
3819    201.96  1158.36 22.91   0.023   0.575   0.041   22.335  0.018
41270   202.55  3954.77 22.154  0.018   0.429   0.05    21.725  0.032
23476   202.7   3584.57 20.297  0.01    0.321   0.02    19.976  0.01
9260    203.49  2047.76 19.866  0.009   1.017   0.018   18.849  0.009
6338    203.54  1667.75 22.433  0.011   0.601   0.03    21.832  0.019
18946   203.61  2929.01 21.965  0.013   0.418   0.03    21.547  0.017
6728    204.27  1729.67 22.284  0.011   0.541   0.021   21.743  0.01
9367    205.32  2059.33 22.539  0.014   0.63    0.03    21.909  0.016
23589   205.85  3603.87 19.81   0.009   -0.013  0.019   19.823  0.01
16903   206.18  2736.96 22.626  0.01    0.5 0.021   22.126  0.011
8897    206.41  2007.23 22.736  0.016   0.55    0.03    22.186  0.014
14044   206.8   2489.08 22.049  0.01    0.361   0.02    21.688  0.01
5031    207.51  1439.27 20.37   0.009   0.896   0.019   19.474  0.01
6406    207.87  1678.31 19.629  0.011   1.009   0.022   18.62   0.011
18936   209.37  2928.42 22.383  0.033   0.566   0.081   21.817  0.048
41524   210.14  4041.2  21.732  0.011   0.339   0.023   21.393  0.012
13829   210.8   2470.22 21.955  0.011   0.5 0.022   21.455  0.011
9113    213.18  2033.84 22.589  0.011   0.532   0.024   22.057  0.013
21532   213.79  3239.48 21.801  0.01    0.378   0.021   21.423  0.011
24830   214.06  3897.57 22.372  0.011   0.719   0.021   21.653  0.01
16777   214.4   2725.49 22.568  0.011   0.584   0.023   21.984  0.012
525 214.44  115.91  21.908  0.011   0.454   0.022   21.454  0.011
6297    215.01  1660.76 22.273  0.012   0.487   0.023   21.786  0.011
23050   217.16  3503.3  19.592  0.009   1.106   0.017   18.486  0.008
24019   217.4   3703.22 22.255  0.01    0.362   0.02    21.893  0.01
19387   217.66  2977.84 22.575  0.015   0.507   0.028   22.068  0.013
40129   217.96  3592.85 21.889  0.011   0.358   0.023   21.531  0.012
24647   218.04  3853.89 22.543  0.012   0.512   0.025   22.031  0.013
20272   218.59  3075.36 19.552  0.009   1.005   0.017   18.547  0.008
9911    219.68  2116.11 21.378  0.011   0.215   0.021   21.163  0.01
2366    220.4   748.06  18.452  0.008   1.177   0.016   17.275  0.008
8858    220.83  2002.98 21.763  0.01    0.294   0.02    21.469  0.01
15586   220.91  2619.23 22.468  0.046   0.548   0.135   21.92   0.089
312 221.08  41.92   22.892  0.014   0.572   0.025   22.32   0.011
1236    221.21  377.09  21.519  0.01    0.181   0.021   21.338  0.011
12971   223.44  2394.81 20.472  0.01    0.342   0.02    20.13   0.01
4103    223.65  1228.72 22.465  0.011   0.534   0.024   21.931  0.013
14925   223.93  2562.54 19.793  0.009   1.016   0.018   18.777  0.009
