#ID x   y   F555    E_555   F555-F814   e_ff-14 F814    E_814
19668   1297.61 3009.73 21.311  0.021   0.338   0.106   20.973  0.085
23099   1297.94 3512.8  20.463  0.01    0.261   0.02    20.202  0.01
5567    1298.03 1540.91 22.42   0.012   0.442   0.025   21.978  0.013
18249   1298.1  2862.62 22.91   0.026   0.561   0.066   22.349  0.04
19487   1298.15 2989.15 22.051  0.019   0.455   0.047   21.596  0.028
5186    1298.21 1469.51 20.841  0.01    0.398   0.02    20.443  0.01
14897   1298.3  2560.88 21.555  0.028   0.431   0.057   21.124  0.029
14958   1298.43 2565.21 21.433  0.045   0.287   0.088   21.146  0.043
11926   1298.79 2301.54 21.755  0.011   0.294   0.025   21.461  0.014
13381   1298.85 2429.84 22.859  0.02    0.511   0.041   22.348  0.021
14519   1299.04 2528.85 22.724  0.067   0.491   0.361   22.233  0.294
16275   1299.1  2680.69 22.277  0.012   0.398   0.034   21.879  0.022
19947   1299.32 3040.82 21.965  0.013   0.436   0.023   21.529  0.01
14391   1299.43 2518.51 20.981  0.015   0.294   0.038   20.687  0.023
18893   1299.43 2923.67 22.873  0.04    0.569   0.091   22.304  0.051
17645   1299.61 2802.22 19.667  0.009   0.921   0.018   18.746  0.009
35483   1299.75 2363.31 20.692  0.012   0.919   0.023   19.773  0.011
14741   1299.76 2546.37 20.33   0.011   0.199   0.031   20.131  0.02
19066   1299.8  2942.46 18.716  0.008   1.131   0.016   17.585  0.008
14241   1299.83 2505.3  19.542  0.01    0.937   0.019   18.605  0.009
18400   1300.32 2875.78 20.808  0.01    0.41    0.02    20.398  0.01
12286   1300.43 2334.03 19.55   0.009   0.992   0.018   18.558  0.009
8523    1300.47 1964.01 21.942  0.013   0.387   0.026   21.555  0.013
18192   1300.57 2857.3  22.666  0.018   0.545   0.052   22.121  0.034
20830   1300.87 3145.61 22.394  0.034   0.545   0.074   21.849  0.04
18000   1300.91 2836.06 20.974  0.02    0.253   0.05    20.721  0.03
16693   1301.02 2717.01 22.222  0.025   0.553   0.055   21.669  0.03
8775    1301.03 1993.42 21.677  0.011   0.307   0.025   21.37   0.014
23827   1301.31 3661.07 21.512  0.012   0.939   0.022   20.573  0.01
6644    1301.33 1718.03 21.55   0.011   0.334   0.022   21.216  0.011
16076   1301.43 2662.3  22.675  0.042   0.586   0.107   22.089  0.065
15011   1301.49 2570.34 22.529  0.023   0.528   0.054   22.001  0.031
15641   1301.56 2623.59 21.875  0.012   0.418   0.036   21.457  0.024
16367   1301.66 2688.99 21.829  0.017   0.347   0.046   21.482  0.029
13603   1301.73 2448.32 20.929  0.018   0.267   0.041   20.662  0.023
17159   1302.13 2758.8  20.744  0.01    0.257   0.02    20.487  0.01
25041   1302.2  3957.15 22.16   0.013   0.235   0.024   21.925  0.011
14109   1302.37 2493.56 22.804  0.034   0.511   0.065   22.293  0.031
2034    1302.4  637.52  20.969  0.01    0.061   0.02    20.908  0.01
21588   1302.63 3247    19.679  0.009   0.983   0.018   18.696  0.009
17928   1302.63 2829.98 20.86   0.01    0.282   0.023   20.578  0.013
17697   1303.16 2807.62 20.897  0.015   0.143   0.079   20.754  0.064
5222    1303.22 1476.9  22.333  0.012   0.473   0.025   21.86   0.013
8470    1303.7  1957.41 21.192  0.01    0.213   0.02    20.979  0.01
13655   1303.73 2453.6  22.285  0.037   0.355   0.118   21.93   0.081
25355   1304.05 4040.36 21.388  0.01    0.236   0.02    21.152  0.01
15763   1304.08 2634.93 21.121  0.012   0.24    0.029   20.881  0.017
22970   1304.2  3485.24 21.61   0.01    0.351   0.02    21.259  0.01
13224   1304.75 2416.52 21.418  0.011   0.217   0.021   21.201  0.01
15328   1304.83 2597.22 20.921  0.024   0.309   0.067   20.612  0.043
12068   1305.14 2314.17 21.512  0.01    0.355   0.02    21.157  0.01
11656   1305.34 2276.62 21.717  0.017   0.426   0.049   21.291  0.032
11141   1305.44 2230.16 22.997  0.015   0.514   0.047   22.483  0.032
15555   1305.47 2616.62 20.903  0.015   0.199   0.037   20.704  0.022
22147   1305.65 3336.83 22.618  0.014   0.485   0.027   22.133  0.013
14029   1306.1  2487.52 21.482  0.028   0.228   0.085   21.254  0.057
20141   1306.21 3061.45 19.56   0.009   0.978   0.018   18.582  0.009
565 1306.3  129.96  22.229  0.011   0.412   0.021   21.817  0.01
3949    1306.36 1188.77 21.636  0.01    0.368   0.02    21.268  0.01
16345   1306.4  2687.21 22.075  0.02    0.386   0.054   21.689  0.034
11314   1306.6  2247.01 21.449  0.01    0.481   0.02    20.968  0.01
20293   1306.79 3077.72 19.307  0.015   0.975   0.025   18.332  0.01
15096   1307.27 2577.78 22.495  0.031   0.639   0.176   21.856  0.145
21564   1307.46 3243.95 20.772  0.031   0.36    0.167   20.412  0.136
12711   1307.56 2372.72 20.168  0.027   0.728   0.052   19.44   0.025
1708    1307.86 533.4   21.134  0.01    0.229   0.023   20.905  0.013
8148    1308.06 1923.45 21.697  0.01    0.327   0.027   21.37   0.017
14796   1308.06 2551.12 22.182  0.02    0.424   0.047   21.758  0.027
8950    1308.09 2013.72 20.696  0.023   0.283   0.05    20.413  0.027
15860   1308.15 2643.13 21.214  0.01    0.073   0.02    21.141  0.01
326 1308.18 45.26   18.504  0.009   0.039   0.018   18.465  0.009
7909    1308.28 1892.23 21.811  0.01    0.366   0.021   21.445  0.011
21434   1308.49 3226.36 22.492  0.01    0.432   0.022   22.06   0.012
4772    1308.5  1376.6  21.568  0.013   0.308   0.029   21.26   0.016
14882   1308.57 2559.69 21.944  0.032   0.41    0.074   21.534  0.042
15270   1308.59 2592.2  20.743  0.035   0.377   0.11    20.366  0.075
14195   1308.62 2500.42 22.964  0.038   0.577   0.114   22.387  0.076
9597    1308.8  2083.97 21.378  0.011   0.424   0.027   20.954  0.016
4654    1308.88 1351.83 22.051  0.042   0.447   0.138   21.604  0.096
9910    1309.21 2116.06 22.458  0.014   0.483   0.04    21.975  0.026
36078   1309.26 2519.13 22.477  0.044   0.482   0.096   21.995  0.052
11960   1309.32 2303.95 21.302  0.043   0.348   0.089   20.954  0.046
20016   1309.39 3046.4  20.76   0.01    0.278   0.021   20.482  0.011
35894   1309.48 2470.09 22.347  0.018   0.444   0.044   21.903  0.026
23885   1309.59 3671.47 20.016  0.009   0.053   0.019   19.963  0.01
19696   1309.64 3012.53 22.933  0.015   0.556   0.034   22.377  0.019
20647   1309.7  3121.47 22.149  0.012   0.403   0.023   21.746  0.011
14582   1309.74 2533.8  20.816  0.016   0.929   0.033   19.887  0.017
19108   1310.07 2945.38 21.199  0.015   0.285   0.052   20.914  0.037
22235   1310.27 3351.81 21.27   0.01    0.214   0.02    21.056  0.01
13064   1310.31 2402.35 21.128  0.012   0.29    0.022   20.838  0.01
10176   1310.4  2142.53 21.289  0.01    0.224   0.02    21.065  0.01
6280    1310.73 1657.28 21.999  0.013   0.398   0.023   21.601  0.01
20837   1310.99 3146.47 21.487  0.012   0.276   0.035   21.211  0.023
7480    1310.99 1835.98 21.551  0.01    0.343   0.021   21.208  0.011
21033   1311.1  3172.22 21.144  0.017   0.307   0.034   20.837  0.017
12042   1311.45 2311.6  22.618  0.028   0.561   0.059   22.057  0.031
11242   1311.55 2240.33 20.574  0.01    0.302   0.02    20.272  0.01
22858   1311.65 3465.45 21.54   0.01    0.566   0.021   20.974  0.011
13467   1311.77 2435.78 21.006  0.01    0.291   0.022   20.715  0.012
21718   1311.77 3266.83 21.969  0.01    0.364   0.02    21.605  0.01
13736   1311.82 2461.08 19.558  0.009   0.955   0.018   18.603  0.009
8266    1311.86 1934.06 22.626  0.013   0.507   0.027   22.119  0.014
15777   1311.92 2636.02 21.925  0.026   0.398   0.069   21.527  0.043
5536    1311.98 1535.57 21.394  0.01    0.389   0.02    21.005  0.01
16272   1312.35 2680.49 21.27   0.021   0.439   0.058   20.831  0.037
5233    1312.48 1479.79 22.481  0.014   0.59    0.025   21.891  0.011
15709   1312.59 2630.08 22.147  0.023   0.433   0.066   21.714  0.043
19826   1312.93 3025.81 21.242  0.01    0.336   0.02    20.906  0.01
12499   1313.15 2352.94 21.992  0.01    0.348   0.025   21.644  0.015
13930   1313.16 2478.78 21.28   0.011   0.336   0.023   20.944  0.012
20782   1313.18 3138.4  19.394  0.009   0.973   0.018   18.421  0.009
12828   1313.22 2382.26 22.773  0.047   0.625   0.189   22.148  0.142
5623    1313.24 1551.07 22.958  0.038   0.778   0.338   22.18   0.3
16822   1313.43 2729.83 21.177  0.017   0.358   0.041   20.819  0.024
19316   1313.66 2966.93 22.024  0.036   0.391   0.085   21.633  0.049
21090   1314.08 3180    20.994  0.01    0.307   0.02    20.687  0.01
24176   1314.14 3736.17 20.308  0.009   0.308   0.019   20  0.01
7134    1314.23 1789.69 21.029  0.01    0.216   0.02    20.813  0.01
14424   1314.61 2520.29 21.646  0.012   0.26    0.031   21.386  0.019
17972   1314.68 2834.25 22.352  0.035   0.639   0.225   21.713  0.19
21890   1314.69 3293.27 20.82   0.01    0.32    0.02    20.5    0.01
10092   1314.71 2135.1  21.593  0.01    0.256   0.025   21.337  0.015
12107   1314.9  2317.91 21.042  0.035   0.253   0.078   20.789  0.043
2519    1314.93 794.01  18.119  0.009   1.295   0.017   16.824  0.008
16451   1314.99 2695.93 19.569  0.01    0.973   0.019   18.596  0.009
19053   1315.24 2940.33 21.69   0.013   0.386   0.029   21.304  0.016
22503   1315.37 3399.57 22.724  0.013   0.526   0.027   22.198  0.014
14811   1315.51 2552.5  20.251  0.009   0.246   0.02    20.005  0.011
1999    1315.75 628.36  22.035  0.01    0.355   0.021   21.68   0.011
12932   1315.77 2391.27 19.564  0.01    0.969   0.019   18.595  0.009
8662    1315.85 1980.57 20  0.009   0.355   0.019   19.645  0.01
9559    1315.92 2080.15 22.964  0.023   0.554   0.047   22.41   0.024
21641   1316.04 3254.45 21.729  0.01    0.288   0.02    21.441  0.01
9284    1316.12 2050.39 21.879  0.01    0.369   0.021   21.51   0.011
19577   1316.25 2999.91 21.717  0.012   0.36    0.028   21.357  0.016
6568    1316.29 1703.57 21.555  0.01    0.382   0.02    21.173  0.01
11685   1316.42 2278.58 22.387  0.015   0.523   0.035   21.864  0.02
11830   1316.44 2292.69 22.003  0.01    0.479   0.03    21.524  0.02
21812   1316.52 3280.56 21.06   0.043   0.008   0.225   21.052  0.182
23026   1316.62 3498.61 22.991  0.018   0.541   0.031   22.45   0.013
3692    1316.66 1123.2  20.091  0.009   0.355   0.019   19.736  0.01
5666    1316.67 1558.12 19.453  0.009   0.978   0.018   18.475  0.009
13557   1316.82 2443.92 21.421  0.011   0.21    0.025   21.211  0.014
16077   1316.84 2662.34 20.462  0.01    0.418   0.02    20.044  0.01
17507   1316.91 2789.34 18.802  0.008   -0.073  0.017   18.875  0.009
16336   1317    2686.4  19.356  0.008   0.968   0.016   18.388  0.008
41843   1317    4118.96 21.094  0.01    0.18    0.02    20.914  0.01
17367   1317.06 2776.09 22.303  0.011   0.395   0.025   21.908  0.014
14017   1317.11 2486.3  22.619  0.014   0.492   0.03    22.127  0.016
13137   1317.42 2408.15 20.824  0.026   0.323   0.054   20.501  0.028
9662    1317.56 2090.49 22.361  0.044   0.478   0.085   21.883  0.041
18040   1317.77 2840.89 19.345  0.009   1.069   0.017   18.276  0.008
3376    1317.77 1043.09 21.898  0.01    0.661   0.02    21.237  0.01
10696   1317.8  2189.4  20.74   0.014   0.33    0.032   20.41   0.018
9706    1317.8  2095.18 21.476  0.011   0.399   0.025   21.077  0.014
18443   1317.88 2879.29 22.562  0.011   0.462   0.024   22.1    0.013
19409   1317.99 2980.11 22.074  0.01    0.353   0.023   21.721  0.013
25072   1318    3962.46 21.307  0.01    0.231   0.02    21.076  0.01
8933    1318.11 2011.7  22.514  0.063   0.574   0.169   21.94   0.106
14224   1318.12 2502.73 19.652  0.009   0.931   0.018   18.721  0.009
19348   1318.21 2971.3  21.066  0.01    0.259   0.02    20.807  0.01
15473   1318.26 2610.34 20.983  0.022   0.257   0.199   20.726  0.177
11371   1318.29 2251.6  21.66   0.016   0.3 0.043   21.36   0.027
8852    1318.31 2002.13 21.231  0.01    0.241   0.02    20.99   0.01
25348   1318.49 4039.77 22.338  0.011   0.415   0.022   21.923  0.011
20287   1318.51 3076.92 22.856  0.018   0.602   0.043   22.254  0.025
23982   1318.6  3694.94 20.535  0.01    0.267   0.02    20.268  0.01
42337   1318.86 4195.08 22.808  0.014   0.56    0.027   22.248  0.013
12482   1318.92 2351.49 22.778  0.044   0.628   0.111   22.15   0.067
22646   1319.02 3423.89 22.546  0.011   0.459   0.024   22.087  0.013
10622   1319.06 2181.48 21.443  0.01    0.332   0.02    21.111  0.01
19891   1319.12 3033.12 22.181  0.01    0.348   0.023   21.833  0.013
14922   1319.29 2562.35 21.404  0.024   0.357   0.061   21.047  0.037
12179   1319.77 2323.87 21.52   0.01    0.311   0.021   21.209  0.011
11978   1320.05 2306.92 22.406  0.011   0.481   0.025   21.925  0.014
20161   1320.06 3062.87 22.541  0.014   0.507   0.033   22.034  0.019
8565    1320.62 1968.36 19.725  0.009   0.973   0.018   18.752  0.009
15276   1320.82 2592.54 22.999  0.032   0.426   0.082   22.573  0.05
17076   1320.85 2752.29 20.473  0.01    0.255   0.02    20.218  0.01
10036   1321.1  2130.46 20.917  0.01    0.327   0.021   20.59   0.011
12948   1321.18 2392.55 21.149  0.031   0.435   0.251   20.714  0.22
18935   1321.38 2928.27 20.706  0.01    0.236   0.02    20.47   0.01
7019    1321.48 1771.77 22.496  0.011   0.487   0.028   22.009  0.017
10560   1321.54 2175.17 22.868  0.022   0.547   0.051   22.321  0.029
11193   1321.65 2235.23 19.697  0.009   0.98    0.018   18.717  0.009
13057   1321.67 2401.97 22.538  0.031   0.548   0.088   21.99   0.057
9904    1321.85 2115.77 21.661  0.026   0.314   0.051   21.347  0.025
21256   1322.23 3202.77 21.41   0.01    0.237   0.02    21.173  0.01
4705    1322.27 1362.75 21.648  0.015   0.948   0.028   20.7    0.013
13441   1322.35 2433.65 21.429  0.01    0.218   0.023   21.211  0.013
21305   1322.39 3209.01 22.125  0.013   0.491   0.032   21.634  0.019
6423    1322.55 1681.22 20.342  0.01    0.981   0.02    19.361  0.01
18744   1322.68 2908.71 18.227  0.008   1.222   0.017   17.005  0.009
13304   1322.89 2423.8  22.568  0.013   0.451   0.031   22.117  0.018
6553    1323.07 1701.83 22.967  0.041   0.517   0.057   22.45   0.016
13799   1323.11 2466.85 21.863  0.011   0.4 0.022   21.463  0.011
15680   1323.53 2627.75 22.996  0.021   0.626   0.065   22.37   0.044
15505   1323.68 2613.08 21.483  0.039   0.272   0.099   21.211  0.06
17746   1323.9  2811.92 22.216  0.012   0.423   0.038   21.793  0.026
12721   1324.16 2373.41 18.901  0.008   1.1 0.016   17.801  0.008
16932   1324.36 2738.89 20.341  0.02    0.301   0.039   20.04   0.019
4527    1324.45 1322.07 22.54   0.012   0.485   0.026   22.055  0.014
20246   1324.8  3072.63 22.599  0.012   0.5 0.027   22.099  0.015
19983   1324.81 3043.59 20.544  0.036   0.821   0.061   19.723  0.025
4564    1324.88 1329.62 21.839  0.011   0.406   0.023   21.433  0.012
11113   1324.93 2227.18 21.492  0.012   0.292   0.027   21.2    0.015
10306   1325.03 2154.79 21.839  0.012   0.354   0.027   21.485  0.015
20526   1325.24 3107.68 21.159  0.01    0.388   0.02    20.771  0.01
4746    1325.29 1371.19 21.822  0.01    0.469   0.02    21.353  0.01
11260   1325.39 2241.48 18.944  0.013   1.132   0.024   17.812  0.011
18264   1325.42 2864.05 21.376  0.039   0.203   0.097   21.173  0.058
22266   1325.68 3357.1  19.357  0.008   0.965   0.017   18.392  0.009
7490    1325.75 1837.45 18.759  0.009   1.107   0.017   17.652  0.008
17849   1326.03 2822.63 21.103  0.01    0.21    0.02    20.893  0.01
21402   1326.26 3222.3  19.905  0.009   0.256   0.018   19.649  0.009
11621   1326.29 2273.97 21.557  0.01    0.309   0.02    21.248  0.01
14358   1326.61 2515.56 20.624  0.01    0.216   0.02    20.408  0.01
12894   1326.71 2388.14 22.726  0.03    0.542   0.059   22.184  0.029
22392   1326.79 3379.07 22.168  0.01    0.38    0.023   21.788  0.013
9665    1327.12 2090.77 22.147  0.019   0.427   0.05    21.72   0.031
24607   1327.48 3845.45 21.797  0.01    0.331   0.025   21.466  0.015
13519   1327.52 2440.23 22.866  0.016   0.516   0.036   22.35   0.02
16479   1327.59 2698.62 19.373  0.009   0.184   0.019   19.189  0.01
20941   1327.62 3159.34 22.581  0.019   0.47    0.041   22.111  0.022
12977   1327.69 2395.34 21.001  0.012   0.355   0.027   20.646  0.015
14968   1327.9  2566.25 20.836  0.01    0.271   0.025   20.565  0.015
4147    1327.99 1238.27 22.165  0.012   0.439   0.029   21.726  0.017
15881   1328    2645.41 19.638  0.009   1.043   0.018   18.595  0.009
9281    1328.1  2050.07 22.473  0.01    0.458   0.023   22.015  0.013
18168   1328.17 2853.85 21.61   0.011   0.256   0.025   21.354  0.014
19037   1328.66 2938.29 21.656  0.02    0.321   0.042   21.335  0.022
11725   1328.69 2282.61 21.031  0.017   0.28    0.048   20.751  0.031
8141    1328.69 1922.69 21.98   0.01    0.336   0.021   21.644  0.011
7973    1328.83 1901.69 22.562  0.012   0.447   0.025   22.115  0.013
14568   1328.86 2533.2  22.227  0.012   0.414   0.03    21.813  0.018
34915   1328.99 2206.54 21.186  0.01    0.262   0.02    20.924  0.01
19079   1329.23 2943.41 21.489  0.017   0.295   0.047   21.194  0.03
13351   1329.46 2427.72 22.621  0.02    0.518   0.045   22.103  0.025
16734   1329.56 2720.97 20.893  0.01    0.245   0.02    20.648  0.01
17150   1329.62 2758.09 22.398  0.011   0.609   0.022   21.789  0.011
13172   1329.65 2411.66 22.132  0.011   0.401   0.024   21.731  0.013
12484   1329.84 2351.54 20.071  0.009   0.064   0.02    20.007  0.011
15592   1329.92 2619.6  21.051  0.013   0.292   0.032   20.759  0.019
14446   1330.49 2522.34 20.879  0.011   0.341   0.022   20.538  0.011
18048   1330.5  2841.55 22.629  0.016   0.478   0.035   22.151  0.019
4946    1330.53 1417.47 22.479  0.01    0.461   0.023   22.018  0.013
10725   1330.64 2192.32 22.686  0.033   0.6 0.069   22.086  0.036
20326   1330.87 3080.94 21.986  0.011   0.324   0.021   21.662  0.01
12636   1330.88 2365.3  21.491  0.044   0.358   0.117   21.133  0.073
5288    1331.09 1491.29 20.428  0.009   0.179   0.019   20.249  0.01
35944   1331.24 2487.84 22.234  0.042   0.461   0.162   21.773  0.12
12722   1331.33 2373.49 19.755  0.019   0.312   0.041   19.443  0.022
41814   1331.41 4114.23 22.07   0.01    0.361   0.02    21.709  0.01
15483   1331.44 2611.32 22.456  0.017   0.505   0.035   21.951  0.018
5413    1331.51 1513.14 22.997  0.016   0.542   0.03    22.455  0.014
13022   1331.75 2398.86 21.246  0.042   0.313   0.099   20.933  0.057
16011   1332.01 2656.53 20.634  0.01    0.184   0.02    20.45   0.01
5242    1332.11 1481.31 21.634  0.011   0.488   0.022   21.146  0.011
17920   1332.18 2829.46 20.801  0.01    0.275   0.021   20.526  0.011
18459   1332.18 2881.23 21.574  0.01    0.233   0.021   21.341  0.011
1104    1332.39 331.51  21.789  0.011   0.395   0.021   21.394  0.01
10058   1332.48 2131.81 19.103  0.017   0.816   0.029   18.287  0.012
15038   1332.53 2572.38 19.322  0.008   0.961   0.017   18.361  0.009
19602   1332.83 3002.78 20.694  0.01    0.255   0.02    20.439  0.01
2801    1332.91 880.27  19.796  0.009   0.951   0.018   18.845  0.009
5608    1332.94 1548.11 22.427  0.012   0.488   0.024   21.939  0.012
6716    1332.98 1728.51 20.91   0.01    0.245   0.02    20.665  0.01
15735   1333.26 2632.31 18.903  0.009   1.063   0.018   17.84   0.009
7761    1333.6  1873.52 21.269  0.01    0.22    0.021   21.049  0.011
10276   1333.64 2152.5  20.869  0.01    0.297   0.025   20.572  0.015
9358    1333.75 2057.82 20.695  0.01    0.317   0.02    20.378  0.01
22705   1333.76 3433.46 22.038  0.019   0.461   0.046   21.577  0.027
9956    1334    2119.82 20.815  0.01    0.305   0.02    20.51   0.01
17961   1334    2833.97 21.76   0.055   0.252   0.194   21.508  0.139
21518   1334.21 3236.96 22.103  0.01    0.411   0.024   21.692  0.014
20131   1334.8  3060.19 21.549  0.01    0.339   0.022   21.21   0.012
11786   1334.91 2288.73 22.152  0.021   0.441   0.064   21.711  0.043
2515    1334.98 793.26  22.047  0.016   0.468   0.04    21.579  0.024
12090   1335.04 2316.64 19.6    0.01    0.984   0.019   18.616  0.009
4050    1335.65 1214.77 22.427  0.011   0.433   0.024   21.994  0.013
5942    1335.67 1602.71 20.853  0.01    0.346   0.021   20.507  0.011
19704   1335.78 3012.94 22.992  0.017   0.614   0.033   22.378  0.016
19278   1335.86 2962.89 22.667  0.014   0.499   0.033   22.168  0.019
16798   1335.95 2727.38 19.384  0.009   0.978   0.018   18.406  0.009
16899   1335.99 2736.45 21.311  0.01    0.269   0.028   21.042  0.018
13733   1336.12 2460.99 21.553  0.017   0.35    0.071   21.203  0.054
19776   1336.27 3019.49 22.767  0.013   0.545   0.034   22.222  0.021
7378    1336.31 1822.8  21.016  0.01    0.418   0.02    20.598  0.01
36352   1336.36 2584.23 21.216  0.01    0.209   0.023   21.007  0.013
15290   1336.76 2593.91 19.485  0.009   0.945   0.018   18.54   0.009
17253   1336.84 2766.41 22.32   0.019   0.462   0.047   21.858  0.028
11624   1336.89 2274.43 22.567  0.054   0.665   0.132   21.902  0.078
14570   1336.91 2533.26 22.663  0.025   0.686   0.101   21.977  0.076
15816   1336.96 2639.31 21.807  0.041   0.448   0.125   21.359  0.084
22071   1337.51 3321.64 20.831  0.01    0.085   0.02    20.746  0.01
12543   1337.57 2356.75 21.09   0.027   0.236   0.066   20.854  0.039
6192    1337.68 1642.13 22.516  0.011   0.545   0.021   21.971  0.01
7067    1337.81 1779.48 22.048  0.037   0.477   0.086   21.571  0.049
18945   1337.87 2928.94 18.766  0.01    1.085   0.018   17.681  0.008
16087   1337.99 2663.22 21.959  0.026   0.483   0.059   21.476  0.033
3561    1338.08 1088.85 22.261  0.01    0.418   0.022   21.843  0.012
8777    1338.12 1993.84 22.934  0.023   0.616   0.046   22.318  0.023
35548   1338.38 2377.97 18.506  0.01    1.282   0.038   17.224  0.028
11159   1338.64 2231.6  20.365  0.01    0.332   0.02    20.033  0.01
3943    1338.67 1187.94 22.224  0.013   0.401   0.026   21.823  0.013
21175   1338.76 3191.54 22.319  0.01    0.466   0.021   21.853  0.011
24263   1338.77 3755.84 22.658  0.011   0.554   0.024   22.104  0.013
11013   1338.89 2217.07 19.032  0.008   1.022   0.017   18.01   0.009
8930    1339.27 2011.59 22.697  0.015   0.558   0.03    22.139  0.015
1657    1339.4  516.6   22.05   0.011   0.404   0.023   21.646  0.012
16568   1339.56 2705.63 19.612  0.027   0.926   0.041   18.686  0.014
22226   1339.66 3350.24 22.88   0.011   0.67    0.027   22.21   0.016
8517    1339.81 1963.57 21.562  0.01    0.292   0.02    21.27   0.01
6411    1339.86 1679.01 19.939  0.009   0.956   0.018   18.983  0.009
7859    1339.92 1887.36 22.219  0.016   0.438   0.04    21.781  0.024
10153   1339.96 2140.42 19.548  0.009   0.984   0.019   18.564  0.01
17030   1340.02 2747.95 22.135  0.035   0.417   0.152   21.718  0.117
35122   1340.36 2263.08 22.584  0.018   0.554   0.033   22.03   0.015
14308   1340.46 2510.91 20.509  0.023   0.279   0.057   20.23   0.034
13791   1340.49 2466.17 19.452  0.012   0.966   0.021   18.486  0.009
7234    1340.8  1802.44 22.156  0.012   0.411   0.03    21.745  0.018
16246   1340.83 2678.01 19.064  0.013   1.117   0.027   17.947  0.014
17678   1341.16 2804.75 19.616  0.009   0.944   0.018   18.672  0.009
11845   1341.19 2293.78 22.355  0.043   0.605   0.124   21.75   0.081
20078   1341.65 3053.75 20.659  0.011   0.241   0.022   20.418  0.011
20898   1341.68 3154.92 22.942  0.019   0.615   0.047   22.327  0.028
16168   1341.76 2670.9  20.876  0.021   0.236   0.056   20.64   0.035
6861    1341.76 1748.99 21.486  0.03    0.42    0.073   21.066  0.043
24119   1341.78 3725.63 20.503  0.011   0.965   0.021   19.538  0.01
11914   1341.78 2300.03 20.912  0.01    0.381   0.02    20.531  0.01
18700   1341.9  2905.03 21.065  0.01    0.373   0.02    20.692  0.01
2259    1342.02 713.22  21.319  0.01    0.497   0.023   20.822  0.013
19778   1342.21 3019.69 22.349  0.011   0.412   0.023   21.937  0.012
16465   1342.22 2697.35 22.273  0.022   0.45    0.067   21.823  0.045
11627   1342.46 2274.52 21.734  0.036   0.335   0.084   21.399  0.048
7376    1342.5  1822.57 22.412  0.018   0.403   0.044   22.009  0.026
24733   1342.52 3874.12 22.508  0.018   0.523   0.036   21.985  0.018
14756   1342.53 2547.62 22.927  0.04    0.53    0.134   22.397  0.094
7635    1342.55 1856.98 21.668  0.01    0.469   0.02    21.199  0.01
21820   1342.56 3281.65 21.344  0.01    0.24    0.021   21.104  0.011
8274    1342.65 1935.03 21.357  0.01    0.269   0.021   21.088  0.011
12271   1342.68 2332.65 21.363  0.024   0.263   0.06    21.1    0.036
14694   1342.88 2542    22.507  0.025   0.522   0.074   21.985  0.049
14856   1343.2  2557.2  20.851  0.01    0.316   0.026   20.535  0.016
24699   1343.22 3865.69 20.911  0.01    0.997   0.02    19.914  0.01
9495    1343.3  2073.49 21.331  0.01    0.295   0.02    21.036  0.01
12208   1343.34 2326.26 21.116  0.01    0.31    0.024   20.806  0.014
8850    1343.35 2002.08 21.845  0.012   0.341   0.029   21.504  0.017
10558   1343.37 2174.96 21.341  0.012   0.28    0.03    21.061  0.018
17053   1343.83 2750.63 21.629  0.021   0.327   0.04    21.302  0.019
14125   1343.85 2494.83 19.532  0.015   0.926   0.025   18.606  0.01
11254   1343.96 2241.1  21.241  0.018   0.275   0.048   20.966  0.03
16833   1344.08 2730.37 20.828  0.01    0.455   0.02    20.373  0.01
18857   1344.18 2919.52 22.814  0.021   0.63    0.08    22.184  0.059
16314   1344.23 2684.57 21.549  0.029   0.317   0.088   21.232  0.059
10733   1344.28 2192.92 20.773  0.01    0.278   0.022   20.495  0.012
18200   1344.53 2857.95 20.929  0.01    0.41    0.02    20.519  0.01
19265   1344.77 2961.83 22.9    0.046   0.544   0.085   22.356  0.039
20324   1344.87 3080.79 20.557  0.01    0.324   0.02    20.233  0.01
6648    1344.87 1719.41 22.314  0.011   0.387   0.022   21.927  0.011
6309    1344.95 1662.54 22.779  0.012   0.499   0.03    22.28   0.018
15672   1345.23 2626.45 19.4    0.009   0.976   0.017   18.424  0.008
8167    1345.25 1924.3  21.135  0.01    0.367   0.02    20.768  0.01
1226    1345.25 374.3   22.839  0.016   0.464   0.045   22.375  0.029
36130   1345.27 2532.2  19.515  0.009   1.046   0.018   18.469  0.009
8661    1345.3  1980.18 21.641  0.01    0.307   0.02    21.334  0.01
2873    1345.64 902.82  20.778  0.01    0.388   0.02    20.39   0.01
11162   1345.65 2232.18 21.272  0.025   0.322   0.054   20.95   0.029
13959   1346.02 2481.41 21.127  0.024   0.369   0.071   20.758  0.047
6866    1346.12 1749.71 21.751  0.048   0.418   0.102   21.333  0.054
17988   1346.18 2835.11 22.714  0.011   0.484   0.025   22.23   0.014
13389   1346.27 2430.87 19.425  0.009   0.979   0.018   18.446  0.009
2149    1346.73 672.9   22.206  0.011   0.445   0.024   21.761  0.013
15470   1347.08 2609.77 21.784  0.018   0.365   0.043   21.419  0.025
21481   1347.1  3232.03 20.456  0.009   0.64    0.019   19.816  0.01
1596    1347.23 498.24  22.707  0.018   0.492   0.037   22.215  0.019
7933    1347.28 1895.56 22.247  0.024   0.615   0.092   21.632  0.068
