#ID	x	y	F555	E_555	F555-F814	e_ff-14	F814	E_814	x_moved	y_moved
3409	109.12	1051	23.95	0.024	0.703	0.045	23.247	0.021	410.12	2051
39707	109.19	3456.86	23.31	0.015	0.617	0.032	22.693	0.017	410.19	4456.86
39297	109.34	3340.15	26.069	0.108	0.927	0.223	25.142	0.115	410.34	4340.15
1279	109.45	391.04	23.352	0.017	0.684	0.032	22.668	0.015	410.45	1391.04
37468	109.49	2880.59	25.073	0.165	0.858	0.294	24.215	0.129	410.49	3880.59
30409	109.59	962.53	25.518	0.09	0.93	0.141	24.588	0.051	410.59	1962.53
39892	109.63	3514.49	22.984	0.013	0.551	0.026	22.433	0.013	410.63	4514.49
7265	109.78	1807.9	22.187	0.01	0.388	0.023	21.799	0.013	410.78	2807.9
29965	109.91	805.12	26.254	0.355	0.92	0.456	25.334	0.101	410.91	1805.12
29020	109.95	445.39	25.671	0.107	0.994	0.216	24.677	0.109	410.95	1445.39
1470	110.1	453.91	22.309	0.01	0.438	0.023	21.871	0.013	411.1	1453.91
37311	110.24	2841.82	25.6	0.187	1.032	0.235	24.568	0.048	411.24	3841.82
14530	110.39	2530.16	22.534	0.011	0.468	0.021	22.066	0.01	411.39	3530.16
6069	110.49	1621.45	22.436	0.011	0.447	0.022	21.989	0.011	411.49	2621.45
34399	110.86	2074.66	24.838	0.092	0.885	0.223	23.953	0.131	411.86	3074.66
16759	110.87	2723.91	24.045	0.032	0.879	0.067	23.166	0.035	411.87	3723.91
14055	110.96	2490.02	23.085	0.045	0.624	0.097	22.461	0.052	411.96	3490.02
36628	110.97	2654.49	25.424	0.082	0.888	0.145	24.536	0.063	411.97	3654.49
41416	110.99	4004.19	25.575	0.098	0.933	0.153	24.642	0.055	411.99	5004.19
35327	111.09	2316.87	24.885	0.051	0.765	0.091	24.12	0.04	412.09	3316.87
5211	111.18	1474.78	24.129	0.04	0.737	0.082	23.392	0.042	412.18	2474.78
40953	111.18	3849.11	19.649	0.009	0.989	0.018	18.66	0.009	412.18	4849.11
31273	111.43	1243.87	24.953	0.051	0.853	0.086	24.1	0.035	412.43	2243.87
35802	111.52	2446.62	26.142	0.36	1.167	0.439	24.975	0.079	412.52	3446.62
2220	111.64	697.89	22.493	0.01	0.506	0.023	21.987	0.013	412.64	1697.89
40885	111.68	3824.03	21.797	0.011	0.354	0.022	21.443	0.011	412.68	4824.03
32402	112	1576.61	26.136	0.244	1.165	0.371	24.971	0.127	413	2576.61
