#ID x   y   F555W   E_555   F555-F814   E_555-814
1   137.95  -194.53 24.065  0.203   0.881   0.308
2   141.15  -181.9  24.283  0.301   0.962   0.419
3   279.8   -178.51 22.21   0.051   0.865   0.081
4   398.23  -178.44 21.609  0.052   0.484   0.091
5   192.67  -177.83 19.735  0.044   1.274   0.064
6   414.42  -176.58 23.068  0.077   0.734   0.128
7   226.51  -171.58 22.967  0.083   0.766   0.122
8   385.39  -170.12 22.804  0.113   0.781   0.158
9   514.94  -166.51 24.475  0.313   0.95    0.441
10  368.14  -164.28 19.272  0.019   0.083   0.047
11  508.34  -161.18 23.77   0.188   0.856   0.262
12  46.79   -153.38 23.944  0.15    0.943   0.231
13  639.12  -152.12 24.478  0.385   1.01    0.521
14  717.74  -150.75 20.355  0.025   0.322   0.045
15  495.59  -148.97 24.617  0.364   1.083   0.536
16  620.85  -147.31 23.723  0.172   0.889   0.258
17  604.07  -140.69 21.119  0.03    0.296   0.065
18  794.92  -140.6  18.846  0.013   1.168   0.028
19  750.77  -138.4  22.536  0.076   0.793   0.123
20  744.14  -134.44 23.345  0.128   0.824   0.195
21  367.42  -131.14 24.403  0.203   0.98    0.347
22  449.14  -129.97 22.556  0.054   0.731   0.087
23  403.86  -129.01 24.698  0.422   1.185   0.661
24  817.73  -126.8  22.87   0.098   0.754   0.151
25  872.73  -125.02 20.076  0.027   0.403   0.056
26  286.24  -124.88 21.973  0.033   0.761   0.059
27  481.94  -124.64 22.147  0.051   0.668   0.087
28  744.79  -123.93 19.498  0.017   0.128   0.039
29  998.7   -123.01 23.836  0.243   0.976   0.354
30  657.22  -122.85 23.014  0.101   0.819   0.162
31  1082.11 -118.93 23.301  0.083   0.782   0.139
32  246 -114.74 24.286  0.2 0.994   0.313
33  1002.52 -114.43 23.042  0.091   0.792   0.143
34  1106.4  -113.79 22.591  0.071   0.755   0.125
35  105.7   -110.92 22.908  0.061   0.781   0.096
36  1158.18 -110.36 24.029  0.135   0.919   0.27
37  709.55  -109.98 23.168  0.092   0.87    0.152
38  828.25  -109.93 24.117  0.137   0.895   0.27
39  882.77  -108.7  22.364  0.07    0.648   0.11
40  608.34  -108.68 24.473  0.277   0.907   0.432
41  775.99  -106.84 23.261  0.121   0.856   0.279
42  755.96  -104.71 22.31   0.075   0.719   0.126
43  490.89  -104.09 22.495  0.04    0.869   0.071
44  1542.25 -103.4  24.366  0.252   0.871   0.403
45  1020.62 -102.55 21.942  0.056   0.595   0.088
46  63.22   -101.75 24.174  0.172   0.956   0.247
47  160.74  -101.1  21.164  0.024   0.486   0.046
48  472.24  -99.97  24.535  0.214   1.149   0.427
49  847.13  -98.54  25.011  0.418   0.974   0.624
50  1544.56 -96.91  21.788  0.05    0.5 0.122
51  138.22  -96.49  24.777  0.432   1.274   0.547
52  609.34  -95.67  22.31   0.035   0.837   0.059
53  375.92  -95.57  19.847  0.011   0.123   0.028
54  347.44  -95.51  23.407  0.087   0.938   0.152
55  284.69  -95.41  23.834  0.201   0.898   0.301
56  439.38  -95.04  24.569  0.204   1.057   0.258
57  1278.47 -94.36  23.898  0.205   0.935   0.333
58  1272.13 -94.18  22.353  0.041   0.675   0.079
59  197.5   -94.12  23.761  0.103   0.898   0.199
60  319.45  -93.16  21.939  0.056   1.087   0.096
61  1231.96 -92.42  17.501  0.026   -0.014  0.061
62  625.51  -91.52  20.484  0.018   1.233   0.028
63  1061.02 -91.13  22.819  0.082   0.709   0.136
64  812.78  -90.74  23.499  0.105   0.849   0.159
65  1210.54 -89.43  22.883  0.093   0.723   0.131
66  1168.15 -88.7   24.519  0.3 0.925   0.444
67  1319.8  -88.61  23.281  0.099   0.818   0.159
68  916.94  -87.98  24.38   0.315   0.979   0.447
