#
# http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=J/AcA/50/337
#
#OGLE-CL    RAJ2000      DEJ2000      Rad l   logt   e   logt2   e  
#           "h:m:s"      "d:m:s"   arcsec     [yr]  [yr]  [yr]  [yr]
#
     85  05 05 44.44  -68 30 24.6     14     8.90  0.10  99.9 99.99
     88  05 05 54.61  -66 43 57.7     16     8.20  0.15  99.9 99.99
     89  05 05 55.36  -68 57 04.8     17     8.00  0.10  99.9 99.99
     90  05 05 55.63  -68 37 42.8     27     7.80  0.10  99.9 99.99
     91  05 06 00.72  -68 33 21.0     18     8.90  0.10  99.9 99.99
     92  05 06 02.27  -68 57 22.2     14     7.20  0.20  99.9 99.99
     93  05 06 02.89  -68 37 41.6     25     8.00  0.05  99.9 99.99
     94  05 06 06.18  -67 02 02.8     16 <   6.90 99.99  99.9 99.99
     95  05 06 06.33  -68 22 00.9     12     8.70  0.10  99.9 99.99
     96  05 06 07.30  -69 11 03.7     17     8.50  0.10  99.9 99.99
     97  05 06 08.81  -68 26 45.2     25     8.00  0.05  99.9 99.99
     98  05 06 10.08  -70 00 52.2     22     8.10  0.05  99.9 99.99
     99  05 06 11.55  -69 58 21.9     19     8.20  0.10  99.9 99.99
    100  05 06 12.42  -69 03 26.5     20     6.70  0.10  99.9 99.99
    101  05 06 12.80  -68 50 54.0     18     8.50  0.10  99.9 99.99
    102  05 06 22.30  -69 28 04.7     23     8.70  0.10  99.9 99.99
    103  05 06 24.14  -69 34 06.1     23     8.70  0.10  99.9 99.99
    104  05 06 24.53  -68 42 18.8     29     9.00  0.10  99.9 99.99
    105  05 06 24.81  -68 22 29.5     20     8.35  0.10  99.9 99.99
    106  05 06 27.95  -66 54 21.4     29     8.15  0.10  99.9 99.99
    107  05 06 33.57  -68 21 47.3     19     7.30  0.05  99.9 99.99
    109  05 06 34.11  -68 25 38.2     14 <   6.70 99.99  99.9 99.99
    111  05 06 47.40  -68 36 59.4     41     8.00  0.10  99.9 99.99
    112  05 06 51.75  -68 52 51.8     24     8.70  0.10  99.9 99.99
