Gal  #            Names                 RA          Dec     V       sig     U-B    sig    B-V      sig     U-V    sig     V-R    sig     M_V  (U-B)_0 (B-V)_0 (U-V)_0 (V-R)_0 R_ap(") Age(Myr) M_V(10Myr) Qual Field
LMC   1 KMHK508                    5:04:09.77 -71:04:41.7 14.602   0.026  -0.353  0.010   0.362  0.026   0.010  0.026   0.364  0.051   -4.281  -0.442   0.232  -0.210   0.268 11.6     15.1      -4.39     0  a338  
LMC   2 SL175                      5:00:49.64 -71:03:12.3 14.499   0.038  -0.393  0.013   0.039  0.038  -0.354  0.038   0.333  0.076   -4.384  -0.483  -0.091  -0.574   0.236 16.2     17.1      -4.68     0  a338  
LMC   3 SL171,BRHT26b,KMHK434      5:00:33.00 -70:56:54.0 14.346   0.029  -0.022  0.013   0.363  0.030   0.341  0.029   0.321  0.061   -4.537  -0.112   0.233   0.122   0.225 16.2    256.4      -7.08     0  a338  
LMC   4 SL169,BRHT26a,KMHK430      5:00:22.00 -70:56:39.9 14.280   0.028  -0.489  0.008   0.058  0.028  -0.431  0.028  -0.063  0.076   -4.603  -0.579  -0.072  -0.651  -0.159 16.2     19.5      -5.34     0  a338  
LMC   5 BSDL309                    4:56:45.03 -70:50:33.5 14.364   0.022  -0.681  0.007  -0.073  0.022  -0.755  0.022  -0.050  0.060   -4.519  -0.771  -0.203  -0.974  -0.147 11.6      5.0      -3.54     0  a338  
LMC   6 KMHK471                    5:02:13.50 -70:50:11.6 14.775   0.029  -0.043  0.011   0.389  0.029   0.346  0.029   0.326  0.061   -4.108  -0.133   0.259   0.126   0.230 11.6    258.6      -6.66     0  a338  
LMC   7 SL246,KMHK561              5:07:24.83 -70:48:36.2 13.838   0.036  -0.047  0.015   0.244  0.037   0.197  0.036   0.298  0.074   -5.045  -0.137   0.114  -0.022   0.202 27.8    238.0      -7.51     0  a338  
LMC   8 NGC1861,SL286,ESO56SC76,   5:10:21.86 -70:46:44.2 12.725   0.018   0.126  0.010   0.539  0.020   0.665  0.018   0.320  0.035   -6.158   0.037   0.409   0.446   0.224 34.8    886.6      -9.62     0  a338  
LMC   9 SL249,KMHK562              5:07:35.47 -70:44:56.0 12.776   0.014  -0.095  0.007   0.336  0.015   0.240  0.014   0.267  0.031   -6.107  -0.185   0.206   0.021   0.171 27.8    193.8      -8.42     0  a338  
LMC  10 BSDL547                    5:04:27.39 -70:39:54.5 13.194   0.024  -0.234  0.010   0.178  0.025  -0.057  0.024   0.186  0.050   -5.689  -0.324   0.048  -0.276   0.090 27.8     16.0      -5.75     1  a338  
LMC  11 BSDL470                    5:02:30.00 -70:38:05.0 12.502   0.006  -0.378  0.003   0.105  0.006  -0.274  0.006   0.068  0.014   -6.381  -0.468  -0.025  -0.493  -0.029 13.9      6.0      -5.14     0  a338  
LMC  12 HS104,KMHK499              5:04:02.87 -70:37:34.9 14.005   0.027  -0.475  0.011   0.037  0.028  -0.438  0.027   0.113  0.064   -4.878  -0.565  -0.093  -0.658   0.017 18.6     19.2      -5.60     0  a338  
LMC  13 NGC1815,SL189,ESO56SC49,   5:02:26.83 -70:37:15.9 12.059   0.011  -0.569  0.004   0.108  0.011  -0.461  0.011   0.133  0.023   -6.824  -0.659  -0.022  -0.680   0.037 34.8     17.9      -7.33     0  a338  
LMC  14 SL270,KMHK596              5:09:10.30 -70:36:46.2 14.030   0.040  -0.055  0.017   0.212  0.041   0.157  0.040   0.162  0.086   -4.853  -0.145   0.082  -0.063   0.066 23.2     15.8      -4.90     1  a338  
LMC  15 KMHK464                    5:01:55.58 -70:31:24.8 13.128   0.011  -0.685  0.005   0.454  0.011  -0.231  0.011   0.387  0.018   -5.755  -0.775   0.324  -0.451   0.291 13.9     14.4      -6.00     0  a338  
LMC  16 KMHK355                    4:57:22.90 -70:28:58.5 14.983   0.044   0.716  0.032   0.820  0.048   1.537  0.048   0.650  0.073   -3.900   0.627   0.690   1.317   0.554 13.9   2999.2      -8.47     0  a338  
LMC  17 BSDL635                    5:06:16.17 -70:29:31.8 11.217   0.004  -1.074  0.002   0.110  0.004  -0.964  0.004   0.027  0.008   -7.666  -1.164  -0.020  -1.184  -0.069 18.6      5.8      -6.47     0  a338  
LMC  18 SL290,KMHK628              5:10:38.71 -70:29:15.8 13.351   0.023  -0.374  0.010   0.233  0.024  -0.141  0.023   0.069  0.051   -5.532  -0.464   0.103  -0.361  -0.027 23.2     40.8      -6.70     0  a338  
LMC  19 SL232,KMHK545              5:06:22.15 -70:28:45.4 12.229   0.013  -0.438  0.007   0.203  0.014  -0.235  0.013   0.158  0.028   -6.654  -0.528   0.073  -0.454   0.062 34.8     24.0      -7.47     0  a338  
LMC  20 BSDL310                    4:56:50.51 -70:27:21.4 15.441   0.054  -0.574  0.016   0.132  0.053  -0.442  0.054  -0.105  0.154   -3.442  -0.664   0.002  -0.662  -0.202 11.6      5.3      -2.28     0  a338  
LMC  21 KMHK587                    5:08:33.41 -70:26:54.7 13.975   0.022  -0.284  0.012   0.270  0.024  -0.014  0.022   0.182  0.044   -4.908  -0.373   0.140  -0.233   0.086 13.9     15.6      -4.96     0  a338  
LMC  22 NGC1775,SL129,ESO56SC34,   4:56:54.22 -70:25:48.2 12.940   0.011  -0.173  0.005   0.372  0.011   0.199  0.011   0.339  0.022   -5.943  -0.263   0.242  -0.021   0.243 16.2    143.2      -7.99     0  a338  
LMC  23 BRHT2b,KMHK340             4:56:57.53 -70:25:37.2 14.072   0.025  -0.178  0.022   0.512  0.032   0.335  0.025   0.385  0.047   -4.811  -0.268   0.382   0.115   0.288 11.6     14.4      -5.05     0  a338  
LMC  24 KMHK327                    4:56:36.40 -70:25:26.5 14.762   0.046   0.035  0.027   0.805  0.050   0.840  0.046   0.484  0.084   -4.121  -0.055   0.675   0.620   0.388 16.2   2999.2      -8.69     0  a338  
LMC  25 SL160,KMHK402              4:59:26.83 -70:24:59.7 13.806   0.021  -0.043  0.010   0.303  0.022   0.261  0.021   0.094  0.049   -5.077  -0.132   0.173   0.041  -0.002 16.2    240.9      -7.56     0  a338  
LMC  26 KMHK376                    4:58:09.49 -70:24:14.0 12.960   0.013  -0.705  0.004   0.029  0.013  -0.676  0.013   0.096  0.030   -5.923  -0.794  -0.101  -0.896   0.000 20.9      4.9      -5.04     0  a338  
LMC  27 BSDL500                    5:03:45.49 -70:24:33.9 13.916   0.027  -0.616  0.012   0.059  0.028  -0.557  0.027   0.116  0.051   -4.967  -0.705  -0.071  -0.776   0.020 13.9     19.0      -5.68     0  a338  
LMC  28 BSDL551                    5:04:37.08 -70:24:02.9 14.858   0.048  -0.324  0.025   0.398  0.051   0.075  0.048   0.529  0.085   -4.025  -0.413   0.268  -0.145   0.433 16.2     15.1      -4.14     2  a338  
LMC  29 SL252,KMHK570              5:07:51.67 -70:23:29.8 14.009   0.032   0.030  0.018   0.411  0.035   0.441  0.032   0.187  0.063   -4.874  -0.060   0.281   0.221   0.091 18.6    367.1      -7.64     0  a338  
LMC  30 SL282,KMHK619              5:10:10.88 -70:22:33.3 14.256   0.033   0.203  0.018   0.560  0.036   0.762  0.033   0.433  0.065   -4.627   0.113   0.430   0.543   0.337 18.6    917.5      -8.11     0  a338  
LMC  31 HS115,KMHK537              5:05:54.82 -70:22:21.4 13.906   0.035   0.138  0.020   0.565  0.038   0.703  0.035   0.337  0.068   -4.977   0.048   0.435   0.483   0.240 23.2    920.0      -8.5      2  a338  
LMC  32 KMHK494                    5:03:51.76 -70:22:19.9 14.505   0.027  -0.058  0.016   0.375  0.030   0.316  0.027   0.335  0.053   -4.378  -0.148   0.245   0.097   0.238 11.6    178.0      -6.62     0  a338  
LMC  33 HS140,KMHK608              5:09:40.64 -70:21:27.1 14.368   0.028  -0.138  0.013   0.269  0.029   0.131  0.028   0.241  0.063   -4.515  -0.227   0.139  -0.088   0.145 13.9    123.9      -6.46     0  a338  
LMC  34 KMHK493                    5:03:47.64 -70:21:14.9 13.477   0.015  -0.761  0.005  -0.054  0.015  -0.815  0.015   0.036  0.034   -5.406  -0.851  -0.184  -1.035  -0.061 13.9      3.9      -4.47     0  a338  
LMC  35 NGC1823,SL198,ESO56SC51,   5:03:24.80 -70:20:09.1 11.910   0.009  -0.877  0.003  -0.085  0.009  -0.961  0.009  -0.091  0.022   -6.973  -0.966  -0.215  -1.181  -0.187 30.2      2.8      -6.19     0  a338  
LMC  36 SL224,KMHK534              5:05:43.33 -70:19:30.1 13.394   0.024   0.018  0.011   0.321  0.025   0.339  0.024   0.258  0.046   -5.489  -0.072   0.191   0.120   0.162 23.2    303.5      -8.12     0  a338  
LMC  37 NGC1813,SL190,ESO56SC50,   5:02:41.83 -70:19:06.7 12.613   0.012  -0.517  0.006   0.326  0.013  -0.191  0.012   0.399  0.022   -6.270  -0.607   0.196  -0.410   0.303 25.5     10.1      -6.28     0  a338  
LMC  38 HS94,KMHK468               5:02:30.61 -70:17:33.4 14.497   0.035   0.128  0.024   0.684  0.040   0.813  0.035   0.295  0.070   -4.386   0.039   0.554   0.593   0.198 16.2   1000.0      -7.94     0  a338  
LMC  39 SL158,KMHK397              4:59:14.47 -70:15:16.5 11.787   0.009  -0.462  0.003   0.105  0.009  -0.357  0.009   0.015  0.022   -7.096  -0.551  -0.025  -0.577  -0.082 34.8      5.7      -5.92     0  a338  
LMC  40 NGC1791,SL155,ESO56SC41,   4:59:07.43 -70:10:07.5 12.939   0.019  -0.144  0.010   0.351  0.020   0.207  0.019   0.362  0.041   -5.944  -0.233   0.221  -0.013   0.266 30.2     10.0      -5.94     0  a338  
LMC  41 BSDL542                    5:04:30.05 -70:10:16.1 15.084   0.047   0.055  0.032   0.394  0.054   0.450  0.047   0.322  0.092   -3.799  -0.034   0.264   0.230   0.226 11.6    352.3      -6.53     0  a338  
LMC  42 HS99,KMHK483               5:03:15.07 -70:05:28.7 14.648   0.044  -0.051  0.023   0.534  0.047   0.483  0.044   0.345  0.078   -4.235  -0.141   0.404   0.264   0.249 13.9    877.2      -7.68     0  a338  
LMC  43 SL146,KMHK377              4:58:18.33 -70:04:52.4 14.146   0.025  -0.004  0.014   0.496  0.027   0.492  0.025   0.544  0.046   -4.737  -0.094   0.366   0.272   0.448 13.9    800.0      -8.10     0  a338  
LMC  44 SL255,BRHT30a,KMHK573      5:07:56.34 -70:03:27.7 12.747   0.011  -0.277  0.005   0.300  0.011   0.023  0.011   0.178  0.022   -6.136  -0.367   0.170  -0.196   0.081 18.6     15.5      -6.19     0  a338  
LMC  45 KMHK643                    5:11:35.64 -70:02:35.6 15.510   0.073   0.259  0.051   0.517  0.084   0.776  0.074   0.317  0.147   -3.373   0.169   0.387   0.556   0.221 11.6    809.3      -6.75     0  a338  
LMC  46 BRHT30b,KMHK567            5:07:50.37 -70:02:39.3 14.066   0.021  -0.444  0.010   0.254  0.022  -0.190  0.021   0.279  0.043   -4.817  -0.534   0.124  -0.410   0.183 11.6     15.4      -4.88     0  a338  
LMC  47 KMHK572                    5:07:55.72 -70:01:55.1 13.250   0.015  -0.250  0.009   0.341  0.017   0.091  0.015   0.308  0.028   -5.633  -0.339   0.211  -0.128   0.211 13.9     15.5      -5.68     0  a338  
LMC  48 SL216,KMHK521              5:04:57.21 -70:01:10.0 12.690   0.009  -0.547  0.003   0.081  0.009  -0.466  0.009   0.105  0.022   -6.193  -0.637  -0.049  -0.686   0.009 18.6     19.2      -6.92     0  a338  
LMC  49 KMHK540                    5:06:10.38 -70:00:53.7 13.281   0.012  -0.219  0.006   0.470  0.013   0.250  0.012   0.380  0.022   -5.602  -0.309   0.340   0.030   0.284 13.9      8.6      -5.06     0  a338  
LMC  50 SL124e,KMHK324e            4:56:31.71 -69:58:56.1 13.333   0.020   0.121  0.012   0.583  0.022   0.703  0.020   0.452  0.039   -5.550   0.031   0.453   0.484   0.356 23.2    950.0      -9.07     0  a338  
LMC  51 SL151,KMHK388              4:58:51.11 -69:57:32.4 13.190   0.025   0.216  0.015   0.719  0.028   0.935  0.025   0.595  0.043   -5.693   0.127   0.589   0.715   0.499 30.2   2000.0      -9.88     0  a338  
LMC  52 KMHK461                    5:01:51.30 -69:55:07.5 15.077   0.052  -0.329  0.020   0.253  0.053  -0.076  0.052   0.253  0.115   -3.806  -0.419   0.123  -0.296   0.157 13.9     50.2      -5.14     2  a338  
LMC  53 SL251,KMHK574              5:08:00.08 -69:52:25.2 12.607   0.019  -0.209  0.009   0.302  0.020   0.094  0.019   0.285  0.039   -6.276  -0.298   0.172  -0.126   0.188 34.8    104.8      -8.09     0  a338  
LMC  54 BSDL524                    5:04:07.75 -71:06:41.8 15.147   0.041  -0.643  0.015   0.282  0.041  -0.361  0.041   0.138  0.096   -3.736  -0.733   0.152  -0.581   0.041 11.6     13.2      -4.30     2  a338  
LMC  55 BSDL749                    5:09:11.87 -70:47:38.7 15.299   0.052   0.013  0.024   0.213  0.054   0.226  0.052   0.151  0.115   -3.584  -0.076   0.083   0.007   0.055 11.6     23.6      -4.37     2  a338  
LMC  56 BSDL499                    5:03:42.00 -70:42:09.9 15.122   0.039  -0.659  0.011  -0.039  0.039  -0.698  0.039  -0.090  0.105   -3.761  -0.749  -0.169  -0.918  -0.186 11.6      5.0      -2.78     2  a338  
LMC  57 NGC1837,SL217,ESO56SC59    5:04:56.09 -70:42:51.6 11.350   0.004  -0.860  0.002  -0.024  0.004  -0.884  0.004  -0.019  0.009   -7.533  -0.950  -0.154  -1.104  -0.115 18.6      4.1      -6.72     2  a338  
LMC  58 KMHK600                    5:09:20.20 -70:27:27.0 12.971   0.008   0.329  0.006   0.883  0.010   1.212  0.008   0.430  0.015   -5.912   0.239   0.753   0.992   0.334 11.6   3000.0     -10.48     2  a338  
LMC  59 BSDL767                    5:09:43.27 -70:18:34.9 13.412   0.011   0.029  0.005   0.452  0.011   0.481  0.011   0.260  0.023   -5.471  -0.061   0.322   0.262   0.164 11.6    680.0      -8.71     2  a338  
LMC  60 BSDL579                    5:04:59.07 -70:31:13.5 13.335   0.011  -0.985  0.004  -0.111  0.011  -1.097  0.011  -0.060  0.027   -5.548  -1.075  -0.241  -1.316  -0.156 11.6      4.0      -4.71     2  a338  
LMC  61 BSDL320                    4:57:05.87 -70:06:37.0 15.997   0.107   0.289  0.102   0.834  0.130   1.122  0.120   0.717  0.170   -2.886   0.199   0.704   0.903   0.621 11.6   3000.0      -7.45     2  a338  
LMC  62 BSDL394                    4:59:51.86 -70:09:27.0 14.466   0.028  -0.658  0.009   0.009  0.028  -0.649  0.028  -0.047  0.067   -4.417  -0.747  -0.121  -0.869  -0.143 11.6      5.1      -3.38     2  a338  
LMC  63 KMHK514                    5:04:36.62 -70:10:04.1 14.516   0.024  -0.658  0.011   0.153  0.025  -0.505  0.024   0.072  0.064   -4.367  -0.748   0.023  -0.725  -0.024 11.6      6.2      -3.12     2  a338  
LMC  64 BSDL691                    5:08:04.73 -70:01:37.5 14.867   0.047  -0.240  0.027   0.390  0.052   0.150  0.047   0.335  0.085   -4.016  -0.329   0.260  -0.070   0.239 11.6     14.6      -4.19     2  a338  
LMC  65 SL368                      5:18:11.26 -69:56:55.8 13.017   0.021   0.018  0.019   0.712  0.027   0.730  0.021   0.492  0.033   -5.866  -0.072   0.582   0.510   0.396 20.9   1000.0      -9.42     0  a342  
LMC  66 NGC1939,SL414,ESO56SC108   5:21:27.13 -69:57:01.2 11.406   0.008  -0.008  0.007   0.752  0.010   0.745  0.008   0.456  0.013   -7.477  -0.097   0.622   0.525   0.360 30.2   2999.2     -12.04     0  a342  
LMC  67 KMK88-49                   5:21:10.39 -69:56:34.9 14.387   0.041  -0.071  0.023   0.328  0.045   0.257  0.041   0.081  0.084   -4.496  -0.160   0.198   0.037  -0.015 13.9    210.8      -6.87     1  a342  
LMC  68 NGC1938,SL413,ESO56SC108   5:21:25.20 -69:56:22.0 12.991   0.021  -0.117  0.016   0.506  0.025   0.389  0.021   0.405  0.035   -5.892  -0.207   0.376   0.170   0.309 18.6     14.4      -6.13     0  a342  
LMC  69 OGLE-LMC0414               5:22:44.80 -69:54:11.1 13.982   0.033  -0.003  0.025   0.578  0.039   0.576  0.033   0.347  0.055   -4.901  -0.093   0.448   0.356   0.251 11.6    940.0      -8.40     2  a342  
LMC  70 HS220                      5:18:25.00 -69:52:27.9 13.389   0.019  -0.164  0.012   0.348  0.021   0.184  0.019   0.298  0.034   -5.494  -0.253   0.218  -0.036   0.202 13.9    133.5      -7.49     0  a342  
LMC  71 HS263                      5:23:10.70 -69:52:00.6 12.897   0.016  -0.202  0.009   0.261  0.017   0.059  0.016   0.322  0.028   -5.986  -0.292   0.131  -0.161   0.226 13.9     94.2      -7.71     0  a342  
LMC  72 HS259                      5:22:45.73 -69:50:49.5 11.719   0.005   0.328  0.004   0.927  0.006   1.256  0.005   0.457  0.008   -7.164   0.239   0.797   1.036   0.361 13.9   3000.0     -11.70     0  a342  
LMC  73 SL412                      5:21:30.00 -69:49:43.0 13.131   0.024  -0.132  0.016   0.379  0.027   0.247  0.024   0.329  0.042   -5.752  -0.221   0.249   0.027   0.233 18.6    159.2      -7.89     0  a342  
LMC  74 HS203                      5:16:14.00 -69:49:32.0 14.259   0.057  -0.151  0.031   0.263  0.062   0.112  0.057   0.302  0.109   -4.624  -0.241   0.133  -0.108   0.205 20.9    118.3      -6.53     1  a342  
LMC  75 HS227                      5:19:04.00 -69:48:38.9 13.696   0.033   0.045  0.025   0.538  0.039   0.582  0.033   0.153  0.061   -5.187  -0.045   0.408   0.363   0.057 16.2    883.2      -8.65     0  a342  
LMC  76 NGC1921,SL381,ESO56SC102   5:19:23.70 -69:47:16.8 13.030   0.022  -0.282  0.013   0.235  0.024  -0.047  0.022   0.259  0.038   -5.853  -0.372   0.105  -0.266   0.163 16.2     58.3      -7.30     0  a342  
LMC  77 BSDL1263                   5:19:40.56 -69:46:15.7 14.786   0.058  -0.137  0.065   0.837  0.082   0.701  0.059   0.694  0.077   -4.097  -0.226   0.707   0.481   0.597 11.6   2999.9      -8.66     2  a342  
LMC  78 HS174                      5:12:31.28 -69:45:19.3 13.485   0.022   0.160  0.019   0.828  0.028   0.988  0.022   0.437  0.038   -5.398   0.070   0.698   0.768   0.340 16.2   2999.2      -9.96     0  a342  
LMC  79 BSDL1299                   5:20:29.00 -69:44:58.0 14.098   0.037  -0.302  0.021   0.394  0.040   0.092  0.037   0.314  0.065   -4.785  -0.392   0.264  -0.128   0.218 13.9     15.0      -4.90     0  a342  
LMC  80 BRHT50                     5:22:26.79 -69:44:48.0 12.532   0.019  -0.606  0.011   0.154  0.021  -0.452  0.019   0.083  0.036   -6.351  -0.695   0.024  -0.672  -0.013 23.2      6.2      -5.11     2  a342  
LMC  81 SL266,KMHK592              5:09:06.90 -69:43:00.3 14.007   0.039   0.225  0.021   0.381  0.042   0.606  0.039   0.438  0.067   -4.876   0.136   0.251   0.387   0.342 18.6    593.0      -8.01     2  a342  
LMC  82 KMK88-45                   5:19:19.70 -69:42:50.7 13.767   0.024  -0.248  0.016   0.338  0.027   0.090  0.024   0.217  0.043   -5.116  -0.338   0.208  -0.130   0.121 11.6     92.2      -6.83     0  a342  
LMC  83 KMK88-48                   5:20:35.61 -69:41:20.5 14.455   0.055  -0.265  0.038   0.406  0.064   0.142  0.055   0.085  0.101   -4.428  -0.355   0.276  -0.078  -0.012 11.6      7.4      -3.38     1  a342  
LMC  84 BSDL1142                   5:17:50.18 -69:41:39.2 13.749   0.025  -0.665  0.014   0.235  0.027  -0.430  0.025   0.281  0.040   -5.134  -0.755   0.105  -0.650   0.185 11.6     15.0      -5.25     0  a342  
LMC  85 BSDL1194                   5:18:35.53 -69:41:12.7 13.688   0.024  -0.593  0.014   0.188  0.026  -0.405  0.024   0.180  0.046   -5.195  -0.683   0.058  -0.625   0.084 11.6     30.5      -6.19     0  a342  
LMC  86 BSDL1480                   5:23:08.32 -69:40:05.2 13.829   0.030  -0.555  0.018   0.284  0.033  -0.271  0.030   0.261  0.046   -5.054  -0.645   0.154  -0.491   0.165 11.6     10.2      -5.07     2  a342  
LMC  87 BSDL1096                   5:16:27.49 -69:40:24.9 14.412   0.044  -0.315  0.025   0.401  0.048   0.086  0.044   0.370  0.070   -4.471  -0.405   0.271  -0.134   0.274 11.6     15.0      -4.59     1  a342  
LMC  88 KMK88-46                   5:19:47.00 -69:40:07.2 13.307   0.021  -0.136  0.013   0.305  0.023   0.169  0.021   0.219  0.037   -5.576  -0.226   0.175  -0.051   0.122 13.9    155.5      -7.70     2  a342  
LMC  89 NGC1898,SL350,ESO56SC90    5:16:42.00 -69:39:21.9 11.140   0.009  -0.014  0.008   0.754  0.011   0.740  0.009   0.551  0.013   -7.743  -0.104   0.624   0.521   0.454 34.8   4000.0     -13.73     0  a342  
LMC  90 SL418                      5:21:49.46 -69:39:06.9 12.417   0.024  -0.246  0.016   0.349  0.027   0.103  0.024   0.265  0.036   -6.466  -0.336   0.219  -0.116   0.169 23.2     96.4      -8.21     0  a342  
LMC  91 H2,SL363                   5:17:49.22 -69:38:38.6 11.827   0.018   0.090  0.017   0.639  0.024   0.729  0.018   0.426  0.028   -7.056   0.000   0.509   0.509   0.329 34.8   1000.0     -10.61     0  a342  
LMC  92 HS241                      5:20:34.70 -69:38:17.6 12.680   0.020  -0.544  0.012   0.211  0.022  -0.334  0.020   0.216  0.036   -6.203  -0.634   0.081  -0.553   0.120 18.6     55.1      -7.62     0  a342  
LMC  93 HS261                      5:22:58.75 -69:37:31.2 13.548   0.035  -0.418  0.025   0.162  0.041  -0.256  0.035   0.106  0.064   -5.335  -0.508   0.032  -0.476   0.010 16.2     21.8      -6.02     1  a342  
LMC  94 OGLE-LMC0402               5:21:57.00 -69:36:38.9 13.837   0.032  -0.267  0.020   0.293  0.036   0.027  0.032   0.197  0.055   -5.046  -0.356   0.163  -0.193   0.101 11.6     15.4      -5.11     0  a342  
LMC  95 SL268                      5:09:14.75 -69:35:16.0 11.851   0.013   0.271  0.010   0.726  0.016   0.996  0.013   0.454  0.021   -7.032   0.181   0.596   0.777   0.358 34.8   1000.0     -10.59     0  a342  
LMC  96 BSDL1104                   5:16:43.62 -69:35:45.0 14.343   0.038  -0.319  0.025   0.308  0.043  -0.012  0.038   0.322  0.066   -4.540  -0.409   0.178  -0.232   0.225 11.6     15.2      -4.61     2  a342  
LMC  97 SL402                      5:20:23.60 -69:35:06.2 12.353   0.016  -0.305  0.011   0.244  0.018  -0.062  0.016   0.241  0.027   -6.530  -0.395   0.114  -0.281   0.145 18.6     53.6      -7.93     0  a342  
LMC  98 HS213                      5:17:56.22 -69:34:56.2 13.089   0.024  -0.495  0.015   0.164  0.027  -0.331  0.024   0.170  0.038   -5.794  -0.585   0.034  -0.551   0.073 13.9     23.9      -6.60     0  a342  
