#
# Glatt et al. (2010); http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=J/A%2BA/517/A50
#
# l: limit uncertainty error flag
#
# q  : Class code as follows:
# 1 =	objects having Δ(log(age(yr)))<0.3
# 2 =	objects having 0.3 <Δ(Log(Age(yr)))<0.5
# 3 =	objects having Δ(Log(Age(yr)))>0.5
#
#
#Name    n  E(B-V)     R   l   Age  q   Age2   RAJ2000   DEJ2000    Vmag    e    SimbadName         Cross-ID                                      
#             mag   arcmin     [yr]     [yr]   "h:m:s"   "d:m:s"     mag   mag                                                                    
LMC0098     0.100   0.720     8.00 1  99.99  04 49 04  -69 06 53  11.410  0.12  NGC1698            NGC1698,SL45,ESO56SC06,KMHK115                
LMC0100     0.100   0.250     7.40 1  99.99  04 49 12  -69 16 00  13.720  0.12  BSDL48             BSDL48                                        
LMC0102     0.100   0.330     7.70 1  99.99  04 49 20  -69 07 39  14.000  0.12  KMHK118            KMHK118                                       
LMC0104     0.050   0.600     7.80 1  99.99  04 49 26  -69 51 07  12.640  0.10  NGC1702            NGC1702,SL46,ESO56SC08, KMHK122               
LMC0106     0.050   0.280     8.10 1  99.99  04 49 33  -70 02 56  14.210  0.11  [HS66] 36          HS36,KMHK126                                  
LMC0107     0.080   0.260     7.90 1  99.99  04 49 33  -69 43 40  13.730  0.10  [HS66] 35          HS35,KMHK124                                  
LMC0109     0.050   0.250     7.20 1  99.99  04 49 52  -67 41 15  13.070  0.12  KMHK125            KMHK125                                       
LMC0111     0.050   0.820     7.50 1  99.99  04 49 55  -69 45 19  11.410  0.09  NGC1704            NGC1704,SL50,ESO56SC09, KMHK130               
LMC0112     0.100   0.450 >   8.80 9  99.99  04 50 07  -71 38 58  15.320  0.12  [SL63] 52          SL52,LW72,KMHK141                             
LMC0113 *   0.150   0.330     7.50 3  99.99  04 50 10  -68 59 55  12.140  0.12  [SL63] 49          SL49                                          
LMC0115     0.100   0.360     8.20 1  99.99  04 50 19  -67 05 18  14.890  0.12  [SL63] 51          SL51,KMHK131                                  
LMC0117     0.100   0.230     8.30 1  99.99  04 50 27  -66 34 19  15.900  0.12  BSDL70             BSDL70                                        
LMC0118     0.100   0.510     8.60 1  99.99  04 50 28  -68 42 38  14.310  0.12  [HS66] 37          HS37,KMHK139                                  
LMC0119     0.200   0.480     7.50 1  99.99  04 50 32  -70 04 32  11.740  0.12  [SL63] 56          SL56,KMHK142                                  
LMC0120     0.180   1.700     7.20 1  99.99  04 50 37  -69 59 06   9.469  0.11  NGC1711            NGC1711,SL55,ESO56SC10,KMHK145                
LMC0121     0.100   0.280     7.30 1  99.99  04 50 42  -66 13 50  14.420  0.13  KMHK138            KMHK138                                       
LMC0125     0.250   0.220     7.70 1  99.99  04 50 57  -69 07 25  13.730  0.12  BSDL94             BSDL94                                        
LMC0127     0.050   0.520     8.00 1  99.99  04 50 59  -69 38 13  12.530  0.10  [SL63] 58          SL58,KMHK153                                  
LMC0128 *   0.080   0.410     7.70 3  99.99  04 51 01  -69 23 10  15.830  0.12  BSDL96             BSDL96                                        
LMC0129     0.100   0.520     8.40 2  99.99  04 51 03  -69 14 54  13.820  0.12  [HS66] 39          HS39,KMHK154                                  
LMC0130     0.050   0.350     8.40 2  99.99  04 51 11  -67 32 05  14.700  0.12  [HS66] 38          HS38,KMHK148                                  
LMC0131     0.050   0.380     8.40 2  99.99  04 51 12  -69 58 17  15.740  0.11  [HS66] 40          HS40,KMHK159                                  
LMC0133 *   0.090   0.240     7.60 1  99.99  04 51 23  -69 35 04  13.730  0.10  KMHK164            KMHK164                                       
LMC0134     0.080   0.470     8.65 1  99.99  04 51 39  -70 39 18  15.520  0.12  KMHK170            KMHK170                                       
LMC0135     0.110   0.330     8.20 1  99.99  04 51 40  -68 46 00  14.260  0.12  [HS66] 43          HS43,H88-6,H80F1-5,KMHK167                    
LMC0136     0.020   0.360     8.80 3  99.99  04 51 41  -72 13 13  19.730  0.12  KMHK183            KMHK183                                       
LMC0141     0.050   0.480     8.40 1  99.99  04 52 03  -65 36 16  15.360  0.13  [SL63] 62          SL62,LW80,KMHK165                             
LMC0145     0.020   0.490 >   8.80 3  99.99  04 52 25  -65 24 31  18.670  0.16  [SL63] 63          SL63,LW81,KMHK175                             
LMC0146     0.020   0.300     7.90 2  99.99  04 52 29  -68 49 41  13.450  0.12  KMHK189            H88-12,H80F1-11,KMHK189                       
LMC0150     0.050   0.450     8.30 1  99.99  04 52 42  -68 46 54  13.820  0.12  [HS66] 52          HS52,KMHK193                                  
LMC0151     0.050   0.350     8.30 2  99.99  04 52 44  -66 53 03  14.950  0.12  [HS66] 51          HS51,KMHK190                                  
LMC0153     0.150   0.300     8.60 1  99.99  04 52 45  -66 29 31  15.710  0.12  [HS66] 50          HS50,KMHK185                                  
LMC0155     0.200   0.600     8.30 3  99.99  04 52 53  -71 39 32  13.610  0.12  [SL63] 79          SL79,LW85,KMHK213                             
LMC0157     0.150   0.670     8.10 2  99.99  04 52 54  -68 55 08  12.580  0.12  [SL63] 75          SL75,KMHK199                                  
LMC0158     0.150   0.310     8.30 1  99.99  04 52 55  -67 26 58  14.270  0.11  [SL63] 71          SL71,KMHK194                                  
LMC0159     0.050   0.330     7.70 2  99.99  04 52 59  -69 22 03  13.140  0.12  KMHK205            KMHK205                                       
