#
# http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/ApJ/751/122/table1
#
# Age1: log(age), Hunter et al. (2003). 10.00 --> No age determination
# Age2: log(age), Glatt et al. 2010 (CMD age)
# E(B-V): Glatt et al. 2010, E(B-V) CMD color excess 
# Age: log(age), MASSCLEAN
# E, e: upper and lower uncertainties.
#
#Name                VMag     e      U-B     e      B-V     e      V-R     e     Age1   Age2   e    E(B-V)   Age    E     e     Mass   E     e    G10  SimbadName      _RA        _DE   
#                     mag    mag     mag    mag     mag    mag     mag    mag    [yr]   [yr]  [yr]    mag    [yr]  [yr]  [yr]   Msun  Msun  Msun                       deg        deg   
BSDL2884           -5.263  0.012  -0.462  0.005   0.381  0.012   0.329  0.025   6.90   8.10  0.40   0.150   7.70  0.27  0.20   1100   900   400    1  BSDL2884     085.76667  -68.74833
SL583.KMHK1088     -5.844  0.017  -0.574  0.007   0.148  0.017   0.146  0.037   6.99   8.30  0.40   0.120   7.70  0.20  0.20   2500  1500  1300    1  [SL63] 583   083.56250  -68.54333
KMK88-86           -4.342  0.024  -0.667  0.008  -0.005  0.024  -0.051  0.060   6.72   8.40  0.40   0.100   7.71  0.35  0.14   1000   600   800    1  KMK88 86     084.13333  -68.74333
HS373.KMHK1164     -3.937  0.033  -0.638  0.009  -0.139  0.033  -0.150  0.089   7.30   7.70  0.40   0.130   7.72  0.05  0.16    400   250    50    1  [HS66] 373   084.57083  -67.09500
NGC1735.SL86       -7.748  0.005  -0.429  0.002   0.045  0.005   0.129  0.010   7.28   7.70  0.30   0.009   7.72  0.16  0.29  12000  5000  6500    1  NGC1735      073.58333  -67.10000
SL106.KMHK276      -7.427  0.005  -0.400  0.002   0.134  0.005   0.163  0.011   7.57   7.70  0.30   0.050   7.72  0.21  0.33   8500  4500  5800    1  [SL63] 106   073.77500  -69.67333
SL218              -6.122  0.012  -0.397  0.005  -0.043  0.012  -0.039  0.025   7.22   7.60  0.30   0.130   7.73  0.15  0.03   2700  1300   200    1  [SL63] 218   076.35294  -68.50114
HS67.KMHK296       -4.475  0.027  -0.618  0.010  -0.111  0.027  -0.084  0.067   6.53   8.00  0.40   0.100   7.73  0.23  0.16   1000   500   800    1  [HS66] 67    073.86250  -70.89333
NGC1768.SL127      -5.309  0.017  -0.606  0.006  -0.125  0.017  -0.106  0.042   6.81   7.80  0.40   0.130   7.74  0.02  0.04   2200   300   500    1  NGC1768      074.25833  -68.24833
NGC1774.SL141      -8.241  0.004  -0.438  0.002   0.043  0.004   0.169  0.008   7.64   7.70  0.30   0.130   7.74  0.02  0.32  20000  1000 10000    1  NGC1774      074.52500  -67.24167
SL408A             -5.028  0.028  -0.615  0.015  -0.102  0.030  -0.004  0.052   7.28   7.70  0.30   0.130   7.75  0.03  0.03   1700   200   100    1  [SL63] 408A  080.27083  -69.07167
SL579.KMHK1085     -5.987  0.011  -0.514  0.005   0.073  0.011   0.182  0.023   7.57   7.80  0.30   0.130   7.75  0.04  0.10   3000   500   800    1  [SL63] 579   083.55417  -67.85667
NGC2088.SL652      -6.547  0.010  -0.470  0.005   0.142  0.011   0.256  0.019   7.00   7.90  0.30   0.130   7.75  0.09  0.09   4500  1000  1500    1  NGC2088      085.24583  -68.46500
BRHT60b.H88-41     -5.700  0.010  -0.222  0.009   0.745  0.013   0.638  0.016  10.00   7.60  0.40   0.130   7.75  0.07  0.11   1200   300   300    1  BRHT60b      074.10417  -67.93833
BRHT43b            -6.560  0.006  -0.532  0.002  -0.019  0.006   0.088  0.012   7.30   8.30  0.50   0.100   7.75  0.13  0.29   5000  1500  2300    1  BRHT43b      073.68750  -68.96333
KMK88-39.H88-205   -5.042  0.025  -0.394  0.018   0.380  0.029   0.391  0.042   6.89   7.80  0.50   0.130   7.76  0.06  0.18   1100   100   400    1  KMK88 39     078.06212  -68.93114
BSDL365            -5.733  0.009  -0.533  0.003  -0.108  0.009  -0.054  0.021   6.53   8.70  0.50   0.100   7.76  0.35  0.46   2700  1800  2500    1  BSDL365      074.67083  -70.52833
NGC1693.SL39       -6.105  0.010  -0.488  0.004   0.161  0.010   0.230  0.020   7.18   7.80  0.30   0.130   7.77  0.03  0.02   3500   200   300    1  NGC1693      071.90833  -69.34333
SL234              -6.112  0.011  -0.401  0.006  -0.023  0.012   0.002  0.023   6.60   7.95  0.30   0.030   7.77  0.22  0.14   3000  2000  1200    1  [SL63] 234   076.72729  -68.71883
BSDL96             -4.472  0.024  -0.594  0.011  -0.111  0.025  -0.168  0.061   7.31   7.70  0.50   0.130   7.78  0.01  0.05    900   200   150    1  BSDL96       072.75417  -69.38667
HS333.KMK88-62     -5.922  0.020  -0.484  0.010   0.145  0.021   0.314  0.032   7.01   7.80  0.50   0.130   7.78  0.05  0.13   2700   300   800    0  [HS66] 333   082.78750  -69.29500
BRHT30b.KMHK567    -4.817  0.021  -0.534  0.010   0.124  0.022   0.183  0.043   7.19   7.80  0.40   0.130   7.79  0.04  0.03   1100   200   100    1  BRHT30b      076.95292  -70.04417
NGC1793.SL163      -6.899  0.010  -0.440  0.005   0.103  0.011   0.175  0.019   7.18   8.00  0.40   0.200   7.79  0.06  0.34   6500  1000  4000    1  NGC1793      074.90833  -69.55667
BSDL433            -4.913  0.019  -0.641  0.010   0.243  0.020   0.256  0.037   6.97   8.00  0.50   0.150   7.79  0.16  0.19   1100   700   500    1  BSDL433      075.31667  -68.14833
H88-54.KMHK369     -5.657  0.011  -0.396  0.004  -0.101  0.011  -0.093  0.028  10.00   7.60  0.30   0.150   7.80  0.17  0.18   1600  1600  1050    1  H88 54       074.58750  -67.48000
HS73.KMHK330       -4.710  0.017  -0.544  0.007  -0.135  0.017   0.008  0.041   6.56   8.20  0.40   0.080   7.80  0.16  0.25   1000   700   800    1  [HS66] 73    074.27083  -67.41333
HS378.KMHK1183     -3.930  0.040  -0.587  0.016  -0.126  0.041   0.017  0.106   7.29   8.20  0.30   0.200   7.80  0.21  0.15    750   250   550    1  [HS66] 378   084.80417  -68.50000
BSDL2001           -6.736  0.005  -0.400  0.002   0.266  0.005   0.422  0.008   7.18   8.10  0.40   0.050   7.81  0.12  0.23   5500  1000  3000    1  BSDL2001     082.59167  -67.21833
SL110.KMHK294      -5.179  0.014  -0.168  0.007   0.219  0.015   0.111  0.033   8.27   8.10  0.30   0.080   7.81  0.28  0.17    650   750   250    1  [SL63] 110   073.93333  -69.15667
NGC1702.SL46       -5.818  0.014  -0.457  0.007  -0.086  0.015  -0.118  0.034   7.23   7.80  0.30   0.130   7.82  0.01  0.02   2700   300   200    1  NGC1702      072.35833  -69.85167
BSDL192            -3.323  0.071  -0.585  0.027  -0.104  0.072   0.118  0.149   7.29   8.30  0.30   0.150   7.83  0.49  0.21    450   450   250    1  BSDL192      073.52083  -69.68167
BSDL1793           -5.820  0.011  -0.467  0.005   0.023  0.011   0.092  0.021   7.56   7.90  0.30   0.130   7.84  0.02  0.06   3000   200   500    1  BSDL1793     081.85000  -68.93833
NGC1732.SL77       -6.717  0.010  -0.353  0.003  -0.039  0.010   0.049  0.022   7.21   7.70  0.30   0.150   7.84  0.13  0.21   5500  2000  2500    1  NGC1732      073.29583  -68.65000
SL255.BRHT30a      -6.241  0.014  -0.382  0.006  -0.011  0.014   0.084  0.027   7.20   7.80  0.40   0.200   7.84  0.19  0.17   3700  1800  1500    1  [SL63] 255   076.97917  -70.05667
SL606.KMHK1136     -5.432  0.015  -0.355  0.006   0.056  0.015   0.001  0.035   6.81   7.90  0.30   0.130   7.85  0.10  0.01   1700   300   100    1  [SL63] 606   084.13750  -68.56500
HS60.BRHT43a       -4.316  0.026  -0.565  0.010  -0.084  0.026   0.031  0.059   6.56   8.00  0.40   0.050   7.85  0.05  0.10   1000   200   550    1  [HS66] 60    073.68333  -68.98167
KMHK258            -4.124  0.027  -0.572  0.010   0.002  0.027  -0.051  0.067  10.00   8.10  0.40   0.050   7.85  0.06  0.09    950    50   500    1  KMHK258      073.68750  -69.82333
HS147.H88-174      -5.524  0.015  -0.477  0.007  -0.002  0.016  -0.031  0.032   7.23   8.00  0.40   0.100   7.86  0.12  0.39   2500   700  2000    1  [HS66] 147   077.54646  -69.08750
HS28.KMHK104       -4.166  0.034  -0.545  0.011  -0.062  0.034  -0.186  0.108   7.29   8.10  0.30   0.120   7.86  0.26  0.20    900   600   700    1  [HS66] 28    072.01667  -68.79167
H88-312.KMHK1238   -4.011  0.028  -0.570  0.009  -0.004  0.028  -0.130  0.080   7.29   8.20  0.40   0.050   7.86  0.11  0.18    800   200   600    1  H88 312      085.38333  -68.83833
NGC1839.SL226      -7.087  0.011  -0.347  0.007   0.002  0.012   0.058  0.019   7.21   7.90  0.30   0.130   7.87  0.07  0.46   8000  1500  5300    1  NGC1839      076.51204  -68.62822
KMK88-68.KMHK1033  -3.691  0.057  -0.531  0.019  -0.182  0.057  -0.274  0.162   6.53   8.20  0.50   0.150   7.87  0.24  0.15    400   500   200    1  KMK88 68     082.97500  -68.76833
NGC1764.SL115      -6.355  0.010  -0.409  0.004   0.176  0.010   0.254  0.019   7.19   7.80  0.30   0.130   7.88  0.02  0.31   4500   500  2300    1  NGC1764      074.11667  -67.69500
KMHK74             -5.532  0.011  -0.231  0.004   0.145  0.011   0.203  0.022   8.08   7.80  0.30   0.130   7.88  0.37  0.13   1400  2300   650    1  KMHK74       071.49167  -69.05333
HS341.KMHK1028     -5.141  0.014  -0.571  0.005  -0.086  0.014   0.050  0.031   6.56   7.90  0.40   0.050   7.88  0.03  0.40   2200   300  1750    1  [HS66] 341   082.99583  -67.36833
KMHK245            -5.250  0.015  -0.395  0.008   0.328  0.016   0.414  0.025   6.88   7.90  0.40   0.130   7.89  0.05  0.05   1400   100   100    1  KMHK245      073.60833  -68.46167
KMHK118            -5.112  0.018  -0.466  0.007  -0.033  0.018   0.102  0.036   7.23   7.70  0.30   0.100   7.89  0.17  0.17   2000   500   900    1  KMHK118      072.33333  -69.12667
NGC1749.SL93       -6.226  0.018  -0.393  0.009   0.100  0.019   0.180  0.035   7.96   8.10  0.30   0.200   7.90  0.28  0.28   4000  2500  2400    1  NGC1749      073.73333  -68.18833
HS357.KMHK1097     -4.053  0.039  -0.549  0.018  -0.018  0.041  -0.072  0.096   6.76   8.20  0.30   0.150   7.90  0.23  0.22    900   300   700    1  [HS66] 357   083.62917  -68.69667
HS64.KMHK281       -4.836  0.026  -0.578  0.009  -0.051  0.026   0.066  0.053   7.30   8.20  0.30   0.150   7.90  0.08  0.19   1700   300   800    1  [HS66] 64    073.80417  -70.19167
KMHK1134           -4.043  0.029  -0.535  0.009  -0.096  0.029   0.155  0.061   7.28   8.00  0.30   0.130   7.91  0.16  0.02    950    50   100    1  KMHK1134     084.15000  -67.28667
HS326.KMHK963      -4.943  0.013  -0.537  0.005  -0.063  0.013  -0.003  0.032   6.61   8.10  0.30   0.050   7.91  0.04  0.24   1900   100  1100    1  [HS66] 326   082.41250  -66.76167
KMHK508            -4.188  0.026  -0.431  0.010   0.262  0.026   0.308  0.051   7.18   8.20  0.40   0.100   7.93  0.13  0.15    600   350   200    1  KMHK508      076.03750  -71.07667
KMHK207            -5.432  0.013  -0.266  0.007   0.093  0.014   0.133  0.026   7.90   7.95  0.50   0.130   7.94  0.25  0.13   1700  1300   700    1  KMHK207      073.25000  -69.62333
HS122              -5.319  0.022  -0.473  0.012   0.003  0.024   0.097  0.042   7.23   8.00  0.30   0.130   7.94  0.02  0.06   2500   200   300    1  [HS66] 122   076.91096  -68.79608
SL188              -6.163  0.011  -0.263  0.008   0.419  0.013   0.427  0.018   6.96   7.90  0.30   0.050   7.94  0.24  0.34   3000  2000  2000    1  [SL63] 188   075.63771  -68.82267
SL100.BH27C1       -4.615  0.026  -0.529  0.009  -0.074  0.026  -0.022  0.062   6.54   8.10  0.30   0.030   7.94  0.03  0.15   1500   100   700    1  [SL63] 100   073.68750  -70.38167
HS104.KMHK499      -4.754  0.027  -0.546  0.011  -0.053  0.028   0.062  0.064   7.28   8.20  0.30   0.090   7.94  0.16  0.39   1600   400  1400    1  [HS66] 104   076.00833  -70.62667
BRHT62a.H88-84     -5.049  0.021  -0.410  0.013   0.024  0.023  -0.058  0.058   6.81   8.00  0.40   0.130   7.95  0.05  0.06   1700   300   100    1  BRHT62a      075.01750  -67.80000
SL551.BRHT38a      -5.381  0.012  -0.315  0.005   0.030  0.012   0.131  0.026   7.20   7.90  0.30   0.130   7.95  0.14  0.05   1800   900   200    1  [SL63] 551   082.96250  -67.99167
BSDL2768           -4.330  0.023  -0.520  0.010  -0.108  0.024   0.078  0.050   6.79   7.80  0.40   0.250   7.95  0.14  0.30   1200   200  1000    1  BSDL2768     085.16250  -69.25833
HS33.KMHK119       -4.330  0.030  -0.520  0.010  -0.108  0.030   0.078  0.073   6.49   8.20  0.30   0.030   7.95  0.14  0.30   1200   200  1000    1  [HS66] 33    072.31667  -69.87500
HS36.KMHK126       -5.504  0.014  -0.313  0.006   0.069  0.014   0.135  0.028   7.82   8.10  0.30   0.130   7.96  0.13  0.09   2200   800   600    1  [HS66] 36    072.38750  -70.04833
SL425              -6.130  0.010  -0.332  0.005   0.335  0.011   0.430  0.017   6.86   8.20  0.40   0.050   7.96  0.11  0.21   3700   300  1800    1  [SL63] 425   080.60417  -68.78500
KMHK914            -5.400  0.012  -0.404  0.006   0.100  0.013   0.187  0.025   7.72   8.00  0.30   0.130   7.97  0.03  0.19   2500   200  1000    1  KMHK914      081.74583  -68.45167
H88-36.H80F1-28    -3.597  0.050  -0.497  0.018  -0.001  0.051  -0.008  0.109   6.78   8.00  0.30   0.130   7.98  0.05  0.08    700    50    50    1  H88 36       073.93750  -68.55000
SL160.KMHK402      -5.086  0.022  -0.075  0.011   0.032  0.023   0.049  0.048  10.00   8.10  0.30   0.150   7.98  0.10  0.23    750   550   550    1  [SL63] 160   074.86250  -70.41667
KMHK262            -3.584  0.047  -0.533  0.018   0.038  0.048   0.071  0.105   7.39   8.20  0.30   0.100   7.98  0.39  0.16    700   400   500    1  KMHK262      073.65833  -70.81000
SL162.H88-79       -4.997  0.025  -0.242  0.014   0.410  0.027   0.309  0.048  10.00   8.60  0.30   0.150   7.98  0.13  0.23   1200   400   600    1  [SL63] 162   074.97083  -67.92333
HS374.KMHK1165     -4.226  0.027  -0.395  0.011   0.136  0.028   0.230  0.056   7.19   8.05  0.40   0.130   7.99  0.03  0.07    750   100    50    1  [HS66] 374   084.57083  -68.56667
BSDL58             -4.579  0.021  -0.496  0.007  -0.111  0.021   0.024  0.049   7.28   8.00  0.40   0.130   7.99  0.01  0.38   1500   100  1250    1  BSDL58       072.37917  -69.64500
SL311              -4.840  0.032  -0.489  0.016   0.057  0.034  -0.169  0.084   7.58   8.20  0.40   0.150   7.99  0.13  0.39   1900   300  1450    1  [SL63] 311   078.23833  -68.94250
HS39.KMHK154       -4.855  0.023   0.057  0.012   0.176  0.025   0.090  0.052  10.00   8.40  0.40   0.100   7.99  0.07  0.30    400   350   200    1  [HS66] 39    072.76250  -69.24833
HS109              -5.637  0.017  -0.305  0.011   0.052  0.019   0.064  0.032   7.21   8.00  0.30   0.030   8.00  0.16  0.30   2500  1500  1650    0  [HS66] 109   076.40392  -68.71844
BSDL1400           -4.097  0.037  -0.486  0.018   0.118  0.039   0.277  0.070   7.56   8.10  0.40   0.100   8.00  0.21  0.13    650   550   150    1  BSDL1400     080.55833  -68.76500
KMHK985            -5.098  0.022  -0.365  0.007  -0.064  0.022   0.131  0.040   7.20   7.80  0.30   0.200   8.00  0.16  0.26   1900   800  1550    1  KMHK985      082.56667  -68.45833
H88-326            -4.050  0.030  -0.280  0.019   0.459  0.034   0.364  0.058   8.96   8.45  0.30   0.100   8.00  0.31  0.23    500   600   300    1  H88 326      085.87083  -69.16167
SL383.KMHK775      -5.778  0.010  -0.325  0.004  -0.008  0.010  -0.010  0.023   7.30   7.90  0.30   0.130   8.01  0.03  0.02   3200   300   200    1  [SL63] 383   079.88750  -68.27333
HS61.KMHK266       -3.926  0.035  -0.390  0.010  -0.127  0.035  -0.090  0.098  10.00   8.30  0.40   0.050   8.01  0.16  0.21    650   450   450    1  [HS66] 61    073.79583  -67.49833
HS30.KMHK109       -4.797  0.019  -0.414  0.007   0.039  0.019   0.141  0.044   7.56   8.30  0.30   0.100   8.01  0.13  0.21   1600   600   950    1  [HS66] 30    072.11250  -69.36833
SL169.BRHT26a      -4.293  0.028  -0.513  0.008   0.028  0.028  -0.080  0.076   7.29   8.40  0.30   0.030   8.01  0.21  0.36   1200   400  1000    1  [SL63] 169   075.09167  -70.94500
H88-320.KMHK1248   -4.232  0.027  -0.501  0.012   0.050  0.028  -0.071  0.067   7.52   8.00  0.40   0.130   8.02  0.02  0.05   1200   100   100    1  H88 320      085.49167  -69.04667
HS83.KMHK421       -4.568  0.035  -0.269  0.022   0.165  0.039   0.130  0.069   8.05   8.10  0.30   0.130   8.02  0.22  0.20    800   700   250    1  [HS66] 83    075.11187  -68.77283
SL596.KMHK1123     -4.659  0.032  -0.444  0.011  -0.010  0.032  -0.297  0.092   6.80   8.30  0.40   0.150   8.03  0.12  0.45   1700   300  1500    1  [SL63] 596   083.92500  -68.66833
H88-57.H80F1-39    -4.025  0.041  -0.485  0.017   0.010  0.042   0.127  0.083   7.53   8.00  0.30   0.130   8.04  0.05  0.03    850   150    50    1  H88 57       074.55833  -68.94167
HS43.H88-6         -4.599  0.025  -0.228  0.010   0.086  0.026  -0.039  0.065   6.82   8.20  0.30   0.130   8.05  0.14  0.06   1000   400   150    1  [HS66] 43    072.91667  -68.76667
SL541              -4.753  0.025  -0.365  0.014   0.068  0.027   0.042  0.051  10.00   7.90  0.30   0.130   8.05  0.06  0.17   1400   300   400    2  [SL63] 541   082.82917  -68.81667
H88-13.H80F1-12    -4.230  0.030  -0.165  0.012   0.044  0.031  -0.002  0.071   6.81   8.00  0.40   0.130   8.05  0.02  0.15    600    50   200    1  H88 13       073.22500  -69.25500
SL71.KMHK194       -4.715  0.025  -0.033  0.014   0.366  0.027   0.186  0.052   8.93   8.30  0.30   0.150   8.05  0.14  0.19    600   500   300    1  [SL63] 71    073.22917  -67.45000
BSDL103            -3.560  0.056  -0.300  0.022  -0.153  0.057  -0.100  0.148   7.27   8.25  0.30   0.150   8.05  0.27  0.16    350   600   150    1  BSDL103      072.76250  -70.01167
H88-69.H80F1-42    -4.973  0.020  -0.128  0.008   0.067  0.020   0.085  0.040   7.21   8.60  0.50   0.100   8.05  0.10  0.23   1000   500   600    1  H88 69       074.69167  -68.63833
KMHK368            -4.139  0.031  -0.378  0.015   0.090  0.033   0.164  0.065   7.76   8.10  0.30   0.130   8.06  0.04  0.08    850   100   100    1  KMHK368      074.48333  -70.33167
BSDL2489           -4.487  0.016  -0.314  0.006   0.251  0.016   0.366  0.029   7.19   8.20  0.30   0.020   8.07  0.14  0.17    950   450   450    1  BSDL2489     083.92083  -67.70167
KMHK1159           -3.329  0.090  -0.112  0.025  -0.114  0.089  -0.030  0.220  10.00   8.20  0.30   0.100   8.07  0.33  0.06    250   450    50    1  KMHK1159     084.50417  -67.26000
KMHK876            -4.906  0.022  -0.237  0.010   0.090  0.023   0.149  0.043   8.31   8.10  0.30   0.200   8.08  0.23  0.15   1500  1000   700    1  KMHK876      081.26250  -68.73333
HS366.KMHK1142     -4.921  0.017  -0.402  0.007   0.075  0.017   0.261  0.037   7.68   7.90  0.30   0.100   8.08  0.18  0.31   1900   600  1300    1  [HS66] 366   084.27083  -67.87000
SL179.KMHK449      -4.078  0.036  -0.139  0.016   0.082  0.037   0.004  0.086   6.81   8.50  0.40   0.100   8.08  0.25  0.16    500   600   300    1  [SL63] 179   075.43946  -67.09553
NGC2053.SL623      -6.456  0.013  -0.291  0.005   0.043  0.013   0.183  0.027   7.48   8.25  0.40   0.100   8.09  0.18  0.36   6500  2500  4000    1  NGC2053      084.41667  -67.41333
BSDL210            -6.132  0.008  -0.077  0.005   0.704  0.009   0.523  0.013   9.48   8.40  0.40   0.100   8.09  0.24  0.49   2500  3000  1500    1  BSDL210      073.65417  -68.96000
KMK88-69           -4.877  0.017  -0.190  0.008   0.214  0.018   0.249  0.034   8.28   8.00  0.50   0.130   8.10  0.22  0.21   1200  1000   500    1  KMK88 69     082.97083  -68.78500
SL175              -4.291  0.038  -0.472  0.013  -0.061  0.038   0.276  0.076   7.23   7.80  0.30   0.100   8.10  0.12  0.22   1200   400   650    1  [SL63] 175   075.20833  -71.05444
H88-45.H80F1-30    -4.759  0.019  -0.289  0.009  -0.013  0.020   0.109  0.044   7.44   8.00  0.30   0.130   8.11  0.06  0.05   1600   200   200    1  H88 45       074.16250  -68.66667
NGC1695.SL40       -6.907  0.008  -0.258  0.004   0.147  0.009   0.216  0.017   8.16   8.00  0.30   0.150   8.12  0.17  0.23  10000  4000  4000    1  NGC1695      071.93333  -69.37333
HS52.KMHK193       -4.411  0.022  -0.123  0.010   0.166  0.023   0.011  0.050   6.82   8.30  0.30   0.050   8.12  0.38  0.17    750  1450   550    1  [HS66] 52    073.17500  -68.78167
BSDL44             -3.360  0.053  -0.399  0.021  -0.004  0.054  -0.065  0.152   7.21   8.10  0.40   0.130   8.13  0.13  0.12    650    50   400    1  BSDL44       072.20417  -69.39833
SL105.KMHK280      -6.850  0.010  -0.220  0.005   0.071  0.011   0.152  0.022   7.68   8.00  0.30   0.130   8.14  0.05  0.05  10000  1000  1000    1  [SL63] 105   073.85000  -68.54167
SL107.KMHK291      -4.456  0.025  -0.328  0.011   0.046  0.026   0.146  0.053   7.20   8.10  0.40   0.130   8.14  0.03  0.05   1400   100   200    1  [SL63] 107   073.93750  -68.28167
H88-90.KMHK438     -4.519  0.035  -0.299  0.016   0.160  0.037  -0.197  0.115  10.00   8.40  0.30   0.050   8.14  0.26  0.26   1200  1000   700    1  H88 90       075.31212  -67.53889
BSDL94             -4.977  0.012  -0.033  0.006   0.562  0.013   0.507  0.021   8.99   7.70  0.30   0.050   8.14  0.27  0.12    950   950   350    1  BSDL94       072.73750  -69.12333
SL51.KMHK131       -3.972  0.036  -0.350  0.011  -0.041  0.036   0.375  0.070  10.00   8.20  0.30   0.130   8.15  0.04  0.07    950    50   200    1  [SL63] 51    072.57917  -67.08833
NGC1791.SL155      -5.944  0.019  -0.233  0.010   0.221  0.020   0.266  0.041   7.00   8.10  0.30   0.130   8.15  0.04  0.41   4000   500  2500    1  NGC1791      074.77500  -70.16833
KMHK156            -6.318  0.009  -0.221  0.005   0.253  0.010   0.285  0.016   7.18   7.60  0.30   0.150   8.15  0.14  0.24   5500  2000  2300    1  KMHK156      072.75000  -70.02333
KMHK587            -4.419  0.034  -0.337  0.016   0.044  0.036   0.062  0.067  10.00   8.10  0.30   0.130   8.16  0.02  0.19   1400   100   500    1  KMHK587      077.13333  -70.44833
BSDL547            -5.441  0.024  -0.274  0.010   0.128  0.025   0.158  0.050   7.20   8.30  0.40   0.050   8.16  0.08  0.36   3000   500  2100    1  BSDL547      076.11250  -70.66500
SL176              -5.426  0.016  -0.231  0.010   0.282  0.018   0.498  0.026   6.92   8.20  0.40   0.130   8.17  0.03  0.07   2500   200   500    1  [SL63] 176   075.37167  -68.71217
HS27.KMHK99        -3.914  0.032  -0.378  0.009  -0.063  0.032   0.016  0.081   7.28   8.20  0.30   0.100   8.17  0.05  0.33   1000   200   800    1  [HS66] 27    071.86250  -69.44333
SL249.KMHK562      -6.324  0.014  -0.251  0.007   0.136  0.015   0.154  0.031   8.29   8.10  0.30   0.200   8.17  0.14  0.37   6500  2000  4000    1  [SL63] 249   076.89583  -70.74833
HS31.KMHK113       -4.169  0.033  -0.269  0.014   0.032  0.034   0.233  0.070   7.20   7.90  0.30   0.180   8.18  0.11  0.21   1100   200   600    1  [HS66] 31    072.23333  -68.90333
KMHK980            -3.569  0.041  -0.369  0.016   0.017  0.042   0.061  0.104   7.21   8.25  0.40   0.130   8.19  0.06  0.06    700   150    50    1  KMHK980      082.54583  -67.67500
H88-28.H80F1-22    -4.361  0.022  -0.215  0.010   0.297  0.023   0.323  0.042   8.08   8.30  0.30   0.030   8.19  0.12  0.11   1000   300   400    1  H88 28       073.78750  -68.69667
SL75.KMHK199       -6.488  0.014  -0.222  0.006   0.089  0.014   0.114  0.030   7.19   8.10  0.40   0.150   8.20  0.10  0.50   8000  2000  5800    1  [SL63] 75    073.22500  -68.91833
HS40.KMHK159       -3.987  0.043  -0.066  0.025   0.313  0.047   0.016  0.098  10.00   8.40  0.40   0.050   8.20  0.25  0.20    450   650   250    1  [HS66] 40    072.80000  -69.97167
HS344              -3.973  0.034  -0.309  0.012  -0.040  0.034   0.130  0.072   7.38   8.20  0.30   0.130   8.22  0.03  0.10   1000   100   200    1  [HS66] 344   083.02500  -67.19333
HS86.KMHK435       -3.950  0.039  -0.207  0.020   0.068  0.042   0.205  0.076   7.73   8.30  0.50   0.130   8.27  0.10  0.17   1000   100   450    1  [HS66] 86    075.25417  -67.91667
SL594.KMHK1117     -4.682  0.023  -0.140  0.012   0.374  0.025   0.340  0.041   8.94   8.50  0.30   0.150   8.27  0.13  0.24   1400   300   800    1  [SL63] 594   083.85417  -68.69167
SL628.KMHK1166     -6.441  0.009  -0.158  0.004   0.280  0.009   0.337  0.017   6.95   8.00  0.40   0.150   8.30  0.14  0.16   8000  3000  3500    1  [SL63] 628   084.62500  -67.33167
NGC1953.SL459      -7.072  0.008  -0.158  0.005   0.107  0.009   0.130  0.014   8.40   7.90  0.30   0.150   8.30  0.18  0.23  16000  7000  9500    1  NGC1953      081.36250  -68.83833
HS80.KMHK408       -4.207  0.040  -0.003  0.034   0.630  0.049   0.621  0.057  10.00   8.40  0.30   0.130   8.32  0.16  0.06    650   300   100    1  [HS66] 80    074.95000  -68.95833
NGC1734.SL83       -5.171  0.023  -0.179  0.011   0.115  0.024   0.213  0.045   7.60   8.30  0.40   0.050   8.33  0.10  0.23   3000   700  1400    1  NGC1734      073.38750  -68.76833
HS377.KMHK1182     -4.979  0.032  -0.169  0.012   0.113  0.032   0.278  0.059   8.49   8.25  0.30   0.250   8.33  0.24  0.19   2500  1500  1100    1  [HS66] 377   084.83333  -67.05000
H88-30.H80F1-24    -5.125  0.023  -0.175  0.011   0.104  0.024   0.181  0.046   7.89   8.20  0.40   0.150   8.34  0.08  0.50   3000   500  2400    2  H88 30       073.85833  -68.83833
SL580.KMHK1086     -5.112  0.021  -0.148  0.011   0.115  0.023   0.244  0.043   8.44   8.30  0.40   0.180   8.34  0.13  0.21   3000   700  1400    1  [SL63] 580   083.54583  -68.59167
SL246.KMHK561      -5.107  0.036  -0.164  0.015   0.094  0.037   0.214  0.074   8.38   8.10  0.30   0.150   8.34  0.08  0.28   3000   500  1600    1  [SL63] 246   076.85000  -70.81000
SL58.KMHK153       -6.143  0.010  -0.135  0.005   0.202  0.011   0.183  0.020   7.89   8.00  0.30   0.050   8.37  0.12  0.18   7500  2500  2500    1  [SL63] 58    072.74583  -69.63667
KMHK103            -3.614  0.051  -0.173  0.022   0.123  0.052   0.060  0.119   7.89   8.30  0.30   0.130   8.39  0.01  0.33    850   100   550    1  KMHK103      071.92083  -70.96167
SL117.KMHK314      -7.142  0.010  -0.134  0.007   0.173  0.012   0.186  0.021   8.29   8.10  0.40   0.100   8.39  0.18  0.33  20000  9000 14000    1  [SL63] 117   074.09167  -68.96667
H88-46.H80F1-31    -4.525  0.022  -0.086  0.012   0.297  0.024   0.264  0.042   8.47   8.00  0.30   0.100   8.39  0.11  0.39   1600   400  1100    1  H88 46       074.16250  -68.63500
SL171.BRHT26b      -4.537  0.029  -0.112  0.013   0.233  0.030   0.225  0.061   8.41   8.35  0.30   0.130   8.40  0.02  0.05   1700   150   300    1  [SL63] 171   075.13750  -70.94833
