#
# http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/ApJ/751/122/table1
#
# Age1: log(age), Hunter et al. (2003). 10.00 --> No age determination
# Age2: log(age), Glatt et al. 2010 (CMD age)
# E(B-V): Glatt et al. 2010, E(B-V) CMD color excess 
# Age: log(age), MASSCLEAN
# E, e: upper and lower uncertainties.
#
#Name                VMag     e      U-B     e      B-V     e      V-R     e     Age1   Age2   e    E(B-V)   Age    E     e     Mass   E     e    G10  SimbadName      _RA        _DE   
#                     mag    mag     mag    mag     mag    mag     mag    mag    [yr]   [yr]  [yr]    mag    [yr]  [yr]  [yr]   Msun  Msun  Msun                       deg        deg   
BSDL1715           -5.468  0.014  -0.844  0.005  -0.236  0.014  -0.139  0.035   6.63   7.50  0.40   0.100   7.27  0.06  0.14    950   850   750    1  BSDL1715     081.60000  -69.21000
H88-316            -5.096  0.024  -0.856  0.010  -0.142  0.025  -0.045  0.052   7.21   8.00  0.40   0.300   7.27  0.30  0.17    950   850   750    1  H88 316      085.41250  -69.23000
NGC1767.SL120      -8.405  0.004  -0.662  0.002   0.079  0.004   0.251  0.006   7.00   7.30  0.40   0.130   7.28  0.11  0.21  10000  5000  4500    1  NGC1767      074.11250  -69.40333
KMHK971            -6.503  0.006  -0.256  0.004   0.939  0.007   0.896  0.008  10.00   7.40  0.50   0.130   7.30  0.02  0.01    850   150   150    1  KMHK971      082.47917  -67.31000
NGC2092.ESO57SC22  -6.886  0.007  -0.599  0.004   0.483  0.008   0.561  0.011   6.70   7.40  0.30   0.130   7.30  0.01  0.03   2500   200   500    1  NGC2092      085.34167  -69.22333
NGC2009.SL534      -7.938  0.004  -0.706  0.002   0.166  0.004   0.406  0.006   7.12   7.50  0.30   0.130   7.30  0.10  0.25   8500  2500  5800    1  NGC2009      082.74583  -69.18500
KMHK900            -4.448  0.018  -0.883  0.006  -0.195  0.018  -0.021  0.047   6.61   7.40  0.50   0.050   7.31  0.03  0.35    250   650    50    1  KMHK900      081.62083  -67.70000
KMHK205            -5.581  0.010  -0.810  0.003  -0.133  0.010  -0.052  0.025   6.45   7.70  0.40   0.050   7.32  0.07  0.15   1700   300  1500    1  KMHK205      073.24583  -69.36667
SL601.BRHT16a      -7.134  0.005  -0.826  0.002   0.202  0.005   0.487  0.008   6.85   7.30  0.40   0.130   7.33  0.02  0.01   4000   500   300    1  [SL63] 601   084.04167  -68.91167
KMHK164            -5.022  0.014  -0.837  0.005  -0.182  0.014  -0.043  0.033   6.63   7.60  0.30   0.090   7.33  0.18  0.15    800   700   600    1  KMHK164      072.84583  -69.58500
