#
# Age1: log(age)_DB
# Age2: log(age)_asteca
# Age3: log(age)_literature
#
# E_BV1: E_BV_DB
# E_BV2: E_BV_asteca
# E_BV3: E_BV_lit
#
# Mass1: Mass_DB
# Mass2: Mass_asteca
#
#DB   GAL      NAME   Age1  e_age  Age2  e_age   Age3  e_age      Mass1   e_mass    Mass2   e_mass    E_BV1    E_BV2   e_E_BV    E_BV3   e_E_BV
G10   LMC      SL35   8.80   0.30   9.1   -1.0   9.18   0.07      -1.00       -1     1044     -1.0     0.05     0.08     -1.0    -1.00    -1.00
G10   LMC   KMHK229   8.10   0.50  8.95   -1.0   9.00   0.10      -1.00       -1     1187     -1.0     0.15      0.2     -1.0     0.10    -1.00
G10   LMC     SL510   8.30   0.40     8   -1.0   8.11   0.77      -1.00       -1     1495     -1.0     0.10     0.06     -1.0     0.08    -1.00
G10   SMC    NGC294   8.45   0.30  8.65   -1.0   8.51   0.47      -1.00       -1     1489     -1.0     0.10        0     -1.0     0.06     0.02
G10   SMC       L30   7.80   0.30   8.1   -1.0   8.20   0.44      -1.00       -1     1471     -1.0     0.20     0.02     -1.0     0.05     0.02
G10   SMC       L49   7.40   0.30   7.3   -1.0   7.40   0.20      -1.00       -1     1396     -1.0     0.10     0.07     -1.0     0.07     0.02
G10   LMC     SL162   8.60   0.30  8.95   -1.0   9.18   0.07      -1.00       -1     1234     -1.0     0.15     0.15     -1.0    -1.00    -1.00
G10   SMC       L34   8.35   0.40   8.5   -1.0   8.40   0.48      -1.00       -1     1467     -1.0     0.09     0.02     -1.0     0.05     0.02
G10   LMC     SL678   8.80   0.50   9.1   -1.0   9.18   0.20      -1.00       -1     1433     -1.0     0.10     0.06     -1.0     0.05     0.02
G10   LMC      SL96   8.70   0.30   9.1   -1.0   9.20   0.06      -1.00       -1     1423     -1.0     0.05     0.15     -1.0    -1.00    -1.00
G10   SMC       L63   7.80   0.30   7.8   -1.0   8.04   0.27      -1.00       -1     1372     -1.0     0.15     0.13     -1.0     0.06     0.02
G10   LMC     SL579   7.80   0.30   7.5   -1.0   8.15   0.10      -1.00       -1     1285     -1.0     0.12     0.06     -1.0     0.07     0.05
G10   LMC     SL397   7.80   0.30  7.85   -1.0   8.20   0.10      -1.00       -1     1450     -1.0     0.15     0.16     -1.0     0.08     0.05
G10   LMC     SL551   7.90   0.30     8   -1.0   8.15   0.10      -1.00       -1     1476     -1.0     0.22     0.14     -1.0     0.09     0.05
G10   SMC       L72   7.50   0.30  7.75   -1.0   7.40   0.40      -1.00       -1     1484     -1.0     0.08     0.04     -1.0     0.14     0.02
G10   LMC     SL505   8.80   0.50  8.95   -1.0   8.95   0.33      -1.00       -1     1434     -1.0     0.15     0.06     -1.0     0.07     0.02
G10   SMC       L45   8.20   0.50   7.8   -1.0   8.15   0.29      -1.00       -1     1434     -1.0     0.08     0.04     -1.0     0.07     0.02
G10   LMC    SL446A   8.80   0.50   9.4   -1.0   9.34   0.23      -1.00       -1     1184     -1.0     0.10        0     -1.0     0.06     0.02
G10   LMC     SL132   8.60   0.40  9.05   -1.0   9.20   0.06      -1.00       -1     1455     -1.0     0.03     0.13     -1.0    -1.00    -1.00
G10   LMC     SL674   8.80   0.50  9.25   -1.0   9.36   0.17      -1.00       -1     1106     -1.0     0.10     0.02     -1.0     0.05     0.02
G10   LMC   NGC2093   7.70   0.40  7.75   -1.0   8.40   0.40      -1.00       -1     1327     -1.0     0.10      0.2     -1.0     0.07    -1.00
P12   LMC   BSDL268   7.51   0.16  7.95   -1.0   7.95   0.10    1900.00      500     1446     -1.0    -1.00     0.04     -1.0     0.10     0.05
P12   LMC   BRHT45A   7.65   0.12     8   -1.0   8.10   0.10     900.00      550     1319     -1.0    -1.00     0.07     -1.0     0.08     0.05
P12   LMC   BRHT38B   8.00   0.12  7.95   -1.0   8.25   0.10    1400.00      400     1477     -1.0    -1.00     0.12     -1.0     0.08     0.05
P12   LMC   BSDL341   7.64   0.09     8   -1.0   8.45   0.10     650.00      150     1206     -1.0    -1.00     0.19     -1.0     0.09     0.05
P12   LMC   KMHK378   7.37   0.13  6.95   -1.0   8.45   0.10    1450.00      525     1293     -1.0    -1.00      0.2     -1.0     0.07     0.05
P12   LMC   H88-279   7.97   0.17  8.25   -1.0   8.10   0.10    1100.00      450     1396     -1.0    -1.00     0.02     -1.0     0.08     0.05
P12   LMC   H88-320   8.02   0.04  8.05   -1.0   8.20   0.10    1200.00      100     1423     -1.0    -1.00      0.2     -1.0     0.17     0.05
P12   LMC      HS38   8.45   0.32   8.8   -1.0   8.60   0.25    1650.00     1150     1497     -1.0    -1.00     0.03     -1.0     0.05    -1.00
P12   LMC   H88-265   7.98   0.09     8   -1.0   8.30   0.10    1500.00      250     1358     -1.0    -1.00      0.2     -1.0     0.05     0.05
P12   LMC   H88-245   8.02   0.22   8.1   -1.0   8.20   0.62     550.00      500     1354     -1.0    -1.00     0.14     -1.0     0.08    -1.00
P12   LMC    H88-40   8.71   0.17  8.85   -1.0   8.85   0.07    2850.00      650     1357     -1.0    -1.00     0.11     -1.0     0.06    -1.00
P12   LMC    H88-55   7.92   0.11  8.85   -1.0   8.70   0.20     325.00      225     1453     -1.0    -1.00     0.04     -1.0     0.06    -1.00
P12   LMC   H88-235   8.55   0.05   8.7   -1.0   8.75   0.10    1600.00      250     1488     -1.0    -1.00      0.1     -1.0     0.06     0.05
P12   LMC     HS390   7.92   0.12  7.85   -1.0   8.25   0.10     950.00      125     1257     -1.0    -1.00     0.32     -1.0     0.23     0.05
P12   LMC   H88-316   7.27   0.23  7.25   -1.0   8.25   0.10     950.00      800     1182     -1.0    -1.00     0.24     -1.0     0.15     0.05
P12   LMC    H88-52   8.73   0.07     9   -1.0   9.15   0.07    2500.00      750     1360     -1.0    -1.00     0.11     -1.0    -1.00    -1.00
P12   LMC    H88-26   8.44   0.15  9.05   -1.0   8.90   0.13     600.00      200     1450     -1.0    -1.00     0.06     -1.0     0.06    -1.00
P12   LMC   NGC1793   7.79   0.20  7.95   -1.0   8.05   0.10    6500.00     2500     1453     -1.0    -1.00     0.12     -1.0     0.11     0.05
P12   LMC  KMHK1055   8.75   0.14   6.9   -1.0   9.00   0.10    3000.00     1000     1482     -1.0    -1.00      0.1     -1.0     0.06    -1.00
P12   LMC  KMHK1045   8.86   0.04     9   -1.0   8.80   0.16     750.00      150     1469     -1.0    -1.00     0.04     -1.0     0.06    -1.00
P12   LMC    H88-33   8.13   0.06  7.85   -1.0   8.35   0.10     900.00      150     1363     -1.0    -1.00     0.12     -1.0     0.07     0.05
P12   LMC   NGC1839   7.87   0.27  8.05   -1.0   8.10   0.20    8000.00     3400     1392     -1.0    -1.00     0.12     -1.0     0.15     0.03
P12   LMC     HS247   8.08   0.20   8.2   -1.0   8.55   0.10     650.00      600     1436     -1.0    -1.00      0.2     -1.0     0.13     0.05
P12   LMC   NGC1863   7.45   0.20  7.45   -1.0   7.70   0.20    9500.00     5250     1473     -1.0    -1.00     0.17     -1.0     0.15     0.03
P12   LMC   H88-269   8.40   0.36   8.9   -1.0   8.90   0.10    2700.00     1825     1398     -1.0    -1.00     0.08     -1.0     0.05     0.05
P12   LMC   KMHK975   7.88   0.22  8.25   -1.0   8.30   0.10     200.00      300     1489     -1.0    -1.00     0.04     -1.0     0.05     0.05
P12   LMC    H88-67   8.84   0.07  9.05   -1.0   9.23   0.06    1200.00      200     1411     -1.0    -1.00     0.09     -1.0    -1.00    -1.00
P12   LMC     SL218   7.73   0.09   7.6   -1.0   7.70   0.20    2700.00      750     1367     -1.0    -1.00     0.14     -1.0     0.15     0.03
P12   LMC   NGC1836   8.30   0.18   8.6   -1.0   8.60   0.25   13000.00     4250     1209     -1.0    -1.00      0.1     -1.0     0.06     0.02
P12   LMC   NGC1917   9.46   0.08     9   -1.0   9.11   0.15  100000.00     5000     1478     -1.0    -1.00     0.04     -1.0    -1.00    -1.00
P12   LMC   NGC1751   9.06   0.01  9.05   -1.0   9.11   0.15   65000.00    10000     1496     -1.0    -1.00     0.18     -1.0    -1.00    -1.00
P12   LMC  KMHK1023   8.91   0.22   9.2   -1.0   9.23   0.06     700.00      450     1491     -1.0    -1.00     0.32     -1.0    -1.00    -1.00
P12   LMC     SL290   8.20   0.45  9.05   -1.0   9.08   0.08    2800.00     1400     1498     -1.0    -1.00     0.06     -1.0    -1.00    -1.00
P12   LMC   NGC1860   7.80   0.27   8.8   -1.0   8.40   0.20    2650.00     2050     1474     -1.0    -1.00        0     -1.0     0.08     0.02
P12   LMC     SL244   9.43   0.01   9.1   -1.0   9.08   0.25   35000.00     4000     1411     -1.0    -1.00     0.04     -1.0     0.06     0.02
P12   LMC   KMHK229   9.05   0.30  8.95   -1.0   9.00   0.10    8500.00     4750     1187     -1.0    -1.00      0.2     -1.0     0.10    -1.00
P12   LMC     SL154   8.29   0.35  8.85   -1.0   8.70   0.20    1775.00     1400     1114     -1.0    -1.00     0.02     -1.0     0.06    -1.00
P12   LMC     SL588   8.70   0.15  8.85   -1.0   8.60   0.25    7000.00     2500     1475     -1.0    -1.00     0.02     -1.0     0.06    -1.00
P12   LMC     SL162   8.46   0.48  8.95   -1.0   9.18   0.07    3350.00     2150     1234     -1.0    -1.00     0.15     -1.0    -1.00    -1.00
P12   LMC     SL151   9.19   0.20  9.15   -1.0   9.18   0.07   14000.00     6500     1361     -1.0    -1.00     0.02     -1.0    -1.00    -1.00
P12   LMC      SL96   8.87   0.03   9.1   -1.0   9.20   0.06    3000.00      500     1423     -1.0    -1.00     0.15     -1.0    -1.00    -1.00
P12   LMC   NGC2108   7.41   0.14  9.05   -1.0   9.10   0.16     700.00      275     1436     -1.0    -1.00     0.04     -1.0    -1.00    -1.00
P12   LMC     SL579   7.75   0.07   7.5   -1.0   8.15   0.10    3000.00      650     1285     -1.0    -1.00     0.06     -1.0     0.07     0.05
P12   LMC   NGC1865   8.38   0.20  8.75   -1.0   8.70   0.20   12000.00     6000     1424     -1.0    -1.00        0     -1.0     0.06     0.02
P12   LMC     SL397   7.71   0.20  7.85   -1.0   8.20   0.10    6000.00     2750     1450     -1.0    -1.00     0.16     -1.0     0.08     0.05
P12   LMC     SL551   7.95   0.10     8   -1.0   8.15   0.10    1800.00      550     1476     -1.0    -1.00     0.14     -1.0     0.09     0.05
P12   LMC     SL132   8.79   0.36  9.05   -1.0   9.20   0.06    1800.00     1000     1455     -1.0    -1.00     0.13     -1.0    -1.00    -1.00
P12   LMC   NGC2093   7.48   0.15  7.75   -1.0   8.40   0.40    6500.00     2650     1327     -1.0    -1.00      0.2     -1.0     0.07    -1.00
