#
# Age1: log(age)_DB
# Age2: log(age)_asteca
# Age3: log(age)_literature
#
# E_BV1: E_BV_DB
# E_BV2: E_BV_asteca
# E_BV3: E_BV_lit
#
# Mass1: Mass_DB
# Mass2: Mass_asteca
#
#DB   GAL      NAME   Age1  e_age  Age2  e_age   Age3  e_age      Mass1   e_mass    Mass2   e_mass    E_BV1    E_BV2   e_E_BV    E_BV3   e_E_BV
P00   LMC     SL230   7.30   0.05     8   -1.0   7.90   0.10      -1.00       -1     1437     -1.0    -1.00     0.03     -1.0     0.08     0.05
P00   LMC   NGC1860   8.40   0.10   8.8   -1.0   8.40   0.20      -1.00       -1     1474     -1.0    -1.00        0     -1.0     0.08     0.02
P00   LMC   OGLE298   6.70   0.10  8.35   -1.0   8.30   0.10      -1.00       -1     1038     -1.0    -1.00      0.1     -1.0     0.13     0.05
P00   LMC     SL300   8.80   0.10  8.15   -1.0   8.60   0.25      -1.00       -1     1416     -1.0    -1.00     0.16     -1.0     0.06    -1.00
P00   LMC   NGC1846   9.00  99.99  9.15   -1.0   9.15   0.14      -1.00       -1     1275     -1.0    -1.00     0.04     -1.0    -1.00    -1.00
P00   LMC   NGC1865   8.60   0.05  8.75   -1.0   8.70   0.20      -1.00       -1     1424     -1.0    -1.00        0     -1.0     0.06     0.02
H03   SMC       B47   7.51   0.24  9.05   -1.0   9.15   0.14    2228.44       -1     1457     -1.0    -1.00     0.02     -1.0     0.01    -1.00
H03   LMC   BSDL268   6.81   0.15  7.95   -1.0   7.95   0.10     201.37       -1     1446     -1.0    -1.00     0.04     -1.0     0.10     0.05
H03   SMC      B112   7.43   0.15  8.95   -1.0   9.20   0.09    5395.11       -1     1395     -1.0    -1.00     0.04     -1.0     0.05    -1.00
H03   LMC   BRHT45A   6.73   0.15     8   -1.0   8.10   0.10      34.99       -1     1319     -1.0    -1.00     0.07     -1.0     0.08     0.05
H03   LMC   BRHT38B   7.21   0.15  7.95   -1.0   8.25   0.10     129.42       -1     1477     -1.0    -1.00     0.12     -1.0     0.08     0.05
H03   LMC   BSDL341   7.28   0.15     8   -1.0   8.45   0.10     104.71       -1     1206     -1.0    -1.00     0.19     -1.0     0.09     0.05
H03   LMC   KMHK378   6.88   0.15  6.95   -1.0   8.45   0.10     334.20       -1     1293     -1.0    -1.00      0.2     -1.0     0.07     0.05
H03   LMC   H88-279   7.18   0.15  8.25   -1.0   8.10   0.10     116.95       -1     1396     -1.0    -1.00     0.02     -1.0     0.08     0.05
H03   LMC   H88-320   7.52   0.54  8.05   -1.0   8.20   0.10     194.09       -1     1423     -1.0    -1.00      0.2     -1.0     0.17     0.05
H03   LMC      HS38   8.35   0.09   8.8   -1.0   8.60   0.25     839.78       23     1497     -1.0    -1.00     0.03     -1.0     0.05    -1.00
H03   LMC   H88-265   7.69   0.54     8   -1.0   8.30   0.10     432.51       -1     1358     -1.0    -1.00      0.2     -1.0     0.05     0.05
H03   LMC   H88-245   8.93   0.09   8.1   -1.0   8.20   0.62    1803.02       -1     1354     -1.0    -1.00     0.14     -1.0     0.08    -1.00
H03   LMC    H88-40   8.96   0.09  8.85   -1.0   8.85   0.07    1976.97       -1     1357     -1.0    -1.00     0.11     -1.0     0.06    -1.00
H03   SMC       B39   8.25   0.15  8.75   -1.0   9.18   0.10     737.90       -1     1360     -1.0    -1.00     0.04     -1.0     0.01    -1.00
H03   LMC    H88-55   8.49   0.09  8.85   -1.0   8.70   0.20    1169.50       -1     1453     -1.0    -1.00     0.04     -1.0     0.06    -1.00
H03   LMC   H88-235   8.55   0.09   8.7   -1.0   8.75   0.10     794.33       -1     1488     -1.0    -1.00      0.1     -1.0     0.06     0.05
H03   LMC     HS390   7.20   0.15  7.85   -1.0   8.25   0.10      90.36       -1     1257     -1.0    -1.00     0.32     -1.0     0.23     0.05
H03   LMC   H88-316   7.21   0.15  7.25   -1.0   8.25   0.10     109.65       -1     1182     -1.0    -1.00     0.24     -1.0     0.15     0.05
H03   LMC    H88-52   8.95   0.09     9   -1.0   9.15   0.07    2167.70       -1     1360     -1.0    -1.00     0.11     -1.0    -1.00    -1.00
H03   LMC    H88-26   8.36   0.09  9.05   -1.0   8.90   0.13     244.34       -1     1450     -1.0    -1.00     0.06     -1.0     0.06    -1.00
H03   LMC   NGC1793   7.18   0.15  7.95   -1.0   8.05   0.10     765.60       -1     1453     -1.0    -1.00     0.12     -1.0     0.11     0.05
H03   LMC  KMHK1055   8.92   0.09   6.9   -1.0   9.00   0.10    2208.00       -1     1482     -1.0    -1.00      0.1     -1.0     0.06    -1.00
H03   LMC  KMHK1045   8.99   0.09     9   -1.0   8.80   0.16     666.81       -1     1469     -1.0    -1.00     0.04     -1.0     0.06    -1.00
H03   LMC    H88-33   7.22   0.15  7.85   -1.0   8.35   0.10      67.92       -1     1363     -1.0    -1.00     0.12     -1.0     0.07     0.05
H03   LMC   NGC1839   7.21   0.15  8.05   -1.0   8.10   0.20    1106.62       -1     1392     -1.0    -1.00     0.12     -1.0     0.15     0.03
H03   LMC        H3   8.85   0.09  8.85   -1.0   9.40   0.16    6546.36       -1     1245     -1.0    -1.00     0.28     -1.0    -1.00    -1.00
H03   SMC       L50   7.48   0.24   7.7   -1.0   7.90   0.25    3047.89       -1     1389     -1.0    -1.00     0.13     -1.0     0.07     0.02
H03   LMC     HS247   7.94   0.15   8.2   -1.0   8.55   0.10     394.46       -1     1436     -1.0    -1.00      0.2     -1.0     0.13     0.05
H03   LMC   NGC1863   7.76   0.54  7.45   -1.0   7.70   0.20    8016.78       -1     1473     -1.0    -1.00     0.17     -1.0     0.15     0.03
H03   LMC   H88-269   8.39   0.09   8.9   -1.0   8.90   0.10    1485.94       -1     1398     -1.0    -1.00     0.08     -1.0     0.05     0.05
H03   LMC    H88-67   8.97   0.09  9.05   -1.0   9.23   0.06    1018.59       -1     1411     -1.0    -1.00     0.09     -1.0    -1.00    -1.00
H03   LMC     SL218   7.22   0.15   7.6   -1.0   7.70   0.20     487.53       -1     1367     -1.0    -1.00     0.14     -1.0     0.15     0.03
