#
# http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=J%2FA%2BA%2F452%2F179
#
# Type:
# C = star cluster
# N = supernova remnant
# A = emissionless association
# CA =  object with intermediate properties of class C and A
# AC =  object with intermediate properties of class A and C
# AN =  association that shows a trace of emission
# CN =  cluster that shows a trace of emission
# NA =  H II region and embedded association
# NC =  H II regions and embedded star cluster or high surface brightness
#       compact H II regions
#
# Class (gives an estimate of the uncertainties on the age determination):
# 1 = objects having Delta(Log(Age(yr)))<0.3
# 2 = objects having 0.3<Delta(Log(Age(yr)))<0.5
# 3 = objects having Delta(Log(Age(yr)))>0.5
#
#
#Bica   RAJ2000   DEJ2000    Rad  log(Age) E(V-I) Type Class  Names                          
#         deg       deg      deg      [yr]   mag                                             
#
  60  009.0583  -73.4117   0.003      8.9   0.04 C        1  H86-30                         
  65  009.1583  -73.0858   0.003      8.8   0.04 C        1  H86-35,SMC_OGLE1               
  66  009.2083  -73.0711   0.007      8.8   0.10 AC       1  H86-36                         
  70  009.3500  -73.0306   0.010      7.6   0.04 A        1  H86-38                         
  72  009.3875  -73.6119   0.010      8.4   0.04 C        1  HW11,SMC_OGLE2                 
  73  009.3917  -73.0250   0.005      9.0   0.04 C        1  BS10                           
  74  009.4208  -73.1211   0.004      8.9   0.00 C        1  H86-42                         
  75  009.4250  -73.9083   0.014      8.9   0.04 C        1  L19,SMC_OGLE3                  
  76  009.4333  -73.2111   0.007      9.0   0.04 C        3  B10,SMC_OGLE4                  
  77  009.4542  -73.4839   0.004      8.8   0.04 C        1  H86-40                         
  78  009.4625  -73.1211   0.005      8.8   0.04 C        1  H86-43                         
  79  009.5917  -73.2750   0.004      9.0   0.04 C        1  B12                            
  80  009.6000  -73.3783   0.010      7.4   0.04 A        1  BS11                           
  81  009.6542  -73.8058   0.005      7.9   0.04 C        2  B14,SMC_OGLE162                
  82  009.7042  -73.2756   0.002      9.0   0.04 C        1  H86-47                         
  83  009.7125  -73.3742   0.007      8.7   0.30 C        2  HW12,SMC_OGLE163               
  84  009.7333  -73.4089   0.004      8.0   0.08 C        2  H86-48,SMC_OGLE164             
  86  009.7458  -73.9469   0.002      9.0   0.04 C        1  B16                            
  87  009.7583  -73.9347   0.003      9.0   0.04 C        1  BS12                           
  90  009.8417  -73.2578   0.007      9.0   0.01 CA       1  SMC_OGLE5                      
  91  009.8583  -73.3831   0.005      9.0   0.04 C        3  HW12A                          
  92  009.8583  -73.1064   0.004      8.8   0.20 C        1  H86-55,SMC_OGLE167             
  93  009.8792  -73.4239   0.006      9.0   0.04 C        1  HW13,SMC_OGLE168               
  94  009.8958  -73.3828   0.004      8.6   0.00 C        1  H86-54                         
 104  010.1125  -73.4611   0.004      8.0   0.08 C        3  H86-59                         
 105  010.1250  -73.2306   0.008      8.3   0.15 CA       1  SMC_OGLE7                      
 106  010.1292  -73.4028   0.010      8.1   0.08 C        2  NGC220,K18,L22,ESO29SC3        
 109  010.1792  -73.1181   0.003      9.0   0.10 C        3  H86-60                         
 111  010.1875  -73.7406   0.007      8.0   0.08 C        2  B26,SMC_OGLE169                
 113  010.1833  -73.3833   0.010      8.0   0.10 C        1  NGC222,K19,L24,ESO29SC4        
 114  010.1875  -73.3783   0.065      6.6   0.04 A        1  H-A3                           
 118  010.2292  -73.4019   0.005      8.0   0.08 C        1  B23,SMC_OGLE170                
 120  010.2500  -73.6061   0.024      7.0   0.04 NA       1  SMC-DEM5                       
 122  010.2750  -73.3519   0.015      7.8   0.10 C        1  NGC231,K20,L25,ESO29SC5        
 126  010.3375  -73.3419   0.020      7.8   0.10 A        1  BS15                           
