#
# four clusters with estimates log(age)>9 where removed.
# logt: Age of cluster
#
#OGLE-CL RAJ2000      DEJ2000   Rad     E(B-V) logt  e
#        "h:m:s"      "d:m:s"   arcsec         [yr]  [yr]
#
SMC0002  0 37 33.06   -73 36 42.6   47   0.06  8.4  0.1
SMC0008  0 40 30.54   -73 24 10.4   43   0.07  8    0.1
SMC0009  0 40 44.11   -73 23 0.2    36   0.07  8    0.1
SMC0011  0 41 6.16    -73 21 7.1    36   0.08  7.9  0.1
SMC0013  0 42 22.37   -73 44 3.1    23   0.05  7.3  0.3
SMC0015  0 42 54.13   -73 17 37     30   0.1   8.1  0.1
SMC0016  0 42 58.46   -73 10 7.2    42   0.08  8.3  0.1
SMC0017  0 43 32.74   -73 26 25.4   26   0.1   7.9  0.1
SMC0018  0 43 37.57   -73 26 37.9   26   0.1   7.9  0.1
SMC0019  0 43 37.59   -72 57 30.9   12   0.08  8.6  0.1
SMC0020  0 43 37.89   -72 58 48.3   9    0.08  8.6  0.1
SMC0025  0 45 13.88   -73 13 9.2    15   0.12  8    0.1
SMC0032  0 45 54.33   -73 30 24.2   30   0.1   8    0.1
SMC0033  0 46 12.26   -73 23 34     18   0.15  7.2  0.2
SMC0038  0 47 6.15    -73 15 24.9   21   0.12  8.1  0.2
SMC0039  0 47 11.61   -73 28 38.1   49   0.11  8    0.1
SMC0043  0 47 52.38   -73 13 20.3   22   0.09  8.5  0.1
SMC0045  0 48 0.68    -73 29 10.3   35   0.07  8.4  0.1
SMC0047  0 48 28.14   -72 59 0.3    36   0.12  7.8  0.1
SMC0049  0 48 37.47   -73 24 53.2   38   0.06  7    0.2
SMC0050  0 48 59.02   -73 9  3.8    14   0.12  8.3  0.1
SMC0054  0 49 17.6    -73 22 19.8   27   0.1   8    0.1
SMC0058  0 49 45.43   -72 51 58     36   0.17  8.3  0.1
SMC0059  0 50 16.06   -73 1  59.6   25   0.1   7.8  0.1
SMC0060  0 50 21.95   -73 23 16.5   36   0.08  8.4  0.1
SMC0061  0 50 0.26    -73 15 17.7   21   0.12  7.4  0.2
SMC0064  0 50 39.55   -72 57 54.8   36   0.1   8.1  0.1
SMC0066  0 50 55.39   -73 12 11     17   0.09  7.8  0.1
SMC0067  0 50 55.54   -72 43 39.7   42   0.08  8.2  0.1
SMC0068  0 50 56.26   -73 17 21.1   55   0.09  7.7  0.2
SMC0069  0 51 14.13   -73 9  41.5   36   0.08  7.6  0.1
SMC0070  0 51 26.15   -73 16 59.8   14   0.09  7.8  0.1
SMC0071  0 51 31.78   -73 0  38.3   32   0.07  7.5  0.1
SMC0072  0 51 41.69   -73 13 46.8   28   0.08  7.6  0.2
SMC0073  0 51 44.03   -72 50 25.1   42   0.11  8.2  0.2
SMC0074  0 51 52.91   -72 57 13.9   42   0.09  8.1  0.1
SMC0075  0 51 54.32   -73 5  52.9   15   0.07  8.4  0.1
SMC0076  0 52 12.47   -72 31 51.2   29   0.07  7.4  0.3
SMC0077  0 52 13.34   -73 0  12.2   18   0.08  7.9  0.2
SMC0078  0 52 16.56   -73 1  4      36   0.08  7.9  0.1
SMC0081  0 52 33.65   -72 40 53.6   31   0.12  7.4  0.3
SMC0082  0 52 42.12   -72 55 31.6   36   0.1   7.8  0.3
SMC0083  0 52 44.27   -72 58 47.8   29   0.09  7.8  0.2
SMC0087  0 52 48.99   -73 24 43.3   22   0.1   8.7  0.1
SMC0089  0 53 5.28    -72 37 27.8   118  0.09  7.3  0.4
SMC0090  0 53 5.59    -73 22 49.4   38   0.11  8.5  0.1
SMC0092  0 53 17.9    -72 45 59.5   34   0.12  7.4  0.1
SMC0098  0 54 46.73   -73 13 24.5   36   0.07  8    0.1
SMC0099  0 54 48.24   -72 27 57.8   36   0.08  7.6  0.2
SMC0104  0 55 32.98   -72 49 58.1   37   0.12  8.6  0.1
SMC0105  0 55 42.99   -72 52 48.4   44   0.11  8    0.1
SMC0107  0 56 18.68   -72 27 50.4   57   0.1   7.5  0.1
SMC0109  0 57 29.8    -72 15 51.9   24   0.04  7.7  0.1
SMC0112  0 57 57.14   -72 26 42     29   0.11  7.5  0.3
SMC0115  0 58 33.64   -72 16 51.6   15   0.07  7.3  0.3
SMC0117  0 59 13.86   -72 36 29.3   45   0.13  8.3  0.1
SMC0118  0 59 48.03   -72 20 2.5    41   0.08  8.2  0.1
SMC0120  1 0  1.33    -72 22 8.7    27   0.07  7.7  0.2
SMC0121  1 0  13.03   -72 27 43.8   30   0.08  7.9  0.1
SMC0122  1 0  26.77   -73 5  11.6   36   0.06  8.3  0.1
SMC0124  1 0  34.41   -72 21 55.8   34   0.06  7.6  0.1
SMC0126  1 1  2.01    -72 45 5.2    40   0.07  8    0.1
SMC0128  1 1  37.15   -72 24 24.7   36   0.09  7.1  0.3
SMC0129  1 1  45.08   -72 33 51.8   29   0.09  7.3  0.1
SMC0134  1 3  11.52   -72 16 21     28   0.05  7.8  0.1
SMC0137  1 3  22.67   -72 39 5.6    36   0.06  7.6  0.2
SMC0138  1 3  53.02   -72 6  10.5   18   0.04  7.4  0.4
SMC0139  1 3  53.44   -72 49 34.2   20   0.07  7.5  0.1
SMC0140  1 4  14.1    -72 38 49.1   25   0.09  7.2  0.3
SMC0141  1 4  30.18   -72 37 9.4    35   0.09  8.2  0.2
SMC0142  1 4  36.21   -72 9  38.5   41   0.06  7.3  0.1
SMC0143  1 4  39.61   -72 32 59.7   27   0.09  8.2  0.2
SMC0144  1 4  5.23    -72 7  14.6   18   0.05  7.6  0.2
SMC0145  1 5  4.3     -71 59 24.8   18   0.07  7.9  0.2
SMC0146  1 5  13.4    -71 59 41.8   14   0.06  7.3  0.3
SMC0147  1 5  7.95    -71 59 45.1   22   0.06  7.1  0.3
SMC0149  1 5  21.51   -72 2  34.7   36   0.08  8.2  0.1
SMC0151  1 6  12.62   -72 47 38.7   36   0.1   8.1  0.1
SMC0153  1 6  47.74   -72 16 24.5   27   0.04  7.2  0.3
SMC0154  1 7  2.27    -72 37 18.2   33   0.12  8.2  0.2
SMC0155  1 7  27.83   -72 29 35.5   41   0.09  7.7  0.2
SMC0156  1 7  28.47   -72 46 9.5    41   0.09  8.2  0.1
SMC0160  1 8  37.48   -72 26 20.9   20   0.04  7.6  0.3
SMC0177  0 44 55.05   -73 10 27.4   9    0.08  7.9  0.2
SMC0187  0 47 5.87    -73 22 16.6   14   0.04  8.2  0.1
SMC0194  0 48 36.55   -73 10 45.2   15   0.07  7.9  0.1
